.HEADER
..NAMES
Time,V U1.F1
.DATA
6.7129e-09,1.0549
6.7226e-09,1.0483
6.7322e-09,1.0436
6.7419e-09,1.0410
6.7515e-09,1.0405
6.7611e-09,1.0421
6.7708e-09,1.0455
6.7804e-09,1.0505
6.7901e-09,1.0569
6.7997e-09,1.0645
6.8094e-09,1.0729
6.8190e-09,1.0821
6.8287e-09,1.0917
6.8383e-09,1.1016
6.8480e-09,1.1115
6.8576e-09,1.1213
6.8672e-09,1.1309
6.8769e-09,1.1400
6.8865e-09,1.1486
6.8962e-09,1.1566
6.9058e-09,1.1640
6.9155e-09,1.1709
6.9251e-09,1.1771
6.9348e-09,1.1828
6.9444e-09,1.1879
6.9540e-09,1.1923
6.9637e-09,1.1959
6.9733e-09,1.1987
6.9830e-09,1.2004
6.9926e-09,1.2011
7.0023e-09,1.2009
7.0119e-09,1.1998
7.0216e-09,1.1981
7.0312e-09,1.1961
7.0409e-09,1.1941
7.0505e-09,1.1923
7.0601e-09,1.1908
7.0698e-09,1.1897
7.0794e-09,1.1891
7.0891e-09,1.1889
7.0987e-09,1.1890
7.1084e-09,1.1894
7.1180e-09,1.1902
7.1277e-09,1.1912
7.1373e-09,1.1926
7.1469e-09,1.1943
7.1566e-09,1.1963
7.1662e-09,1.1984
7.1759e-09,1.2008
7.1855e-09,1.2031
7.1952e-09,1.2054
7.2048e-09,1.2075
7.2145e-09,1.2095
7.2241e-09,1.2113
7.2338e-09,1.2128
7.2434e-09,1.2130
7.2530e-09,1.2110
7.2627e-09,1.2055
7.2723e-09,1.1951
7.2820e-09,1.1786
7.2916e-09,1.1551
7.3013e-09,1.1235
7.3109e-09,1.0829
7.3206e-09,1.0329
7.3302e-09,0.9740
7.3398e-09,0.9071
7.3495e-09,0.8329
7.3591e-09,0.7528
7.3688e-09,0.6681
7.3784e-09,0.5801
7.3881e-09,0.4901
7.3977e-09,0.3997
7.4074e-09,0.3105
7.4170e-09,0.2239
7.4266e-09,0.1417
7.4363e-09,0.0654
7.4459e-09,-0.0044
7.4556e-09,-0.0673
7.4652e-09,-0.1227
7.4749e-09,-0.1701
7.4845e-09,-0.2090
7.4942e-09,-0.2395
7.5038e-09,-0.2619
7.5135e-09,-0.2775
7.5231e-09,-0.2869
7.5327e-09,-0.2911
7.5424e-09,-0.2906
7.5520e-09,-0.2863
7.5617e-09,-0.2793
7.5713e-09,-0.2700
7.5810e-09,-0.2593
7.5906e-09,-0.2480
7.6003e-09,-0.2369
7.6099e-09,-0.2265
7.6196e-09,-0.2175
7.6292e-09,-0.2103
7.6388e-09,-0.2053
7.6485e-09,-0.2024
7.6581e-09,-0.2019
7.6678e-09,-0.2034
7.6774e-09,-0.2067
7.6871e-09,-0.2115
7.6967e-09,-0.2177
7.7064e-09,-0.2249
7.7160e-09,-0.2325
7.7256e-09,-0.2403
7.7353e-09,-0.2477
7.7449e-09,-0.2544
7.7546e-09,-0.2598
7.7642e-09,-0.2639
7.7739e-09,-0.2665
7.7835e-09,-0.2677
7.7932e-09,-0.2675
7.8028e-09,-0.2662
7.8125e-09,-0.2640
7.8221e-09,-0.2611
7.8317e-09,-0.2576
7.8414e-09,-0.2536
7.8510e-09,-0.2486
7.8607e-09,-0.2419
7.8703e-09,-0.2328
7.8800e-09,-0.2209
7.8896e-09,-0.2052
7.8993e-09,-0.1844
7.9089e-09,-0.1573
7.9185e-09,-0.1228
7.9282e-09,-0.0804
7.9378e-09,-0.0302
7.9475e-09,0.0276
7.9571e-09,0.0922
7.9668e-09,0.1630
7.9764e-09,0.2384
7.9861e-09,0.3168
7.9957e-09,0.3967
8.0054e-09,0.4768
8.0150e-09,0.5556
8.0246e-09,0.6319
8.0343e-09,0.7045
8.0439e-09,0.7723
8.0536e-09,0.8347
8.0632e-09,0.8908
8.0729e-09,0.9404
8.0825e-09,0.9832
8.0922e-09,1.0195
8.1018e-09,1.0498
8.1114e-09,1.0747
8.1211e-09,1.0948
8.1307e-09,1.1105
8.1404e-09,1.1226
8.1500e-09,1.1316
8.1597e-09,1.1376
8.1693e-09,1.1411
8.1790e-09,1.1422
8.1886e-09,1.1413
8.1983e-09,1.1388
8.2079e-09,1.1353
8.2175e-09,1.1313
8.2272e-09,1.1275
8.2368e-09,1.1244
8.2465e-09,1.1225
8.2561e-09,1.1220
8.2658e-09,1.1231
8.2754e-09,1.1257
8.2851e-09,1.1298
8.2947e-09,1.1349
8.3043e-09,1.1409
8.3140e-09,1.1475
8.3236e-09,1.1544
8.3333e-09,1.1615
8.3429e-09,1.1686
8.3526e-09,1.1752
8.3622e-09,1.1812
8.3719e-09,1.1863
8.3815e-09,1.1905
8.3911e-09,1.1936
8.4008e-09,1.1955
8.4104e-09,1.1961
8.4201e-09,1.1955
8.4297e-09,1.1938
8.4394e-09,1.1912
8.4490e-09,1.1878
8.4587e-09,1.1834
8.4683e-09,1.1780
8.4780e-09,1.1710
8.4876e-09,1.1615
8.4972e-09,1.1485
8.5069e-09,1.1314
8.5165e-09,1.1094
8.5262e-09,1.0813
8.5358e-09,1.0466
8.5455e-09,1.0050
8.5551e-09,0.9562
8.5648e-09,0.9003
8.5744e-09,0.8381
8.5840e-09,0.7706
8.5937e-09,0.6986
8.6033e-09,0.6229
8.6130e-09,0.5448
8.6226e-09,0.4653
8.6323e-09,0.3852
8.6419e-09,0.3059
8.6516e-09,0.2285
8.6612e-09,0.1537
8.6709e-09,0.0827
8.6805e-09,0.0168
8.6901e-09,-0.0434
8.6998e-09,-0.0975
8.7094e-09,-0.1454
8.7191e-09,-0.1862
8.7287e-09,-0.2195
8.7384e-09,-0.2451
8.7480e-09,-0.2636
8.7577e-09,-0.2758
8.7673e-09,-0.2828
8.7769e-09,-0.2852
8.7866e-09,-0.2834
8.7962e-09,-0.2782
8.8059e-09,-0.2705
8.8155e-09,-0.2609
8.8252e-09,-0.2502
8.8348e-09,-0.2394
8.8445e-09,-0.2293
8.8541e-09,-0.2204
8.8638e-09,-0.2133
8.8734e-09,-0.2084
8.8830e-09,-0.2058
8.8927e-09,-0.2053
8.9023e-09,-0.2067
8.9120e-09,-0.2098
8.9216e-09,-0.2139
8.9313e-09,-0.2187
8.9409e-09,-0.2242
8.9506e-09,-0.2302
8.9602e-09,-0.2363
8.9698e-09,-0.2424
8.9795e-09,-0.2481
8.9891e-09,-0.2532
8.9988e-09,-0.2572
9.0084e-09,-0.2601
9.0181e-09,-0.2617
9.0277e-09,-0.2621
9.0374e-09,-0.2612
9.0470e-09,-0.2593
9.0567e-09,-0.2566
9.0663e-09,-0.2533
9.0759e-09,-0.2496
9.0856e-09,-0.2456
9.0952e-09,-0.2411
9.1049e-09,-0.2361
9.1145e-09,-0.2304
9.1242e-09,-0.2239
9.1338e-09,-0.2166
9.1435e-09,-0.2084
9.1531e-09,-0.1993
9.1627e-09,-0.1893
9.1724e-09,-0.1785
9.1820e-09,-0.1671
9.1917e-09,-0.1550
9.2013e-09,-0.1425
9.2110e-09,-0.1296
9.2206e-09,-0.1165
9.2303e-09,-0.1035
9.2399e-09,-0.0904
9.2496e-09,-0.0775
9.2592e-09,-0.0647
9.2688e-09,-0.0521
9.2785e-09,-0.0397
9.2881e-09,-0.0276
9.2978e-09,-0.0161
9.3074e-09,-0.0050
9.3171e-09,0.0054
9.3267e-09,0.0150
9.3364e-09,0.0237
9.3460e-09,0.0314
9.3556e-09,0.0381
9.3653e-09,0.0439
9.3749e-09,0.0487
9.3846e-09,0.0527
9.3942e-09,0.0558
9.4039e-09,0.0581
9.4135e-09,0.0595
9.4232e-09,0.0598
9.4328e-09,0.0593
9.4425e-09,0.0579
9.4521e-09,0.0559
9.4617e-09,0.0536
9.4714e-09,0.0512
9.4810e-09,0.0491
9.4907e-09,0.0475
9.5003e-09,0.0464
9.5100e-09,0.0460
9.5196e-09,0.0461
9.5293e-09,0.0465
9.5389e-09,0.0472
9.5486e-09,0.0480
9.5582e-09,0.0488
9.5678e-09,0.0498
9.5775e-09,0.0509
9.5871e-09,0.0523
9.5968e-09,0.0538
9.6064e-09,0.0556
9.6161e-09,0.0575
9.6257e-09,0.0593
9.6354e-09,0.0610
9.6450e-09,0.0625
9.6546e-09,0.0635
9.6643e-09,0.0643
9.6739e-09,0.0648
9.6836e-09,0.0652
9.6932e-09,0.0654
9.7029e-09,0.0655
9.7125e-09,0.0654
9.7222e-09,0.0649
9.7318e-09,0.0639
9.7415e-09,0.0627
9.7511e-09,0.0618
9.7607e-09,0.0613
9.7704e-09,0.0613
9.7800e-09,0.0625
9.7897e-09,0.0662
9.7993e-09,0.0734
9.8090e-09,0.0849
9.8186e-09,0.1014
9.8283e-09,0.1230
9.8379e-09,0.1501
9.8475e-09,0.1827
9.8572e-09,0.2211
9.8668e-09,0.2648
9.8765e-09,0.3130
9.8861e-09,0.3650
9.8958e-09,0.4199
9.9054e-09,0.4767
9.9151e-09,0.5345
9.9247e-09,0.5925
9.9344e-09,0.6499
9.9440e-09,0.7059
9.9536e-09,0.7596
9.9633e-09,0.8105
9.9729e-09,0.8579
9.9826e-09,0.9018
9.9922e-09,0.9420
1.00019e-08,0.9785
1.00115e-08,1.0113
1.00212e-08,1.0404
1.00308e-08,1.0661
1.00404e-08,1.0885
1.00501e-08,1.1079
1.00597e-08,1.1245
1.00694e-08,1.1385
1.00790e-08,1.1498
1.00887e-08,1.1586
1.00983e-08,1.1651
1.01080e-08,1.1696
1.01176e-08,1.1724
1.01273e-08,1.1738
1.01369e-08,1.1742
1.01465e-08,1.1740
1.01562e-08,1.1737
1.01658e-08,1.1737
1.01755e-08,1.1742
