.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
1.99864e-08,0.5378
2.00096e-08,0.5710
2.00329e-08,0.6355
2.00562e-08,0.6996
2.00794e-08,0.7411
2.01027e-08,0.7485
2.01260e-08,0.7199
2.01492e-08,0.6607
2.01725e-08,0.5863
2.01958e-08,0.5197
2.02190e-08,0.4840
2.02423e-08,0.4884
2.02656e-08,0.5234
2.02888e-08,0.5697
2.03121e-08,0.5984
2.03354e-08,0.5622
2.03586e-08,0.4256
2.03819e-08,0.2459
2.04052e-08,0.0499
2.04284e-08,-0.1890
2.04517e-08,-0.4302
2.04750e-08,-0.5971
2.04982e-08,-0.6523
2.05215e-08,-0.6461
2.05448e-08,-0.6251
2.05680e-08,-0.5867
2.05913e-08,-0.5456
2.06146e-08,-0.5385
2.06378e-08,-0.5794
2.06611e-08,-0.6459
2.06844e-08,-0.7077
2.07076e-08,-0.7452
2.07309e-08,-0.7471
2.07542e-08,-0.7124
2.07774e-08,-0.6499
2.08007e-08,-0.5752
2.08240e-08,-0.5100
2.08472e-08,-0.4788
2.08705e-08,-0.4902
2.08938e-08,-0.5301
2.09170e-08,-0.5740
2.09403e-08,-0.5954
2.09636e-08,-0.5473
2.09868e-08,-0.4034
2.10101e-08,-0.2204
2.10334e-08,-0.0141
2.10566e-08,0.2271
2.10799e-08,0.4574
2.11032e-08,0.6098
2.11264e-08,0.6560
2.11497e-08,0.6462
2.11730e-08,0.6191
2.11962e-08,0.5785
2.12195e-08,0.5427
2.12428e-08,0.5423
2.12660e-08,0.5872
2.12893e-08,0.6544
2.13126e-08,0.7143
2.13358e-08,0.7473
2.13591e-08,0.7445
2.13824e-08,0.7059
2.14056e-08,0.6404
2.14289e-08,0.5656
2.14522e-08,0.5054
2.14754e-08,0.4809
2.14987e-08,0.4955
2.15220e-08,0.5363
2.15452e-08,0.5810
2.15685e-08,0.5977
2.15918e-08,0.5338
2.16150e-08,0.3777
2.16383e-08,0.1956
2.16616e-08,-0.0116
2.16848e-08,-0.2579
2.17081e-08,-0.4856
2.17314e-08,-0.6215
2.17546e-08,-0.6526
2.17779e-08,-0.6408
2.18012e-08,-0.6159
2.18244e-08,-0.5739
2.18477e-08,-0.5390
2.18710e-08,-0.5456
2.18942e-08,-0.5969
2.19175e-08,-0.6646
2.19408e-08,-0.7210
2.19640e-08,-0.7494
2.19873e-08,-0.7408
2.20106e-08,-0.6972
2.20338e-08,-0.6296
2.20571e-08,-0.5552
2.20804e-08,-0.4974
2.21037e-08,-0.4782
2.21269e-08,-0.4995
2.21502e-08,-0.5431
2.21735e-08,-0.5841
2.21967e-08,-0.5929
2.22200e-08,-0.5175
2.22433e-08,-0.3567
2.22665e-08,-0.1688
2.22898e-08,0.0473
2.23131e-08,0.2916
2.23363e-08,0.5082
2.23596e-08,0.6313
2.23829e-08,0.6560
2.24061e-08,0.6395
2.24294e-08,0.6090
2.24527e-08,0.5674
2.24759e-08,0.5382
2.24992e-08,0.5503
2.25225e-08,0.6045
2.25457e-08,0.6725
2.25690e-08,0.7265
2.25923e-08,0.7503
2.26155e-08,0.7374
2.26388e-08,0.6904
2.26621e-08,0.6203
2.26853e-08,0.5469
2.27086e-08,0.4948
2.27319e-08,0.4813
2.27551e-08,0.5047
2.27784e-08,0.5490
2.28017e-08,0.5895
2.28249e-08,0.5890
2.28482e-08,0.4950
2.28715e-08,0.3258
2.28947e-08,0.1414
2.29180e-08,-0.0800
2.29413e-08,-0.3289
2.29645e-08,-0.5365
2.29878e-08,-0.6392
2.30111e-08,-0.6515
2.30343e-08,-0.6363
2.30576e-08,-0.6055
2.30809e-08,-0.5613
2.31041e-08,-0.5355
2.31274e-08,-0.5563
2.31507e-08,-0.6156
2.31739e-08,-0.6823
2.31972e-08,-0.7323
2.32205e-08,-0.7509
2.32437e-08,-0.7319
2.32670e-08,-0.6800
2.32903e-08,-0.6084
2.33135e-08,-0.5360
2.33368e-08,-0.4875
2.33601e-08,-0.4806
2.33833e-08,-0.5103
2.34066e-08,-0.5558
2.34299e-08,-0.5917
2.34531e-08,-0.5833
2.34764e-08,-0.4796
2.34997e-08,-0.3053
2.35229e-08,-0.1129
2.35462e-08,0.1127
2.35695e-08,0.3571
2.35927e-08,0.5541
2.36160e-08,0.6464
2.36393e-08,0.6528
2.36625e-08,0.6321
2.36858e-08,0.5987
2.37091e-08,0.5573
2.37323e-08,0.5367
2.37556e-08,0.5619
2.37789e-08,0.6235
2.38021e-08,0.6901
2.38254e-08,0.7366
2.38487e-08,0.7503
2.38719e-08,0.7275
