.HEADER
..NAMES
Time,V U1.V5
.DATA
7.5038e-09,1.0614
7.5135e-09,1.0809
7.5231e-09,1.0976
7.5327e-09,1.1121
7.5424e-09,1.1246
7.5520e-09,1.1356
7.5617e-09,1.1456
7.5713e-09,1.1548
7.5810e-09,1.1637
7.5906e-09,1.1726
7.6003e-09,1.1814
7.6099e-09,1.1903
7.6196e-09,1.1989
7.6292e-09,1.2070
7.6388e-09,1.2142
7.6485e-09,1.2202
7.6581e-09,1.2249
7.6678e-09,1.2280
7.6774e-09,1.2297
7.6871e-09,1.2301
7.6967e-09,1.2296
7.7064e-09,1.2284
7.7160e-09,1.2270
7.7256e-09,1.2256
7.7353e-09,1.2244
7.7449e-09,1.2238
7.7546e-09,1.2239
7.7642e-09,1.2246
7.7739e-09,1.2254
7.7835e-09,1.2261
7.7932e-09,1.2264
7.8028e-09,1.2259
7.8125e-09,1.2249
7.8221e-09,1.2233
7.8317e-09,1.2211
7.8414e-09,1.2180
7.8510e-09,1.2135
7.8607e-09,1.2062
7.8703e-09,1.1942
7.8800e-09,1.1753
7.8896e-09,1.1478
7.8993e-09,1.1103
7.9089e-09,1.0626
7.9185e-09,1.0056
7.9282e-09,0.9405
7.9378e-09,0.8686
7.9475e-09,0.7915
7.9571e-09,0.7105
7.9668e-09,0.6268
7.9764e-09,0.5416
7.9861e-09,0.4566
7.9957e-09,0.3729
8.0054e-09,0.2917
8.0150e-09,0.2142
8.0246e-09,0.1414
8.0343e-09,0.0740
8.0439e-09,0.0128
8.0536e-09,-0.0413
8.0632e-09,-0.0882
8.0729e-09,-0.1281
8.0825e-09,-0.1616
8.0922e-09,-0.1894
8.1018e-09,-0.2121
8.1114e-09,-0.2300
8.1211e-09,-0.2431
8.1307e-09,-0.2520
8.1404e-09,-0.2576
8.1500e-09,-0.2606
8.1597e-09,-0.2621
8.1693e-09,-0.2629
8.1790e-09,-0.2636
8.1886e-09,-0.2646
8.1983e-09,-0.2660
8.2079e-09,-0.2681
8.2175e-09,-0.2705
8.2272e-09,-0.2731
8.2368e-09,-0.2753
8.2465e-09,-0.2767
8.2561e-09,-0.2766
8.2658e-09,-0.2749
8.2754e-09,-0.2716
8.2851e-09,-0.2671
8.2947e-09,-0.2620
8.3043e-09,-0.2569
8.3140e-09,-0.2525
8.3236e-09,-0.2493
8.3333e-09,-0.2475
8.3429e-09,-0.2470
8.3526e-09,-0.2474
8.3622e-09,-0.2483
8.3719e-09,-0.2497
8.3815e-09,-0.2514
8.3911e-09,-0.2533
8.4008e-09,-0.2553
8.4104e-09,-0.2573
8.4201e-09,-0.2589
8.4297e-09,-0.2599
8.4394e-09,-0.2598
8.4490e-09,-0.2585
8.4587e-09,-0.2556
8.4683e-09,-0.2512
8.4780e-09,-0.2451
8.4876e-09,-0.2374
8.4972e-09,-0.2280
8.5069e-09,-0.2173
8.5165e-09,-0.2053
8.5262e-09,-0.1922
8.5358e-09,-0.1780
8.5455e-09,-0.1628
8.5551e-09,-0.1465
8.5648e-09,-0.1291
8.5744e-09,-0.1110
8.5840e-09,-0.0926
8.5937e-09,-0.0748
8.6033e-09,-0.0580
8.6130e-09,-0.0426
8.6226e-09,-0.0290
8.6323e-09,-0.0173
8.6419e-09,-0.0074
8.6516e-09,0.0008
8.6612e-09,0.0075
8.6709e-09,0.0129
8.6805e-09,0.0175
8.6901e-09,0.0217
8.6998e-09,0.0258
8.7094e-09,0.0298
8.7191e-09,0.0337
8.7287e-09,0.0376
8.7384e-09,0.0412
8.7480e-09,0.0445
8.7577e-09,0.0476
8.7673e-09,0.0503
8.7769e-09,0.0529
8.7866e-09,0.0553
8.7962e-09,0.0575
8.8059e-09,0.0595
8.8155e-09,0.0611
8.8252e-09,0.0623
8.8348e-09,0.0630
8.8445e-09,0.0632
8.8541e-09,0.0631
8.8638e-09,0.0627
8.8734e-09,0.0621
8.8830e-09,0.0615
8.8927e-09,0.0608
8.9023e-09,0.0601
8.9120e-09,0.0593
8.9216e-09,0.0586
8.9313e-09,0.0579
8.9409e-09,0.0574
8.9506e-09,0.0570
8.9602e-09,0.0570
8.9698e-09,0.0575
8.9795e-09,0.0585
8.9891e-09,0.0602
8.9988e-09,0.0624
9.0084e-09,0.0650
9.0181e-09,0.0677
9.0277e-09,0.0701
9.0374e-09,0.0721
9.0470e-09,0.0733
9.0567e-09,0.0737
9.0663e-09,0.0732
9.0759e-09,0.0719
9.0856e-09,0.0697
9.0952e-09,0.0669
9.1049e-09,0.0634
9.1145e-09,0.0594
9.1242e-09,0.0552
9.1338e-09,0.0508
9.1435e-09,0.0463
9.1531e-09,0.0418
9.1627e-09,0.0374
9.1724e-09,0.0330
9.1820e-09,0.0288
