.HEADER
..NAMES
Time,V U1.U2
.DATA
6.1053e-09,1.2125
6.1149e-09,1.2114
6.1246e-09,1.2103
6.1342e-09,1.2091
6.1439e-09,1.2079
6.1535e-09,1.2067
6.1632e-09,1.2054
6.1728e-09,1.2043
6.1824e-09,1.2032
6.1921e-09,1.2022
6.2017e-09,1.2013
6.2114e-09,1.2006
6.2210e-09,1.2000
6.2307e-09,1.1995
6.2403e-09,1.1993
6.2500e-09,1.1992
6.2596e-09,1.1994
6.2693e-09,1.1998
6.2789e-09,1.2004
6.2885e-09,1.2011
6.2982e-09,1.2017
6.3078e-09,1.2022
6.3175e-09,1.2025
6.3271e-09,1.2025
6.3368e-09,1.2022
6.3464e-09,1.2017
6.3561e-09,1.2009
6.3657e-09,1.2001
6.3753e-09,1.1992
6.3850e-09,1.1985
6.3946e-09,1.1979
6.4043e-09,1.1976
6.4139e-09,1.1974
6.4236e-09,1.1976
6.4332e-09,1.1979
6.4429e-09,1.1984
6.4525e-09,1.1990
6.4621e-09,1.1997
6.4718e-09,1.2003
6.4814e-09,1.2008
6.4911e-09,1.2012
6.5007e-09,1.2014
6.5104e-09,1.2016
6.5200e-09,1.2016
6.5297e-09,1.2016
6.5393e-09,1.2016
6.5490e-09,1.2015
6.5586e-09,1.2015
6.5682e-09,1.2013
6.5779e-09,1.2011
6.5875e-09,1.2008
6.5972e-09,1.2004
6.6068e-09,1.2000
6.6165e-09,1.1996
6.6261e-09,1.1991
6.6358e-09,1.1986
6.6454e-09,1.1982
6.6550e-09,1.1978
6.6647e-09,1.1975
6.6743e-09,1.1973
6.6840e-09,1.1973
6.6936e-09,1.1974
6.7033e-09,1.1977
6.7129e-09,1.1982
6.7226e-09,1.1988
6.7322e-09,1.1994
6.7419e-09,1.2001
6.7515e-09,1.2007
6.7611e-09,1.2012
6.7708e-09,1.2015
6.7804e-09,1.2017
6.7901e-09,1.2017
6.7997e-09,1.2015
6.8094e-09,1.2013
6.8190e-09,1.2010
6.8287e-09,1.2007
6.8383e-09,1.2005
6.8480e-09,1.2003
6.8576e-09,1.2001
6.8672e-09,1.2001
6.8769e-09,1.2000
6.8865e-09,1.2001
6.8962e-09,1.2001
6.9058e-09,1.2002
6.9155e-09,1.2002
6.9251e-09,1.2003
6.9348e-09,1.2003
6.9444e-09,1.2004
6.9540e-09,1.2004
