.HEADER
..NAMES
Time,V U1.Y1
.DATA
1.60310e-08,0.0122
1.60542e-08,0.0092
1.60775e-08,0.0061
1.61008e-08,0.0033
1.61240e-08,0.0010
1.61473e-08,-0.0008
1.61706e-08,-0.0024
1.61938e-08,-0.0036
1.62171e-08,-0.0040
1.62404e-08,-0.0033
1.62636e-08,-0.0013
1.62869e-08,0.0017
1.63102e-08,0.0050
1.63334e-08,0.0079
1.63567e-08,0.0097
1.63800e-08,0.0097
1.64032e-08,0.0081
1.64265e-08,0.0051
1.64498e-08,0.0013
1.64730e-08,-0.0024
1.64963e-08,-0.0053
1.65196e-08,-0.0069
1.65428e-08,-0.0068
1.65661e-08,-0.0055
1.65894e-08,-0.0034
1.66126e-08,-0.0011
1.66359e-08,0.0009
1.66592e-08,0.0025
1.66824e-08,0.0037
1.67057e-08,0.0047
1.67290e-08,0.0053
1.67522e-08,0.0055
1.67755e-08,0.0050
1.67988e-08,0.0039
1.68220e-08,0.0021
1.68453e-08,0.0000
1.68686e-08,-0.0021
1.68918e-08,-0.0036
1.69151e-08,-0.0042
1.69384e-08,-0.0036
1.69616e-08,-0.0021
1.69849e-08,0.0002
1.70082e-08,0.0028
1.70314e-08,0.0050
1.70547e-08,0.0063
1.70780e-08,0.0066
1.71012e-08,0.0059
1.71245e-08,0.0046
1.71478e-08,0.0030
1.71710e-08,0.0015
1.71943e-08,0.0003
1.72176e-08,-0.0005
1.72408e-08,-0.0011
1.72641e-08,-0.0014
1.72874e-08,-0.0014
1.73106e-08,-0.0012
1.73339e-08,-0.0005
1.73572e-08,0.0005
1.73804e-08,0.0018
1.74037e-08,0.0032
1.74270e-08,0.0043
1.74502e-08,0.0050
1.74735e-08,0.0050
1.74968e-08,0.0042
1.75201e-08,0.0029
1.75433e-08,0.0012
1.75666e-08,-0.0004
1.75899e-08,-0.0015
1.76131e-08,-0.0019
1.76364e-08,-0.0017
1.76597e-08,-0.0008
1.76829e-08,0.0002
1.77062e-08,0.0013
1.77295e-08,0.0022
1.77527e-08,0.0028
1.77760e-08,0.0032
1.77993e-08,0.0034
1.78225e-08,0.0034
1.78458e-08,0.0032
1.78691e-08,0.0028
1.78923e-08,0.0023
1.79156e-08,0.0015
1.79389e-08,0.0007
1.79621e-08,-0.0001
1.79854e-08,0.0096
1.80087e-08,0.0534
1.80319e-08,0.1734
1.80552e-08,0.3303
1.80785e-08,0.4499
1.81017e-08,0.5465
1.81250e-08,0.6145
1.81483e-08,0.6573
1.81715e-08,0.6792
1.81948e-08,0.6897
1.82181e-08,0.6924
1.82413e-08,0.6893
1.82646e-08,0.6825
1.82879e-08,0.6740
1.83111e-08,0.6653
1.83344e-08,0.6573
1.83577e-08,0.6489
1.83809e-08,0.6414
1.84042e-08,0.6370
1.84275e-08,0.6359
1.84507e-08,0.6374
1.84740e-08,0.6407
1.84973e-08,0.6452
1.85205e-08,0.6515
1.85438e-08,0.6652
1.85671e-08,0.6906
1.85903e-08,0.7282
1.86136e-08,0.7780
1.86369e-08,0.8383
1.86601e-08,0.9035
1.86834e-08,0.9671
1.87067e-08,1.0252
1.87299e-08,1.0764
1.87532e-08,1.1199
1.87765e-08,1.1549
1.87997e-08,1.1813
1.88230e-08,1.2006
1.88463e-08,1.2153
1.88695e-08,1.2272
1.88928e-08,1.2364
1.89161e-08,1.2433
1.89393e-08,1.2481
1.89626e-08,1.2513
1.89859e-08,1.2538
1.90091e-08,1.2572
1.90324e-08,1.2621
1.90557e-08,1.2675
1.90789e-08,1.2720
1.91022e-08,1.2729
1.91255e-08,1.2678
1.91487e-08,1.2559
1.91720e-08,1.2391
1.91953e-08,1.2199
1.92185e-08,1.1816
1.92418e-08,1.1144
1.92651e-08,0.9720
1.92883e-08,0.7956
1.93116e-08,0.6551
1.93349e-08,0.5650
1.93581e-08,0.5031
1.93814e-08,0.4706
1.94047e-08,0.4565
1.94279e-08,0.4523
1.94512e-08,0.4549
1.94745e-08,0.4618
1.94977e-08,0.4716
1.95210e-08,0.4819
1.95443e-08,0.4907
1.95675e-08,0.4962
1.95908e-08,0.5004
1.96141e-08,0.5028
1.96373e-08,0.5039
1.96606e-08,0.5044
1.96839e-08,0.5055
1.97071e-08,0.5088
1.97304e-08,0.5144
1.97537e-08,0.5188
1.97769e-08,0.5143
1.98002e-08,0.4945
1.98235e-08,0.4584
1.98468e-08,0.4101
1.98700e-08,0.3791
1.98933e-08,0.4286
1.99166e-08,0.5392
1.99398e-08,0.6232
1.99631e-08,0.6710
1.99864e-08,0.6932
2.00096e-08,0.6924
2.00329e-08,0.6813
2.00562e-08,0.6654
2.00794e-08,0.6486
2.01027e-08,0.6318
2.01260e-08,0.6146
2.01492e-08,0.5994
2.01725e-08,0.5864
2.01958e-08,0.5750
2.02190e-08,0.5617
2.02423e-08,0.5460
2.02656e-08,0.5302
2.02888e-08,0.5167
2.03121e-08,0.5075
2.03354e-08,0.5054
2.03586e-08,0.5126
2.03819e-08,0.5321
2.04052e-08,0.5679
2.04284e-08,0.6225
2.04517e-08,0.6927
2.04750e-08,0.7739
2.04982e-08,0.8611
2.05215e-08,0.9466
2.05448e-08,1.0224
2.05680e-08,1.0846
2.05913e-08,1.1337
2.06146e-08,1.1714
2.06378e-08,1.1986
2.06611e-08,1.2164
2.06844e-08,1.2269
2.07076e-08,1.2333
2.07309e-08,1.2384
2.07542e-08,1.2436
2.07774e-08,1.2496
2.08007e-08,1.2571
2.08240e-08,1.2655
2.08472e-08,1.2737
2.08705e-08,1.2809
2.08938e-08,1.2861
2.09170e-08,1.2878
2.09403e-08,1.2842
2.09636e-08,1.2740
2.09868e-08,1.2562
2.10101e-08,1.2321
2.10334e-08,1.2052
2.10566e-08,1.1798
2.10799e-08,1.1588
2.11032e-08,1.1437
2.11264e-08,1.1355
2.11497e-08,1.1340
2.11730e-08,1.1380
2.11962e-08,1.1459
2.12195e-08,1.1558
2.12428e-08,1.1661
2.12660e-08,1.1754
2.12893e-08,1.1821
2.13126e-08,1.1854
2.13358e-08,1.1859
2.13591e-08,1.1844
2.13824e-08,1.1813
2.14056e-08,1.1771
2.14289e-08,1.1726
2.14522e-08,1.1689
2.14754e-08,1.1675
2.14987e-08,1.1701
2.15220e-08,1.1770
2.15452e-08,1.1877
2.15685e-08,1.2007
2.15918e-08,1.2137
2.16150e-08,1.2248
2.16383e-08,1.2322
2.16616e-08,1.2353
2.16848e-08,1.2343
2.17081e-08,1.2246
2.17314e-08,1.1793
2.17546e-08,1.0880
2.17779e-08,0.9074
2.18012e-08,0.7561
2.18244e-08,0.6474
2.18477e-08,0.5685
2.18710e-08,0.5208
2.18942e-08,0.4951
2.19175e-08,0.4839
2.19408e-08,0.4826
2.19640e-08,0.4880
2.19873e-08,0.4971
2.20106e-08,0.5074
2.20338e-08,0.5161
2.20571e-08,0.5213
2.20804e-08,0.5236
2.21037e-08,0.5241
2.21269e-08,0.5216
2.21502e-08,0.5169
2.21735e-08,0.5108
2.21967e-08,0.5055
2.22200e-08,0.5029
2.22433e-08,0.5021
2.22665e-08,0.4976
2.22898e-08,0.4823
2.23131e-08,0.4536
2.23363e-08,0.4116
2.23596e-08,0.3706
2.23829e-08,0.3794
2.24061e-08,0.4832
2.24294e-08,0.5954
2.24527e-08,0.6558
2.24759e-08,0.6866
2.24992e-08,0.6953
2.25225e-08,0.6873
2.25457e-08,0.6701
2.25690e-08,0.6521
2.25923e-08,0.6337
2.26155e-08,0.6157
2.26388e-08,0.5993
2.26621e-08,0.5860
2.26853e-08,0.5755
2.27086e-08,0.5661
2.27319e-08,0.5544
2.27551e-08,0.5414
2.27784e-08,0.5296
2.28017e-08,0.5206
2.28249e-08,0.5165
2.28482e-08,0.5195
2.28715e-08,0.5319
2.28947e-08,0.5568
2.29180e-08,0.5992
2.29413e-08,0.6592
2.29645e-08,0.7195
2.29878e-08,0.7665
2.30111e-08,0.7384
2.30343e-08,0.6488
2.30576e-08,0.5758
2.30809e-08,0.5313
2.31041e-08,0.5056
2.31274e-08,0.4991
2.31507e-08,0.5018
2.31739e-08,0.5062
2.31972e-08,0.5120
