.HEADER
..NAMES
Time,V U1.U3
.DATA
1.63800e-08,1.2221
1.64032e-08,1.2314
1.64265e-08,1.2400
1.64498e-08,1.2482
1.64730e-08,1.2563
1.64963e-08,1.2634
1.65196e-08,1.2684
1.65428e-08,1.2695
1.65661e-08,1.2642
1.65894e-08,1.2514
1.66126e-08,1.2318
1.66359e-08,1.2078
1.66592e-08,1.1835
1.66824e-08,1.1631
1.67057e-08,1.1457
1.67290e-08,1.1022
1.67522e-08,1.0259
1.67755e-08,0.8613
1.67988e-08,0.7223
1.68220e-08,0.6302
1.68453e-08,0.5683
1.68686e-08,0.5338
1.68918e-08,0.5147
1.69151e-08,0.5032
1.69384e-08,0.4963
1.69616e-08,0.4909
1.69849e-08,0.4860
1.70082e-08,0.4814
1.70314e-08,0.4776
1.70547e-08,0.4752
1.70780e-08,0.4761
1.71012e-08,0.4826
1.71245e-08,0.4948
1.71478e-08,0.5103
1.71710e-08,0.5248
1.71943e-08,0.5367
1.72176e-08,0.5458
1.72408e-08,0.5462
1.72641e-08,0.5295
1.72874e-08,0.4931
1.73106e-08,0.4381
1.73339e-08,0.3676
1.73572e-08,0.3008
1.73804e-08,0.2796
1.74037e-08,0.3597
1.74270e-08,0.4739
1.74502e-08,0.5409
1.74735e-08,0.5892
1.74968e-08,0.6116
1.75201e-08,0.6168
1.75433e-08,0.6166
1.75666e-08,0.6113
1.75899e-08,0.6046
1.76131e-08,0.5960
1.76364e-08,0.5868
1.76597e-08,0.5778
1.76829e-08,0.5680
1.77062e-08,0.5580
1.77295e-08,0.5472
1.77527e-08,0.5371
1.77760e-08,0.5319
1.77993e-08,0.5363
1.78225e-08,0.5520
1.78458e-08,0.5760
1.78691e-08,0.6085
1.78923e-08,0.6520
1.79156e-08,0.7057
1.79389e-08,0.7679
1.79621e-08,0.8284
1.79854e-08,0.8654
1.80087e-08,0.8326
1.80319e-08,0.7280
1.80552e-08,0.6384
1.80785e-08,0.5851
1.81017e-08,0.5541
1.81250e-08,0.5436
1.81483e-08,0.5439
1.81715e-08,0.5480
1.81948e-08,0.5525
1.82181e-08,0.5572
1.82413e-08,0.5622
1.82646e-08,0.5664
1.82879e-08,0.5685
1.83111e-08,0.5677
1.83344e-08,0.5647
1.83577e-08,0.5604
1.83809e-08,0.5551
1.84042e-08,0.5491
1.84275e-08,0.5403
1.84507e-08,0.5285
1.84740e-08,0.5139
1.84973e-08,0.4907
1.85205e-08,0.4537
1.85438e-08,0.4042
1.85671e-08,0.3440
1.85903e-08,0.2759
1.86136e-08,0.2063
1.86369e-08,0.1415
1.86601e-08,0.0861
1.86834e-08,0.0424
1.87067e-08,0.0095
1.87299e-08,-0.0154
1.87532e-08,-0.0342
1.87765e-08,-0.0480
1.87997e-08,-0.0576
1.88230e-08,-0.0643
1.88463e-08,-0.0693
1.88695e-08,-0.0729
1.88928e-08,-0.0749
1.89161e-08,-0.0758
1.89393e-08,-0.0770
1.89626e-08,-0.0784
1.89859e-08,-0.0784
1.90091e-08,-0.0758
1.90324e-08,-0.0695
1.90557e-08,-0.0578
1.90789e-08,-0.0406
1.91022e-08,-0.0191
1.91255e-08,0.0039
1.91487e-08,0.0247
1.91720e-08,0.0401
1.91953e-08,0.0491
1.92185e-08,0.0526
1.92418e-08,0.0519
1.92651e-08,0.0484
1.92883e-08,0.0436
1.93116e-08,0.0390
1.93349e-08,0.0353
1.93581e-08,0.0323
1.93814e-08,0.0296
1.94047e-08,0.0273
1.94279e-08,0.0257
1.94512e-08,0.0246
1.94745e-08,0.0240
1.94977e-08,0.0237
1.95210e-08,0.0234
1.95443e-08,0.0221
1.95675e-08,0.0190
1.95908e-08,0.0129
1.96141e-08,0.0042
1.96373e-08,-0.0057
1.96606e-08,-0.0147
1.96839e-08,-0.0213
1.97071e-08,-0.0244
1.97304e-08,-0.0240
1.97537e-08,-0.0207
1.97769e-08,-0.0158
1.98002e-08,-0.0109
1.98235e-08,-0.0068
