.HEADER
..NAMES
Time,V U1.E3
.DATA
1.43557e-08,0.5180
1.43790e-08,0.4999
1.44023e-08,0.4997
1.44255e-08,0.5021
1.44488e-08,0.5062
1.44721e-08,0.5131
1.44953e-08,0.5159
1.45186e-08,0.5106
1.45419e-08,0.5037
1.45651e-08,0.4987
1.45884e-08,0.4921
1.46117e-08,0.4828
1.46349e-08,0.4791
1.46582e-08,0.4852
1.46815e-08,0.4957
1.47047e-08,0.5087
1.47280e-08,0.5255
1.47513e-08,0.5426
1.47745e-08,0.5495
1.47978e-08,0.5399
1.48211e-08,0.5137
1.48443e-08,0.4716
1.48676e-08,0.4364
1.48909e-08,0.4748
1.49141e-08,0.5793
1.49374e-08,0.6564
1.49607e-08,0.6885
1.49839e-08,0.6964
1.50072e-08,0.6760
1.50305e-08,0.6456
1.50537e-08,0.6186
1.50770e-08,0.5981
1.51003e-08,0.5828
1.51236e-08,0.5765
1.51468e-08,0.5822
1.51701e-08,0.5914
1.51934e-08,0.5971
1.52166e-08,0.6003
1.52399e-08,0.6010
1.52632e-08,0.5934
1.52864e-08,0.5750
1.53097e-08,0.5532
1.53330e-08,0.5342
1.53562e-08,0.5204
1.53795e-08,0.5172
1.54028e-08,0.5329
1.54260e-08,0.5722
1.54493e-08,0.6321
1.54726e-08,0.6853
1.54958e-08,0.7235
1.55191e-08,0.6694
1.55424e-08,0.5964
1.55656e-08,0.5514
1.55889e-08,0.5291
1.56122e-08,0.5272
1.56354e-08,0.5394
1.56587e-08,0.5528
1.56820e-08,0.5595
1.57052e-08,0.5634
1.57285e-08,0.5634
1.57518e-08,0.5562
1.57750e-08,0.5458
1.57983e-08,0.5403
1.58216e-08,0.5397
1.58448e-08,0.5415
1.58681e-08,0.5462
1.58914e-08,0.5581
1.59146e-08,0.5724
1.59379e-08,0.5822
1.59612e-08,0.5866
1.59844e-08,0.5847
1.60077e-08,0.5711
1.60310e-08,0.5402
1.60542e-08,0.4936
1.60775e-08,0.4348
1.61008e-08,0.3650
1.61240e-08,0.2880
1.61473e-08,0.2121
1.61706e-08,0.1449
1.61938e-08,0.0881
1.62171e-08,0.0420
1.62404e-08,0.0089
1.62636e-08,-0.0120
1.62869e-08,-0.0253
1.63102e-08,-0.0346
1.63334e-08,-0.0400
1.63567e-08,-0.0427
1.63800e-08,-0.0462
1.64032e-08,-0.0518
1.64265e-08,-0.0580
1.64498e-08,-0.0644
