.HEADER
..NAMES
Time,V U1.E3
.DATA
7.2048e-09,1.2000
7.2145e-09,1.2000
7.2241e-09,1.1999
7.2338e-09,1.1999
7.2434e-09,1.1999
7.2530e-09,1.1999
7.2627e-09,1.1999
7.2723e-09,1.1999
7.2820e-09,1.1999
7.2916e-09,1.1999
7.3013e-09,1.1999
7.3109e-09,1.1999
7.3206e-09,1.1999
7.3302e-09,1.1999
7.3398e-09,1.1999
7.3495e-09,1.1999
7.3591e-09,1.1999
7.3688e-09,1.2000
7.3784e-09,1.2000
7.3881e-09,1.2000
7.3977e-09,1.2000
7.4074e-09,1.2000
7.4170e-09,1.2000
7.4266e-09,1.2000
7.4363e-09,1.2000
7.4459e-09,1.2000
7.4556e-09,1.2000
7.4652e-09,1.2000
7.4749e-09,1.2000
7.4845e-09,1.2000
7.4942e-09,1.2000
7.5038e-09,1.2000
7.5135e-09,1.2000
7.5231e-09,1.2000
7.5327e-09,1.2000
7.5424e-09,1.2000
7.5520e-09,1.2000
7.5617e-09,1.2000
7.5713e-09,1.2000
7.5810e-09,1.2000
7.5906e-09,1.2000
7.6003e-09,1.1999
7.6099e-09,1.1999
7.6196e-09,1.1999
7.6292e-09,1.1999
7.6388e-09,1.2000
7.6485e-09,1.2000
7.6581e-09,1.2000
7.6678e-09,1.2000
7.6774e-09,1.2000
7.6871e-09,1.2000
7.6967e-09,1.2000
7.7064e-09,1.2000
7.7160e-09,1.2000
7.7256e-09,1.2000
7.7353e-09,1.2000
7.7449e-09,1.2000
7.7546e-09,1.2000
7.7642e-09,1.2000
7.7739e-09,1.2000
7.7835e-09,1.2000
7.7932e-09,1.2000
7.8028e-09,1.2000
7.8125e-09,1.2000
7.8221e-09,1.2000
7.8317e-09,1.2000
7.8414e-09,1.2000
7.8510e-09,1.2000
7.8607e-09,1.2000
7.8703e-09,1.2000
7.8800e-09,1.2000
7.8896e-09,1.2000
7.8993e-09,1.2000
7.9089e-09,1.2000
7.9185e-09,1.2000
7.9282e-09,1.2000
7.9378e-09,1.2000
7.9475e-09,1.2000
7.9571e-09,1.2000
7.9668e-09,1.2000
7.9764e-09,1.2000
7.9861e-09,1.2000
7.9957e-09,1.2000
8.0054e-09,1.2000
8.0150e-09,1.2000
8.0246e-09,1.2000
8.0343e-09,1.2000
8.0439e-09,1.2000
8.0536e-09,1.2000
8.0632e-09,1.2000
8.0729e-09,1.2000
8.0825e-09,1.2000
8.0922e-09,1.2000
8.1018e-09,1.2000
8.1114e-09,1.2000
8.1211e-09,1.2000
8.1307e-09,1.2000
8.1404e-09,1.2000
8.1500e-09,1.2000
8.1597e-09,1.2000
8.1693e-09,1.2000
8.1790e-09,1.2000
8.1886e-09,1.2000
8.1983e-09,1.2000
8.2079e-09,1.2000
8.2175e-09,1.2000
8.2272e-09,1.2000
8.2368e-09,1.2000
8.2465e-09,1.2000
8.2561e-09,1.2000
8.2658e-09,1.2000
8.2754e-09,1.2000
8.2851e-09,1.2000
8.2947e-09,1.2000
8.3043e-09,1.2000
8.3140e-09,1.2000
8.3236e-09,1.2000
8.3333e-09,1.2000
8.3429e-09,1.2000
8.3526e-09,1.2000
8.3622e-09,1.2000
8.3719e-09,1.2000
8.3815e-09,1.2000
8.3911e-09,1.2000
8.4008e-09,1.2000
8.4104e-09,1.2000
8.4201e-09,1.2000
8.4297e-09,1.2000
8.4394e-09,1.2000
8.4490e-09,1.2000
8.4587e-09,1.2000
8.4683e-09,1.2000
8.4780e-09,1.2000
8.4876e-09,1.1994
8.4972e-09,1.1973
8.5069e-09,1.1928
8.5165e-09,1.1846
8.5262e-09,1.1712
8.5358e-09,1.1515
8.5455e-09,1.1244
8.5551e-09,1.0887
8.5648e-09,1.0434
8.5744e-09,0.9885
8.5840e-09,0.9244
8.5937e-09,0.8519
8.6033e-09,0.7721
8.6130e-09,0.6863
8.6226e-09,0.5962
8.6323e-09,0.5037
8.6419e-09,0.4108
8.6516e-09,0.3190
8.6612e-09,0.2301
8.6709e-09,0.1460
8.6805e-09,0.0681
8.6901e-09,-0.0026
8.6998e-09,-0.0655
8.7094e-09,-0.1205
8.7191e-09,-0.1667
8.7287e-09,-0.2036
8.7384e-09,-0.2311
8.7480e-09,-0.2500
8.7577e-09,-0.2618
8.7673e-09,-0.2676
8.7769e-09,-0.2687
8.7866e-09,-0.2664
8.7962e-09,-0.2619
8.8059e-09,-0.2561
8.8155e-09,-0.2498
8.8252e-09,-0.2435
8.8348e-09,-0.2375
8.8445e-09,-0.2320
8.8541e-09,-0.2272
8.8638e-09,-0.2231
8.8734e-09,-0.2199
8.8830e-09,-0.2177
8.8927e-09,-0.2167
8.9023e-09,-0.2170
8.9120e-09,-0.2187
8.9216e-09,-0.2219
8.9313e-09,-0.2267
8.9409e-09,-0.2328
8.9506e-09,-0.2398
8.9602e-09,-0.2474
8.9698e-09,-0.2551
8.9795e-09,-0.2625
8.9891e-09,-0.2693
8.9988e-09,-0.2750
9.0084e-09,-0.2796
9.0181e-09,-0.2830
9.0277e-09,-0.2851
9.0374e-09,-0.2859
9.0470e-09,-0.2855
9.0567e-09,-0.2839
9.0663e-09,-0.2811
9.0759e-09,-0.2772
9.0856e-09,-0.2722
9.0952e-09,-0.2663
9.1049e-09,-0.2593
9.1145e-09,-0.2516
9.1242e-09,-0.2431
9.1338e-09,-0.2340
9.1435e-09,-0.2242
9.1531e-09,-0.2138
9.1627e-09,-0.2029
9.1724e-09,-0.1914
9.1820e-09,-0.1793
9.1917e-09,-0.1666
9.2013e-09,-0.1532
9.2110e-09,-0.1390
9.2206e-09,-0.1242
9.2303e-09,-0.1089
9.2399e-09,-0.0931
9.2496e-09,-0.0770
9.2592e-09,-0.0609
9.2688e-09,-0.0453
9.2785e-09,-0.0305
9.2881e-09,-0.0169
9.2978e-09,-0.0047
9.3074e-09,0.0060
9.3171e-09,0.0152
9.3267e-09,0.0228
9.3364e-09,0.0290
9.3460e-09,0.0339
9.3556e-09,0.0377
9.3653e-09,0.0405
9.3749e-09,0.0425
9.3846e-09,0.0438
9.3942e-09,0.0444
9.4039e-09,0.0444
9.4135e-09,0.0440
9.4232e-09,0.0433
9.4328e-09,0.0425
9.4425e-09,0.0416
9.4521e-09,0.0408
9.4617e-09,0.0400
9.4714e-09,0.0395
9.4810e-09,0.0392
9.4907e-09,0.0393
9.5003e-09,0.0397
9.5100e-09,0.0405
9.5196e-09,0.0415
9.5293e-09,0.0429
9.5389e-09,0.0445
9.5486e-09,0.0463
9.5582e-09,0.0483
9.5678e-09,0.0504
9.5775e-09,0.0527
9.5871e-09,0.0552
9.5968e-09,0.0579
9.6064e-09,0.0607
9.6161e-09,0.0636
9.6257e-09,0.0664
9.6354e-09,0.0690
9.6450e-09,0.0711
9.6546e-09,0.0727
9.6643e-09,0.0738
9.6739e-09,0.0742
9.6836e-09,0.0740
9.6932e-09,0.0732
9.7029e-09,0.0720
9.7125e-09,0.0704
9.7222e-09,0.0686
9.7318e-09,0.0664
9.7415e-09,0.0641
9.7511e-09,0.0615
9.7607e-09,0.0587
9.7704e-09,0.0557
9.7800e-09,0.0525
9.7897e-09,0.0492
9.7993e-09,0.0456
9.8090e-09,0.0420
9.8186e-09,0.0381
9.8283e-09,0.0343
9.8379e-09,0.0304
9.8475e-09,0.0266
9.8572e-09,0.0229
9.8668e-09,0.0193
9.8765e-09,0.0159
9.8861e-09,0.0128
9.8958e-09,0.0099
9.9054e-09,0.0071
9.9151e-09,0.0046
9.9247e-09,0.0022
9.9344e-09,0.0001
9.9440e-09,-0.0017
9.9536e-09,-0.0032
9.9633e-09,-0.0043
9.9729e-09,-0.0051
9.9826e-09,-0.0056
9.9922e-09,-0.0058
1.00019e-08,-0.0058
1.00115e-08,-0.0059
1.00212e-08,-0.0059
1.00308e-08,-0.0060
1.00404e-08,-0.0062
1.00501e-08,-0.0065
1.00597e-08,-0.0069
1.00694e-08,-0.0073
1.00790e-08,-0.0078
1.00887e-08,-0.0083
1.00983e-08,-0.0087
1.01080e-08,-0.0092
1.01176e-08,-0.0097
1.01273e-08,-0.0102
1.01369e-08,-0.0107
1.01465e-08,-0.0113
1.01562e-08,-0.0120
1.01658e-08,-0.0128
1.01755e-08,-0.0136
1.01851e-08,-0.0145
1.01948e-08,-0.0155
1.02044e-08,-0.0164
