.HEADER
..NAMES
Time,V U2.J3
.DATA
1.40067e-08,0.9422
1.40300e-08,1.0321
1.40533e-08,1.1046
1.40765e-08,1.1607
1.40998e-08,1.1968
1.41231e-08,1.2192
1.41463e-08,1.2372
1.41696e-08,1.2506
1.41929e-08,1.2614
1.42161e-08,1.2707
1.42394e-08,1.2751
1.42627e-08,1.2728
1.42859e-08,1.2700
1.43092e-08,1.2669
1.43325e-08,1.2568
1.43557e-08,1.2419
1.43790e-08,1.2248
1.44023e-08,1.2024
1.44255e-08,1.1737
1.44488e-08,1.1452
1.44721e-08,1.1207
1.44953e-08,1.0996
1.45186e-08,1.0863
1.45419e-08,1.0817
1.45651e-08,1.0800
1.45884e-08,1.0805
1.46117e-08,1.0882
1.46349e-08,1.1009
1.46582e-08,1.1139
1.46815e-08,1.1284
1.47047e-08,1.1437
1.47280e-08,1.1549
1.47513e-08,1.1617
1.47745e-08,1.1672
1.47978e-08,1.1710
1.48211e-08,1.1736
1.48443e-08,1.1793
1.48676e-08,1.1878
1.48909e-08,1.1949
1.49141e-08,1.2014
1.49374e-08,1.2097
1.49607e-08,1.2184
1.49839e-08,1.2260
1.50072e-08,1.2338
1.50305e-08,1.2401
1.50537e-08,1.2421
1.50770e-08,1.2407
1.51003e-08,1.2369
1.51236e-08,1.2303
1.51468e-08,1.2223
1.51701e-08,1.2160
1.51934e-08,1.2111
1.52166e-08,1.2059
1.52399e-08,1.2011
1.52632e-08,1.1979
1.52864e-08,1.1958
1.53097e-08,1.1952
1.53330e-08,1.1967
1.53562e-08,1.1988
1.53795e-08,1.1997
1.54028e-08,1.1999
1.54260e-08,1.1989
1.54493e-08,1.1963
1.54726e-08,1.1931
1.54958e-08,1.1910
1.55191e-08,1.1900
1.55424e-08,1.1892
1.55656e-08,1.1890
1.55889e-08,1.1894
1.56122e-08,1.1904
1.56354e-08,1.1927
1.56587e-08,1.1963
1.56820e-08,1.2003
1.57052e-08,1.2038
1.57285e-08,1.2066
1.57518e-08,1.2082
1.57750e-08,1.2083
1.57983e-08,1.2075
1.58216e-08,1.2068
1.58448e-08,1.2062
1.58681e-08,1.2054
1.58914e-08,1.2046
1.59146e-08,1.2035
1.59379e-08,1.2024
1.59612e-08,1.2020
1.59844e-08,1.2027
1.60077e-08,1.2039
1.60310e-08,1.2052
1.60542e-08,1.2064
1.60775e-08,1.2068
1.61008e-08,1.2064
1.61240e-08,1.2054
1.61473e-08,1.2042
1.61706e-08,1.2031
1.61938e-08,1.2020
1.62171e-08,1.2011
1.62404e-08,1.1999
1.62636e-08,1.1988
1.62869e-08,1.1982
1.63102e-08,1.1984
1.63334e-08,1.1992
1.63567e-08,1.2003
1.63800e-08,1.2015
1.64032e-08,1.2024
1.64265e-08,1.2028
1.64498e-08,1.2028
1.64730e-08,1.2027
1.64963e-08,1.2026
1.65196e-08,1.2025
1.65428e-08,1.2024
1.65661e-08,1.2020
1.65894e-08,1.2013
1.66126e-08,1.2008
1.66359e-08,1.2006
1.66592e-08,1.2010
1.66824e-08,1.2017
1.67057e-08,1.2025
1.67290e-08,1.2033
1.67522e-08,1.2037
1.67755e-08,1.2038
1.67988e-08,1.2038
1.68220e-08,1.2036
1.68453e-08,1.2035
1.68686e-08,1.2033
1.68918e-08,1.2029
1.69151e-08,1.2023
1.69384e-08,1.2016
1.69616e-08,1.2012
1.69849e-08,1.2012
1.70082e-08,1.2014
1.70314e-08,1.2018
1.70547e-08,1.2022
1.70780e-08,1.2025
1.71012e-08,1.2025
1.71245e-08,1.2025
1.71478e-08,1.2025
1.71710e-08,1.2026
1.71943e-08,1.2026
1.72176e-08,1.2025
1.72408e-08,1.2023
1.72641e-08,1.2018
1.72874e-08,1.2014
1.73106e-08,1.2012
1.73339e-08,1.2013
1.73572e-08,1.2016
1.73804e-08,1.2019
1.74037e-08,1.2022
1.74270e-08,1.2023
1.74502e-08,1.2024
1.74735e-08,1.2025
1.74968e-08,1.2026
1.75201e-08,1.1995
1.75433e-08,1.1867
1.75666e-08,1.1528
1.75899e-08,1.0885
1.76131e-08,1.0032
1.76364e-08,0.9007
1.76597e-08,0.7801
1.76829e-08,0.6588
1.77062e-08,0.5361
1.77295e-08,0.4097
1.77527e-08,0.2940
1.77760e-08,0.1914
1.77993e-08,0.1019
1.78225e-08,0.0311
1.78458e-08,-0.0160
1.78691e-08,-0.0442
1.78923e-08,-0.0677
1.79156e-08,-0.0859
1.79389e-08,-0.1007
1.79621e-08,-0.1195
1.79854e-08,-0.1363
1.80087e-08,-0.1452
1.80319e-08,-0.1523
1.80552e-08,-0.1597
1.80785e-08,-0.1587
1.81017e-08,-0.1511
1.81250e-08,-0.1406
1.81483e-08,-0.1207
1.81715e-08,-0.0886
1.81948e-08,-0.0516
1.82181e-08,-0.0153
1.82413e-08,0.0207
1.82646e-08,0.0502
1.82879e-08,0.0686
1.83111e-08,0.0825
1.83344e-08,0.0935
1.83577e-08,0.0967
1.83809e-08,0.0931
1.84042e-08,0.0877
1.84275e-08,0.0782
1.84507e-08,0.0648
1.84740e-08,0.0548
1.84973e-08,0.0500
1.85205e-08,0.0478
1.85438e-08,0.0484
1.85671e-08,0.0514
1.85903e-08,0.0511
1.86136e-08,0.0459
1.86369e-08,0.0403
1.86601e-08,0.0338
1.86834e-08,0.0242
1.87067e-08,0.0133
1.87299e-08,0.0023
1.87532e-08,-0.0105
1.87765e-08,-0.0236
1.87997e-08,-0.0330
1.88230e-08,-0.0382
1.88463e-08,-0.0396
1.88695e-08,-0.0363
1.88928e-08,-0.0298
1.89161e-08,-0.0239
1.89393e-08,-0.0192
1.89626e-08,-0.0140
1.89859e-08,-0.0090
1.90091e-08,-0.0051
1.90324e-08,-0.0018
1.90557e-08,0.0002
1.90789e-08,-0.0007
1.91022e-08,-0.0033
1.91255e-08,-0.0057
1.91487e-08,-0.0072
1.91720e-08,-0.0070
1.91953e-08,-0.0040
1.92185e-08,0.0008
1.92418e-08,0.0053
1.92651e-08,0.0091
1.92883e-08,0.0124
1.93116e-08,0.0150
1.93349e-08,0.0168
1.93581e-08,0.0180
