.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.71710e-08,0.4946
1.71943e-08,0.4970
1.72176e-08,0.5071
1.72408e-08,0.5294
1.72641e-08,0.5789
1.72874e-08,0.6650
1.73106e-08,0.7756
1.73339e-08,0.8846
1.73572e-08,0.9712
1.73804e-08,1.0354
1.74037e-08,1.0884
1.74270e-08,1.1374
1.74502e-08,1.1758
1.74735e-08,1.1969
1.74968e-08,1.2022
1.75201e-08,1.1988
1.75433e-08,1.1947
1.75666e-08,1.1936
1.75899e-08,1.1945
1.76131e-08,1.1959
1.76364e-08,1.1987
1.76597e-08,1.2047
1.76829e-08,1.2141
1.77062e-08,1.2231
1.77295e-08,1.2270
1.77527e-08,1.2246
1.77760e-08,1.2194
1.77993e-08,1.2139
1.78225e-08,1.2067
1.78458e-08,1.1921
1.78691e-08,1.1615
1.78923e-08,1.1016
1.79156e-08,1.0140
1.79389e-08,0.9172
1.79621e-08,0.8328
1.79854e-08,0.7707
1.80087e-08,0.7230
1.80319e-08,0.6783
1.80552e-08,0.6336
1.80785e-08,0.5980
1.81017e-08,0.5755
1.81250e-08,0.5640
1.81483e-08,0.5576
1.81715e-08,0.5520
1.81948e-08,0.5456
1.82181e-08,0.5398
1.82413e-08,0.5351
1.82646e-08,0.5297
1.82879e-08,0.5230
1.83111e-08,0.5154
1.83344e-08,0.5085
1.83577e-08,0.5034
1.83809e-08,0.4995
1.84042e-08,0.4959
1.84275e-08,0.4945
1.84507e-08,0.4988
1.84740e-08,0.5117
1.84973e-08,0.5396
1.85205e-08,0.5990
1.85438e-08,0.6942
1.85671e-08,0.8077
1.85903e-08,0.9122
1.86136e-08,0.9918
1.86369e-08,1.0515
1.86601e-08,1.1034
1.86834e-08,1.1506
1.87067e-08,1.1846
1.87299e-08,1.2008
1.87532e-08,1.2024
1.87765e-08,1.1979
1.87997e-08,1.1944
1.88230e-08,1.1940
1.88463e-08,1.1951
1.88695e-08,1.1965
1.88928e-08,1.1998
1.89161e-08,1.2069
1.89393e-08,1.2168
1.89626e-08,1.2249
1.89859e-08,1.2269
1.90091e-08,1.2232
1.90324e-08,1.2179
1.90557e-08,1.2123
1.90789e-08,1.2039
1.91022e-08,1.1861
1.91255e-08,1.1490
1.91487e-08,1.0810
1.91720e-08,0.9892
1.91953e-08,0.8933
1.92185e-08,0.8139
1.92418e-08,0.7558
1.92651e-08,0.7099
1.92883e-08,0.6650
1.93116e-08,0.6223
1.93349e-08,0.5898
1.93581e-08,0.5702
1.93814e-08,0.5606
1.94047e-08,0.5550
1.94279e-08,0.5496
1.94512e-08,0.5435
1.94745e-08,0.5382
1.94977e-08,0.5334
1.95210e-08,0.5279
1.95443e-08,0.5211
1.95675e-08,0.5136
1.95908e-08,0.5071
1.96141e-08,0.5024
1.96373e-08,0.4985
1.96606e-08,0.4952
1.96839e-08,0.4950
1.97071e-08,0.5013
1.97304e-08,0.5171
1.97537e-08,0.5525
1.97769e-08,0.6234
1.98002e-08,0.7266
1.98235e-08,0.8400
1.98468e-08,0.9372
1.98700e-08,1.0100
1.98933e-08,1.0667
1.99166e-08,1.1181
1.99398e-08,1.1626
1.99631e-08,1.1911
1.99864e-08,1.2023
2.00096e-08,1.2013
2.00329e-08,1.1968
2.00562e-08,1.1943
2.00794e-08,1.1946
2.01027e-08,1.1954
2.01260e-08,1.1971
2.01492e-08,1.2015
2.01725e-08,1.2098
2.01958e-08,1.2197
2.02190e-08,1.2261
2.02423e-08,1.2261
2.02656e-08,1.2216
2.02888e-08,1.2163
2.03121e-08,1.2105
2.03354e-08,1.2002
2.03586e-08,1.1786
2.03819e-08,1.1341
2.04052e-08,1.0588
2.04284e-08,0.9632
2.04517e-08,0.8690
2.04750e-08,0.7949
2.04982e-08,0.7414
2.05215e-08,0.6974
2.05448e-08,0.6529
2.05680e-08,0.6120
2.05913e-08,0.5826
2.06146e-08,0.5661
2.06378e-08,0.5584
2.06611e-08,0.5535
2.06844e-08,0.5480
2.07076e-08,0.5418
2.07309e-08,0.5366
2.07542e-08,0.5317
2.07774e-08,0.5260
2.08007e-08,0.5190
2.08240e-08,0.5116
2.08472e-08,0.5054
2.08705e-08,0.5011
2.08938e-08,0.4975
2.09170e-08,0.4949
2.09403e-08,0.4961
2.09636e-08,0.5046
2.09868e-08,0.5242
2.10101e-08,0.5681
2.10334e-08,0.6482
2.10566e-08,0.7551
2.10799e-08,0.8654
2.11032e-08,0.9562
2.11264e-08,1.0243
2.11497e-08,1.0791
2.11730e-08,1.1292
2.11962e-08,1.1698
2.12195e-08,1.1937
2.12428e-08,1.2016
2.12660e-08,1.1996
2.12893e-08,1.1957
2.13126e-08,1.1941
2.13358e-08,1.1946
2.13591e-08,1.1956
2.13824e-08,1.1981
2.14056e-08,1.2036
2.14289e-08,1.2125
2.14522e-08,1.2218
2.14754e-08,1.2265
2.14987e-08,1.2250
2.15220e-08,1.2202
2.15452e-08,1.2147
2.15685e-08,1.2081
2.15918e-08,1.1954
2.16150e-08,1.1689
2.16383e-08,1.1155
2.16616e-08,1.0323
2.16848e-08,0.9349
2.17081e-08,0.8460
2.17314e-08,0.7795
2.17546e-08,0.7303
2.17779e-08,0.6864
2.18012e-08,0.6415
2.18244e-08,0.6032
2.18477e-08,0.5780
2.18710e-08,0.5649
2.18942e-08,0.5583
2.19175e-08,0.5530
2.19408e-08,0.5467
2.19640e-08,0.5405
2.19873e-08,0.5356
2.20106e-08,0.5306
2.20338e-08,0.5243
2.20571e-08,0.5167
2.20804e-08,0.5095
2.21037e-08,0.5040
2.21269e-08,0.5001
2.21502e-08,0.4965
2.21735e-08,0.4946
2.21967e-08,0.4976
2.22200e-08,0.5086
2.22433e-08,0.5328
2.22665e-08,0.5859
2.22898e-08,0.6752
2.23131e-08,0.7867
2.23363e-08,0.8940
2.23596e-08,0.9780
2.23829e-08,1.0407
2.24061e-08,1.0934
2.24294e-08,1.1418
2.24527e-08,1.1785
2.24759e-08,1.1979
2.24992e-08,1.2020
2.25225e-08,1.1983
2.25457e-08,1.1945
