.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
1.52166e-08,0.4937
1.52399e-08,0.4870
1.52632e-08,0.4926
1.52864e-08,0.5025
1.53097e-08,0.5087
1.53330e-08,0.5162
1.53562e-08,0.5367
1.53795e-08,0.5964
1.54028e-08,0.7137
1.54260e-08,0.8437
1.54493e-08,0.9360
1.54726e-08,0.9995
1.54958e-08,1.0540
1.55191e-08,1.1049
1.55424e-08,1.1442
1.55656e-08,1.1662
1.55889e-08,1.1798
1.56122e-08,1.1894
1.56354e-08,1.1906
1.56587e-08,1.1885
1.56820e-08,1.1925
1.57052e-08,1.2013
1.57285e-08,1.2101
1.57518e-08,1.2142
1.57750e-08,1.2116
1.57983e-08,1.2094
1.58216e-08,1.2148
1.58448e-08,1.2233
1.58681e-08,1.2239
1.58914e-08,1.2123
1.59146e-08,1.1970
1.59379e-08,1.1874
1.59612e-08,1.1780
1.59844e-08,1.1483
1.60077e-08,1.0736
1.60310e-08,0.9586
1.60542e-08,0.8573
1.60775e-08,0.7932
1.61008e-08,0.7457
1.61240e-08,0.7024
1.61473e-08,0.6643
1.61706e-08,0.6360
1.61938e-08,0.6127
1.62171e-08,0.5885
1.62404e-08,0.5714
1.62636e-08,0.5636
1.62869e-08,0.5555
1.63102e-08,0.5411
1.63334e-08,0.5256
1.63567e-08,0.5155
1.63800e-08,0.5140
1.64032e-08,0.5180
1.64265e-08,0.5165
1.64498e-08,0.5044
1.64730e-08,0.4909
1.64963e-08,0.4875
1.65196e-08,0.4951
1.65428e-08,0.5042
1.65661e-08,0.5100
1.65894e-08,0.5200
1.66126e-08,0.5481
1.66359e-08,0.6258
1.66592e-08,0.7558
1.66824e-08,0.8775
1.67057e-08,0.9572
1.67290e-08,1.0165
1.67522e-08,1.0713
1.67755e-08,1.1201
1.67988e-08,1.1537
1.68220e-08,1.1712
1.68453e-08,1.1838
1.68686e-08,1.1914
1.68918e-08,1.1904
1.69151e-08,1.1891
1.69384e-08,1.1949
1.69616e-08,1.2041
1.69849e-08,1.2120
1.70082e-08,1.2141
1.70314e-08,1.2104
1.70547e-08,1.2101
1.70780e-08,1.2176
1.71012e-08,1.2249
1.71245e-08,1.2216
1.71478e-08,1.2074
1.71710e-08,1.1933
1.71943e-08,1.1859
1.72176e-08,1.1737
1.72408e-08,1.1344
1.72641e-08,1.0457
1.72874e-08,0.9298
1.73106e-08,0.8365
1.73339e-08,0.7781
1.73572e-08,0.7324
1.73804e-08,0.6905
1.74037e-08,0.6548
1.74270e-08,0.6287
1.74502e-08,0.6047
1.74735e-08,0.5819
1.74968e-08,0.5682
1.75201e-08,0.5613
1.75433e-08,0.5516
1.75666e-08,0.5361
1.75899e-08,0.5217
1.76131e-08,0.5141
1.76364e-08,0.5149
1.76597e-08,0.5185
1.76829e-08,0.5140
1.77062e-08,0.5004
1.77295e-08,0.4888
1.77527e-08,0.4887
1.77760e-08,0.4977
1.77993e-08,0.5059
1.78225e-08,0.5120
1.78458e-08,0.5253
1.78691e-08,0.5637
1.78923e-08,0.6579
1.79156e-08,0.7900
1.79389e-08,0.8984
1.79621e-08,0.9714
1.79854e-08,1.0304
1.80087e-08,1.0836
1.80319e-08,1.1289
1.80552e-08,1.1579
1.80785e-08,1.1744
1.81017e-08,1.1864
1.81250e-08,1.1913
1.81483e-08,1.1894
1.81715e-08,1.1905
1.81948e-08,1.1975
1.82181e-08,1.2061
1.82413e-08,1.2130
1.82646e-08,1.2133
1.82879e-08,1.2098
1.83111e-08,1.2118
1.83344e-08,1.2200
1.83577e-08,1.2247
1.83809e-08,1.2178
1.84042e-08,1.2029
1.84275e-08,1.1911
1.84507e-08,1.1840
1.84740e-08,1.1662
1.84973e-08,1.1152
1.85205e-08,1.0146
1.85438e-08,0.9002
1.85671e-08,0.8172
1.85903e-08,0.7651
1.86136e-08,0.7212
1.86369e-08,0.6806
1.86601e-08,0.6471
1.86834e-08,0.6224
1.87067e-08,0.5985
1.87299e-08,0.5777
1.87532e-08,0.5665
1.87765e-08,0.5596
1.87997e-08,0.5478
1.88230e-08,0.5318
1.88463e-08,0.5190
1.88695e-08,0.5137
1.88928e-08,0.5160
1.89161e-08,0.5182
1.89393e-08,0.5108
1.89626e-08,0.4965
1.89859e-08,0.4874
1.90091e-08,0.4906
1.90324e-08,0.5004
1.90557e-08,0.5077
1.90789e-08,0.5146
1.91022e-08,0.5317
1.91255e-08,0.5816
1.91487e-08,0.6899
1.91720e-08,0.8204
1.91953e-08,0.9193
1.92185e-08,0.9875
1.92418e-08,1.0441
1.92651e-08,1.0948
1.92883e-08,1.1369
1.93116e-08,1.1623
1.93349e-08,1.1774
1.93581e-08,1.1880
1.93814e-08,1.1906
1.94047e-08,1.1888
1.94279e-08,1.1918
1.94512e-08,1.1995
1.94745e-08,1.2082
1.94977e-08,1.2139
1.95210e-08,1.2125
1.95443e-08,1.2096
1.95675e-08,1.2135
1.95908e-08,1.2218
1.96141e-08,1.2241
1.96373e-08,1.2145
1.96606e-08,1.1994
1.96839e-08,1.1890
1.97071e-08,1.1805
1.97304e-08,1.1556
1.97537e-08,1.0902
1.97769e-08,0.9782
1.98002e-08,0.8711
1.98235e-08,0.8017
1.98468e-08,0.7543
1.98700e-08,0.7104
1.98933e-08,0.6709
1.99166e-08,0.6406
1.99398e-08,0.6173
1.99631e-08,0.5932
1.99864e-08,0.5743
2.00096e-08,0.5653
2.00329e-08,0.5576
2.00562e-08,0.5437
2.00794e-08,0.5279
2.01027e-08,0.5169
2.01260e-08,0.5138
2.01492e-08,0.5174
2.01725e-08,0.5174
2.01958e-08,0.5067
2.02190e-08,0.4925
2.02423e-08,0.4870
2.02656e-08,0.4936
2.02888e-08,0.5033
2.03121e-08,0.5093
2.03354e-08,0.5175
2.03586e-08,0.5404
2.03819e-08,0.6068
2.04052e-08,0.7302
2.04284e-08,0.8581
2.04517e-08,0.9452
2.04750e-08,1.0064
2.04982e-08,1.0606
2.05215e-08,1.1108
2.05448e-08,1.1482
2.05680e-08,1.1682
2.05913e-08,1.1811
2.06146e-08,1.1902
2.06378e-08,1.1904
2.06611e-08,1.1885
2.06844e-08,1.1932
2.07076e-08,1.2023
2.07309e-08,1.2110
2.07542e-08,1.2144
2.07774e-08,1.2110
2.08007e-08,1.2094
2.08240e-08,1.2158
2.08472e-08,1.2241
2.08705e-08,1.2234
2.08938e-08,1.2105
2.09170e-08,1.1954
2.09403e-08,1.1866
2.09636e-08,1.1762
2.09868e-08,1.1430
2.10101e-08,1.0624
2.10334e-08,0.9461
2.10566e-08,0.8488
2.10799e-08,0.7882
2.11032e-08,0.7412
2.11264e-08,0.6981
2.11497e-08,0.6609
2.11730e-08,0.6337
2.11962e-08,0.6103
2.12195e-08,0.5863
2.12428e-08,0.5703
2.12660e-08,0.5631
2.12893e-08,0.5545
2.13126e-08,0.5394
2.13358e-08,0.5241
2.13591e-08,0.5149
2.13824e-08,0.5144
2.14056e-08,0.5184
2.14289e-08,0.5156
2.14522e-08,0.5027
2.14754e-08,0.4899
2.14987e-08,0.4880
2.15220e-08,0.4963
2.15452e-08,0.5050
2.15685e-08,0.5106
2.15918e-08,0.5217
2.16150e-08,0.5531
2.16383e-08,0.6371
2.16616e-08,0.7687
2.16848e-08,0.8863
2.17081e-08,0.9632
2.17314e-08,1.0218
2.17546e-08,1.0761
2.17779e-08,1.1238
2.18012e-08,1.1556
2.18244e-08,1.1724
2.18477e-08,1.1849
2.18710e-08,1.1915
2.18942e-08,1.1900
2.19175e-08,1.1894
2.19408e-08,1.1958
2.19640e-08,1.2050
2.19873e-08,1.2125
2.20106e-08,1.2138
2.20338e-08,1.2100
2.20571e-08,1.2106
2.20804e-08,1.2185
2.21037e-08,1.2251
2.21269e-08,1.2205
2.21502e-08,1.2058
2.21735e-08,1.1924
2.21967e-08,1.1852
2.22200e-08,1.1712
2.22433e-08,1.1277
2.22665e-08,1.0339
2.22898e-08,0.9184
2.23131e-08,0.8293
2.23363e-08,0.7734
2.23596e-08,0.7280
2.23829e-08,0.6866
2.24061e-08,0.6518
2.24294e-08,0.6264
2.24527e-08,0.6023
2.24759e-08,0.5800
2.24992e-08,0.5674
2.25225e-08,0.5607
2.25457e-08,0.5502
2.25690e-08,0.5345
2.25923e-08,0.5206
2.26155e-08,0.5138
2.26388e-08,0.5153
2.26621e-08,0.5185
2.26853e-08,0.5129
2.27086e-08,0.4989
2.27319e-08,0.4882
2.27551e-08,0.4894
2.27784e-08,0.4987
2.28017e-08,0.5065
2.28249e-08,0.5129
2.28482e-08,0.5276
2.28715e-08,0.5705
2.28947e-08,0.6710
2.29180e-08,0.8037
2.29413e-08,0.9078
2.29645e-08,0.9783
2.29878e-08,1.0366
2.30111e-08,1.0893
2.30343e-08,1.1332
2.30576e-08,1.1602
2.30809e-08,1.1759
2.31041e-08,1.1875
2.31274e-08,1.1914
2.31507e-08,1.1893
2.31739e-08,1.1910
2.31972e-08,1.1984
2.32205e-08,1.2070
2.32437e-08,1.2134
2.32670e-08,1.2129
2.32903e-08,1.2096
2.33135e-08,1.2125
2.33368e-08,1.2209
2.33601e-08,1.2247
2.33833e-08,1.2165
2.34066e-08,1.2014
2.34299e-08,1.1902
2.34531e-08,1.1830
2.34764e-08,1.1629
2.34997e-08,1.1073
2.35229e-08,1.0028
2.35462e-08,0.8901
2.35695e-08,0.8107
2.35927e-08,0.7601
2.36160e-08,0.7167
2.36393e-08,0.6766
2.36625e-08,0.6440
2.36858e-08,0.6197
2.37091e-08,0.5959
2.37323e-08,0.5759
2.37556e-08,0.5656
2.37789e-08,0.5585
2.38021e-08,0.5462
2.38254e-08,0.5302
2.38487e-08,0.5180
2.38719e-08,0.5136
2.38952e-08,0.5164
2.39185e-08,0.5180
2.39417e-08,0.5096
2.39650e-08,0.4952
2.39883e-08,0.4872
2.40115e-08,0.4914
2.40348e-08,0.5012
2.40581e-08,0.5083
2.40813e-08,0.5157
2.41046e-08,0.5350
2.41279e-08,0.5907
2.41511e-08,0.7042
2.41744e-08,0.8328
2.41977e-08,0.9276
2.42209e-08,0.9941
2.42442e-08,1.0500
2.42675e-08,1.1001
2.42907e-08,1.1405
2.43140e-08,1.1643
2.43373e-08,1.1789
2.43605e-08,1.1888
2.43838e-08,1.1904
2.44071e-08,1.1889
2.44303e-08,1.1925
2.44536e-08,1.2004
2.44769e-08,1.2090
2.45002e-08,1.2141
2.45234e-08,1.2121
2.45467e-08,1.2097
2.45700e-08,1.2144
2.45932e-08,1.2224
2.46165e-08,1.2235
2.46398e-08,1.2129
2.46630e-08,1.1980
2.46863e-08,1.1883
2.47096e-08,1.1791
2.47328e-08,1.1513
2.47561e-08,1.0804
2.47794e-08,0.9661
2.48026e-08,0.8621
2.48259e-08,0.7961
