.HEADER
..NAMES
Time,V U2.R8
.DATA
2.24527e-08,-0.1680
2.24759e-08,-0.1768
2.24992e-08,-0.1816
2.25225e-08,-0.1901
2.25457e-08,-0.2045
2.25690e-08,-0.2175
2.25923e-08,-0.2156
2.26155e-08,-0.1927
2.26388e-08,-0.1564
2.26621e-08,-0.1151
2.26853e-08,-0.0685
2.27086e-08,-0.0177
2.27319e-08,0.0283
2.27551e-08,0.0654
2.27784e-08,0.0956
2.28017e-08,0.1188
2.28249e-08,0.1319
2.28482e-08,0.1334
2.28715e-08,0.1266
2.28947e-08,0.1267
2.29180e-08,0.1632
2.29413e-08,0.2444
2.29645e-08,0.3419
2.29878e-08,0.4426
2.30111e-08,0.5597
2.30343e-08,0.6947
2.30576e-08,0.8301
2.30809e-08,0.9562
2.31041e-08,1.0719
2.31274e-08,1.1643
2.31507e-08,1.2247
2.31739e-08,1.2572
2.31972e-08,1.2671
2.32205e-08,1.2609
2.32437e-08,1.2483
2.32670e-08,1.2404
2.32903e-08,1.2418
2.33135e-08,1.2453
2.33368e-08,1.2467
2.33601e-08,1.2512
2.33833e-08,1.2658
2.34066e-08,1.2909
2.34299e-08,1.3159
2.34531e-08,1.3274
2.34764e-08,1.3213
2.34997e-08,1.3024
2.35229e-08,1.2736
2.35462e-08,1.2353
2.35695e-08,1.1932
2.35927e-08,1.1542
2.36160e-08,1.1201
2.36393e-08,1.0916
2.36625e-08,1.0713
2.36858e-08,1.0552
2.37091e-08,1.0307
2.37323e-08,0.9803
2.37556e-08,0.8948
2.37789e-08,0.8065
2.38021e-08,0.7204
2.38254e-08,0.6099
2.38487e-08,0.4707
2.38719e-08,0.3279
2.38952e-08,0.1998
2.39185e-08,0.0804
2.39417e-08,-0.0226
2.39650e-08,-0.0981
2.39883e-08,-0.1483
2.40115e-08,-0.1750
2.40348e-08,-0.1852
2.40581e-08,-0.1839
2.40813e-08,-0.1759
2.41046e-08,-0.1674
2.41279e-08,-0.1556
2.41511e-08,-0.1404
2.41744e-08,-0.1309
2.41977e-08,-0.1338
2.42209e-08,-0.1463
2.42442e-08,-0.1571
2.42675e-08,-0.1559
2.42907e-08,-0.1433
2.43140e-08,-0.1267
2.43373e-08,-0.1057
2.43605e-08,-0.0742
2.43838e-08,-0.0343
2.44071e-08,0.0058
2.44303e-08,0.0446
2.44536e-08,0.0815
2.44769e-08,0.1121
