.HEADER
..NAMES
Time,V U2.D7
.DATA
2.25457e-08,0.0299
2.25690e-08,0.0538
2.25923e-08,0.0813
2.26155e-08,0.1020
2.26388e-08,0.1094
2.26621e-08,0.1166
2.26853e-08,0.1457
2.27086e-08,0.2154
2.27319e-08,0.2892
2.27551e-08,0.3468
2.27784e-08,0.4276
2.28017e-08,0.5503
2.28249e-08,0.6728
2.28482e-08,0.7866
2.28715e-08,0.9028
2.28947e-08,1.0052
2.29180e-08,1.0898
2.29413e-08,1.1613
2.29645e-08,1.2114
2.29878e-08,1.2351
2.30111e-08,1.2440
2.30343e-08,1.2499
2.30576e-08,1.2370
2.30809e-08,1.1887
2.31041e-08,1.0946
2.31274e-08,0.9928
2.31507e-08,0.9198
2.31739e-08,0.8404
2.31972e-08,0.7133
2.32205e-08,0.5746
2.32437e-08,0.4520
2.32670e-08,0.3267
2.32903e-08,0.2034
2.33135e-08,0.0977
2.33368e-08,-0.0008
2.33601e-08,-0.0913
2.33833e-08,-0.1564
2.34066e-08,-0.1982
2.34299e-08,-0.2327
2.34531e-08,-0.2542
2.34764e-08,-0.2526
2.34997e-08,-0.2448
2.35229e-08,-0.2480
2.35462e-08,-0.2544
2.35695e-08,-0.2459
2.35927e-08,-0.2185
2.36160e-08,-0.1855
2.36393e-08,-0.1626
2.36625e-08,-0.1453
2.36858e-08,-0.1180
2.37091e-08,-0.0829
2.37323e-08,-0.0486
2.37556e-08,-0.0152
2.37789e-08,0.0142
2.38021e-08,0.0384
2.38254e-08,0.0652
2.38487e-08,0.0937
2.38719e-08,0.1121
2.38952e-08,0.1208
2.39185e-08,0.1279
2.39417e-08,0.1291
2.39650e-08,0.1167
2.39883e-08,0.0987
2.40115e-08,0.0872
2.40348e-08,0.0817
2.40581e-08,0.0752
2.40813e-08,0.0643
2.41046e-08,0.0509
2.41279e-08,0.0403
2.41511e-08,0.0354
2.41744e-08,0.0313
2.41977e-08,0.0227
2.42209e-08,0.0105
2.42442e-08,-0.0013
2.42675e-08,-0.0091
2.42907e-08,-0.0135
2.43140e-08,-0.0192
2.43373e-08,-0.0274
2.43605e-08,-0.0339
2.43838e-08,-0.0384
2.44071e-08,-0.0438
2.44303e-08,-0.0475
2.44536e-08,-0.0444
2.44769e-08,-0.0362
