.HEADER
..NAMES
Time,V U2.P2
.DATA
1.71012e-08,0.1867
1.71245e-08,0.3054
1.71478e-08,0.4175
1.71710e-08,0.5477
1.71943e-08,0.7025
1.72176e-08,0.8503
1.72408e-08,0.9742
1.72641e-08,1.0778
1.72874e-08,1.1578
1.73106e-08,1.2101
1.73339e-08,1.2386
1.73572e-08,1.2526
1.73804e-08,1.2625
1.74037e-08,1.2751
1.74270e-08,1.2897
1.74502e-08,1.3011
1.74735e-08,1.3075
1.74968e-08,1.3111
1.75201e-08,1.3161
1.75433e-08,1.3251
1.75666e-08,1.3325
1.75899e-08,1.3254
1.76131e-08,1.2982
1.76364e-08,1.2615
1.76597e-08,1.2267
1.76829e-08,1.1900
1.77062e-08,1.1481
1.77295e-08,1.1100
1.77527e-08,1.0827
1.77760e-08,1.0640
1.77993e-08,1.0534
1.78225e-08,1.0550
1.78458e-08,1.0667
1.78691e-08,1.0703
1.78923e-08,1.0406
1.79156e-08,0.9520
1.79389e-08,0.8361
1.79621e-08,0.7239
1.79854e-08,0.5960
1.80087e-08,0.4385
1.80319e-08,0.2831
1.80552e-08,0.1539
1.80785e-08,0.0445
1.81017e-08,-0.0380
1.81250e-08,-0.0859
1.81483e-08,-0.1046
1.81715e-08,-0.1061
1.81948e-08,-0.1019
1.82181e-08,-0.0998
1.82413e-08,-0.1035
1.82646e-08,-0.1099
1.82879e-08,-0.1151
1.83111e-08,-0.1189
1.83344e-08,-0.1273
1.83577e-08,-0.1445
1.83809e-08,-0.1660
1.84042e-08,-0.1768
1.84275e-08,-0.1648
1.84507e-08,-0.1343
1.84740e-08,-0.0979
1.84973e-08,-0.0555
1.85205e-08,-0.0036
1.85438e-08,0.0480
1.85671e-08,0.0887
1.85903e-08,0.1191
1.86136e-08,0.1397
1.86369e-08,0.1450
1.86601e-08,0.1324
1.86834e-08,0.1059
1.87067e-08,0.0743
1.87299e-08,0.0474
1.87532e-08,0.0316
1.87765e-08,0.0263
1.87997e-08,0.0265
1.88230e-08,0.0279
1.88463e-08,0.0302
1.88695e-08,0.0354
1.88928e-08,0.0438
1.89161e-08,0.0511
1.89393e-08,0.0517
1.89626e-08,0.0444
1.89859e-08,0.0315
1.90091e-08,0.0137
1.90324e-08,-0.0086
1.90557e-08,-0.0306
1.90789e-08,-0.0467
1.91022e-08,-0.0566
1.91255e-08,-0.0628
1.91487e-08,-0.0644
1.91720e-08,-0.0585
1.91953e-08,-0.0441
1.92185e-08,-0.0236
1.92418e-08,-0.0026
1.92651e-08,0.0130
1.92883e-08,0.0200
1.93116e-08,0.0192
1.93349e-08,0.0137
1.93581e-08,0.0063
1.93814e-08,-0.0011
1.94047e-08,-0.0077
1.94279e-08,-0.0126
1.94512e-08,-0.0150
1.94745e-08,-0.0143
1.94977e-08,-0.0107
1.95210e-08,-0.0038
1.95443e-08,0.0065
1.95675e-08,0.0174
1.95908e-08,0.0252
1.96141e-08,0.0286
1.96373e-08,0.0292
1.96606e-08,0.0283
1.96839e-08,0.0257
1.97071e-08,0.0203
1.97304e-08,0.0117
1.97537e-08,0.0011
1.97769e-08,-0.0090
1.98002e-08,-0.0159
1.98235e-08,-0.0181
1.98468e-08,-0.0153
1.98700e-08,-0.0090
1.98933e-08,-0.0014
1.99166e-08,0.0053
1.99398e-08,0.0098
1.99631e-08,0.0119
1.99864e-08,0.0119
2.00096e-08,0.0105
2.00329e-08,0.0073
2.00562e-08,0.0021
2.00794e-08,-0.0041
2.01027e-08,-0.0093
2.01260e-08,-0.0118
2.01492e-08,-0.0116
2.01725e-08,-0.0096
2.01958e-08,-0.0069
2.02190e-08,-0.0039
2.02423e-08,-0.0006
2.02656e-08,0.0030
2.02888e-08,0.0070
2.03121e-08,0.0108
2.03354e-08,0.0133
2.03586e-08,0.0135
2.03819e-08,0.0110
2.04052e-08,0.0065
2.04284e-08,0.0014
2.04517e-08,-0.0028
2.04750e-08,-0.0051
2.04982e-08,-0.0057
2.05215e-08,-0.0050
2.05448e-08,-0.0032
2.05680e-08,-0.0005
2.05913e-08,0.0031
2.06146e-08,0.0067
2.06378e-08,0.0092
2.06611e-08,0.0100
2.06844e-08,0.0089
2.07076e-08,0.0066
2.07309e-08,0.0038
2.07542e-08,0.0013
2.07774e-08,-0.0004
2.08007e-08,-0.0015
2.08240e-08,-0.0023
2.08472e-08,-0.0031
2.08705e-08,-0.0035
2.08938e-08,-0.0031
2.09170e-08,-0.0014
2.09403e-08,0.0011
2.09636e-08,0.0037
2.09868e-08,0.0057
2.10101e-08,0.0066
2.10334e-08,0.0066
2.10566e-08,0.0057
2.10799e-08,0.0043
2.11032e-08,0.0024
2.11264e-08,0.0004
2.11497e-08,-0.0015
2.11730e-08,-0.0028
2.11962e-08,-0.0030
2.12195e-08,-0.0020
2.12428e-08,-0.0000
2.12660e-08,0.0022
2.12893e-08,0.0040
2.13126e-08,0.0049
2.13358e-08,0.0050
2.13591e-08,0.0046
2.13824e-08,0.0042
2.14056e-08,0.0038
2.14289e-08,0.0032
2.14522e-08,0.0023
2.14754e-08,0.0012
2.14987e-08,0.0001
2.15220e-08,-0.0005
2.15452e-08,-0.0007
2.15685e-08,-0.0004
2.15918e-08,0.0003
2.16150e-08,0.0012
2.16383e-08,0.0022
2.16616e-08,0.0031
2.16848e-08,0.0040
2.17081e-08,0.0046
2.17314e-08,0.0046
2.17546e-08,0.0040
2.17779e-08,0.0027
2.18012e-08,0.0012
2.18244e-08,0.0000
2.18477e-08,-0.0005
2.18710e-08,-0.0003
2.18942e-08,0.0002
2.19175e-08,0.0009
2.19408e-08,0.0016
2.19640e-08,0.0022
2.19873e-08,0.0026
2.20106e-08,0.0033
2.20338e-08,0.0083
2.20571e-08,0.0320
2.20804e-08,0.1001
2.21037e-08,0.2106
2.21269e-08,0.3256
2.21502e-08,0.4383
2.21735e-08,0.5749
2.21967e-08,0.7312
2.22200e-08,0.8741
2.22433e-08,0.9944
2.22665e-08,1.0949
2.22898e-08,1.1706
2.23131e-08,1.2191
2.23363e-08,1.2451
2.23596e-08,1.2583
2.23829e-08,1.2684
2.24061e-08,1.2809
2.24294e-08,1.2941
2.24527e-08,1.3032
2.24759e-08,1.3076
2.24992e-08,1.3102
2.25225e-08,1.3153
2.25457e-08,1.3245
2.25690e-08,1.3303
2.25923e-08,1.3200
2.26155e-08,1.2913
2.26388e-08,1.2563
2.26621e-08,1.2227
2.26853e-08,1.1849
2.27086e-08,1.1425
2.27319e-08,1.1058
