.HEADER
..NAMES
Time,V U2.C2
.DATA
1.98933e-08,0.0585
1.99166e-08,0.0636
1.99398e-08,0.0653
1.99631e-08,0.0592
1.99864e-08,0.0428
2.00096e-08,0.0221
2.00329e-08,0.0048
2.00562e-08,-0.0070
2.00794e-08,-0.0151
2.01027e-08,-0.0232
2.01260e-08,-0.0329
2.01492e-08,-0.0351
2.01725e-08,-0.0074
2.01958e-08,0.0764
2.02190e-08,0.1944
2.02423e-08,0.2912
2.02656e-08,0.3850
2.02888e-08,0.5115
2.03121e-08,0.6394
2.03354e-08,0.7612
2.03586e-08,0.8900
2.03819e-08,1.0057
2.04052e-08,1.0929
2.04284e-08,1.1538
2.04517e-08,1.1946
2.04750e-08,1.2231
2.04982e-08,1.2510
2.05215e-08,1.2812
2.05448e-08,1.2966
2.05680e-08,1.2790
2.05913e-08,1.2176
2.06146e-08,1.1226
2.06378e-08,1.0389
2.06611e-08,0.9635
2.06844e-08,0.8413
2.07076e-08,0.6922
2.07309e-08,0.5475
2.07542e-08,0.3858
2.07774e-08,0.2219
2.08007e-08,0.0904
2.08240e-08,-0.0142
2.08472e-08,-0.1027
2.08705e-08,-0.1712
2.08938e-08,-0.2231
2.09170e-08,-0.2609
2.09403e-08,-0.2754
2.09636e-08,-0.2642
2.09868e-08,-0.2344
2.10101e-08,-0.1646
2.10334e-08,-0.0394
2.10566e-08,0.0781
2.10799e-08,0.1757
2.11032e-08,0.3149
2.11264e-08,0.4767
2.11497e-08,0.6331
2.11730e-08,0.8025
2.11962e-08,0.9633
2.12195e-08,1.0983
2.12428e-08,1.2184
2.12660e-08,1.3191
2.12893e-08,1.3903
2.13126e-08,1.4384
2.13358e-08,1.4714
2.13591e-08,1.4857
2.13824e-08,1.4723
2.14056e-08,1.4306
2.14289e-08,1.3472
2.14522e-08,1.2340
2.14754e-08,1.1300
2.14987e-08,1.0132
2.15220e-08,0.8507
2.15452e-08,0.6867
2.15685e-08,0.5321
2.15918e-08,0.3626
2.16150e-08,0.2038
2.16383e-08,0.0714
2.16616e-08,-0.0456
2.16848e-08,-0.1407
2.17081e-08,-0.2111
2.17314e-08,-0.2669
2.17546e-08,-0.3060
2.17779e-08,-0.3215
2.18012e-08,-0.3187
2.18244e-08,-0.3120
2.18477e-08,-0.3095
2.18710e-08,-0.3064
2.18942e-08,-0.2945
2.19175e-08,-0.2693
2.19408e-08,-0.2373
2.19640e-08,-0.2058
2.19873e-08,-0.1663
2.20106e-08,-0.1199
2.20338e-08,-0.0795
2.20571e-08,-0.0384
2.20804e-08,0.0101
2.21037e-08,0.0567
2.21269e-08,0.0972
2.21502e-08,0.1297
2.21735e-08,0.1476
2.21967e-08,0.1548
2.22200e-08,0.1599
2.22433e-08,0.1614
2.22665e-08,0.1538
2.22898e-08,0.1385
2.23131e-08,0.1215
2.23363e-08,0.1064
2.23596e-08,0.0936
2.23829e-08,0.0832
2.24061e-08,0.0751
2.24294e-08,0.0682
2.24527e-08,0.0592
2.24759e-08,0.0448
2.24992e-08,0.0285
2.25225e-08,0.0154
2.25457e-08,0.0038
2.25690e-08,-0.0087
2.25923e-08,-0.0223
2.26155e-08,-0.0376
2.26388e-08,-0.0512
2.26621e-08,-0.0584
2.26853e-08,-0.0605
2.27086e-08,-0.0604
2.27319e-08,-0.0575
2.27551e-08,-0.0514
2.27784e-08,-0.0438
2.28017e-08,-0.0356
2.28249e-08,-0.0261
2.28482e-08,-0.0160
2.28715e-08,-0.0076
2.28947e-08,-0.0032
2.29180e-08,-0.0030
2.29413e-08,-0.0040
