.HEADER
..NAMES
Time,V U2.E7
.DATA
1.85671e-08,1.1992
1.85903e-08,1.1986
1.86136e-08,1.1983
1.86369e-08,1.1982
1.86601e-08,1.1985
1.86834e-08,1.1988
1.87067e-08,1.1989
1.87299e-08,1.1991
1.87532e-08,1.1992
1.87765e-08,1.1991
1.87997e-08,1.1986
1.88230e-08,1.1982
1.88463e-08,1.1980
1.88695e-08,1.1985
1.88928e-08,1.1991
1.89161e-08,1.1993
1.89393e-08,1.1991
1.89626e-08,1.1986
1.89859e-08,1.1984
1.90091e-08,1.1987
1.90324e-08,1.1990
1.90557e-08,1.1991
1.90789e-08,1.1991
1.91022e-08,1.1989
1.91255e-08,1.1990
1.91487e-08,1.1989
1.91720e-08,1.1988
1.91953e-08,1.1987
1.92185e-08,1.1988
1.92418e-08,1.1990
1.92651e-08,1.1989
1.92883e-08,1.1901
1.93116e-08,1.1682
1.93349e-08,1.1107
1.93581e-08,1.0269
1.93814e-08,0.9294
1.94047e-08,0.8264
1.94279e-08,0.7510
1.94512e-08,0.7022
1.94745e-08,0.6700
1.94977e-08,0.6537
1.95210e-08,0.6361
1.95443e-08,0.6126
1.95675e-08,0.5904
1.95908e-08,0.5683
1.96141e-08,0.5490
1.96373e-08,0.5406
1.96606e-08,0.5360
1.96839e-08,0.5298
1.97071e-08,0.5230
1.97304e-08,0.5096
1.97537e-08,0.4969
1.97769e-08,0.4911
1.98002e-08,0.4899
1.98235e-08,0.4950
1.98468e-08,0.4997
1.98700e-08,0.5024
1.98933e-08,0.5054
1.99166e-08,0.5091
1.99398e-08,0.5150
1.99631e-08,0.5219
1.99864e-08,0.5270
2.00096e-08,0.5293
2.00329e-08,0.5288
2.00562e-08,0.5248
2.00794e-08,0.5203
2.01027e-08,0.5174
2.01260e-08,0.5166
2.01492e-08,0.5197
2.01725e-08,0.5231
2.01958e-08,0.5246
2.02190e-08,0.5239
2.02423e-08,0.5210
2.02656e-08,0.5189
2.02888e-08,0.5188
2.03121e-08,0.5194
2.03354e-08,0.5200
2.03586e-08,0.5193
2.03819e-08,0.5173
2.04052e-08,0.5151
2.04284e-08,0.5132
2.04517e-08,0.5119
2.04750e-08,0.5120
2.04982e-08,0.5127
2.05215e-08,0.5138
2.05448e-08,0.5149
2.05680e-08,0.5148
2.05913e-08,0.5143
2.06146e-08,0.5141
2.06378e-08,0.5144
2.06611e-08,0.5152
2.06844e-08,0.5155
2.07076e-08,0.5149
2.07309e-08,0.5140
2.07542e-08,0.5133
2.07774e-08,0.5133
2.08007e-08,0.5139
2.08240e-08,0.5146
2.08472e-08,0.5150
2.08705e-08,0.5152
2.08938e-08,0.5151
2.09170e-08,0.5149
2.09403e-08,0.5148
2.09636e-08,0.5188
2.09868e-08,0.5456
2.10101e-08,0.6151
2.10334e-08,0.7106
2.10566e-08,0.8318
2.10799e-08,0.9525
2.11032e-08,1.0344
2.11264e-08,1.0944
2.11497e-08,1.1238
2.11730e-08,1.1314
2.11962e-08,1.1427
2.12195e-08,1.1512
2.12428e-08,1.1607
2.12660e-08,1.1783
2.12893e-08,1.1916
2.13126e-08,1.1958
2.13358e-08,1.1995
2.13591e-08,1.1995
2.13824e-08,1.2028
2.14056e-08,1.2142
2.14289e-08,1.2214
2.14522e-08,1.2248
2.14754e-08,1.2209
2.14987e-08,1.2100
2.15220e-08,1.2017
2.15452e-08,1.1944
2.15685e-08,1.1901
2.15918e-08,1.1888
2.16150e-08,1.1878
2.16383e-08,1.1885
2.16616e-08,1.1897
2.16848e-08,1.1897
2.17081e-08,1.1904
2.17314e-08,1.1931
2.17546e-08,1.1963
2.17779e-08,1.1963
2.18012e-08,1.1827
2.18244e-08,1.1395
2.18477e-08,1.0602
2.18710e-08,0.9645
2.18942e-08,0.8597
2.19175e-08,0.7727
2.19408e-08,0.7178
2.19640e-08,0.6792
2.19873e-08,0.6583
2.20106e-08,0.6423
2.20338e-08,0.6204
2.20571e-08,0.5972
2.20804e-08,0.5758
2.21037e-08,0.5550
2.21269e-08,0.5434
2.21502e-08,0.5396
2.21735e-08,0.5334
2.21967e-08,0.5260
2.22200e-08,0.5137
2.22433e-08,0.4992
2.22665e-08,0.4917
2.22898e-08,0.4894
2.23131e-08,0.4927
2.23363e-08,0.4976
2.23596e-08,0.5001
2.23829e-08,0.5029
2.24061e-08,0.5065
2.24294e-08,0.5120
2.24527e-08,0.5191
2.24759e-08,0.5251
2.24992e-08,0.5285
2.25225e-08,0.5290
2.25457e-08,0.5259
2.25690e-08,0.5207
2.25923e-08,0.5171
2.26155e-08,0.5163
2.26388e-08,0.5281
2.26621e-08,0.5766
2.26853e-08,0.6603
2.27086e-08,0.7657
2.27319e-08,0.8921
2.27551e-08,0.9951
2.27784e-08,1.0653
2.28017e-08,1.1154
2.28249e-08,1.1316
2.28482e-08,1.1386
2.28715e-08,1.1481
2.28947e-08,1.1537
2.29180e-08,1.1654
2.29413e-08,1.1822
2.29645e-08,1.1908
2.29878e-08,1.1952
2.30111e-08,1.1994
2.30343e-08,1.2005
2.30576e-08,1.2084
2.30809e-08,1.2187
2.31041e-08,1.2236
2.31274e-08,1.2251
2.31507e-08,1.2175
2.31739e-08,1.2072
2.31972e-08,1.1992
2.32205e-08,1.1918
2.32437e-08,1.1887
2.32670e-08,1.1876
2.32903e-08,1.1874
2.33135e-08,1.1891
2.33368e-08,1.1902
2.33601e-08,1.1904
2.33833e-08,1.1922
2.34066e-08,1.1951
2.34299e-08,1.1984
2.34531e-08,1.2019
2.34764e-08,1.2016
2.34997e-08,1.1988
2.35229e-08,1.1958
2.35462e-08,1.1933
2.35695e-08,1.1940
2.35927e-08,1.1957
2.36160e-08,1.1967
2.36393e-08,1.1978
2.36625e-08,1.1978
2.36858e-08,1.1977
2.37091e-08,1.1979
2.37323e-08,1.1979
2.37556e-08,1.1984
2.37789e-08,1.1996
2.38021e-08,1.2005
2.38254e-08,1.2008
2.38487e-08,1.1994
2.38719e-08,1.1877
2.38952e-08,1.1629
2.39185e-08,1.1019
2.39417e-08,1.0174
2.39650e-08,0.9198
2.39883e-08,0.8178
2.40115e-08,0.7462
2.40348e-08,0.6988
2.40581e-08,0.6683
2.40813e-08,0.6530
2.41046e-08,0.6344
2.41279e-08,0.6107
2.41511e-08,0.5890
2.41744e-08,0.5667
2.41977e-08,0.5479
2.42209e-08,0.5400
2.42442e-08,0.5347
2.42675e-08,0.5287
2.42907e-08,0.5245
2.43140e-08,0.5303
2.43373e-08,0.5811
2.43605e-08,0.6669
2.43838e-08,0.7836
2.44071e-08,0.9170
2.44303e-08,1.0110
2.44536e-08,1.0787
2.44769e-08,1.1185
2.45002e-08,1.1304
2.45234e-08,1.1463
2.45467e-08,1.1611
2.45700e-08,1.1722
2.45932e-08,1.1892
2.46165e-08,1.2024
2.46398e-08,1.2022
2.46630e-08,1.2012
2.46863e-08,1.1988
2.47096e-08,1.1998
2.47328e-08,1.2145
2.47561e-08,1.2273
2.47794e-08,1.2339
2.48026e-08,1.2319
2.48259e-08,1.2179
2.48492e-08,1.2061
