.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
2.18942e-08,0.6462
2.19175e-08,0.6595
2.19408e-08,0.6806
2.19640e-08,0.6938
2.19873e-08,0.6908
2.20106e-08,0.6544
2.20338e-08,0.5477
2.20571e-08,0.3380
2.20804e-08,0.1089
2.21037e-08,-0.0630
2.21269e-08,-0.2031
2.21502e-08,-0.3327
2.21735e-08,-0.4416
2.21967e-08,-0.5189
2.22200e-08,-0.5677
2.22433e-08,-0.6096
2.22665e-08,-0.6365
2.22898e-08,-0.6440
2.23131e-08,-0.6503
2.23363e-08,-0.6664
2.23596e-08,-0.6844
2.23829e-08,-0.6931
2.24061e-08,-0.6890
2.24294e-08,-0.6504
2.24527e-08,-0.5323
2.24759e-08,-0.3108
2.24992e-08,-0.0859
2.25225e-08,0.0772
2.25457e-08,0.2160
2.25690e-08,0.3490
2.25923e-08,0.4590
2.26155e-08,0.5285
2.26388e-08,0.5694
2.26621e-08,0.6099
2.26853e-08,0.6378
2.27086e-08,0.6443
2.27319e-08,0.6477
2.27551e-08,0.6636
2.27784e-08,0.6841
2.28017e-08,0.6948
2.28249e-08,0.6871
2.28482e-08,0.6407
2.28715e-08,0.5136
2.28947e-08,0.2904
2.29180e-08,0.0702
2.29413e-08,-0.0919
2.29645e-08,-0.2301
2.29878e-08,-0.3562
2.30111e-08,-0.4598
2.30343e-08,-0.5300
2.30576e-08,-0.5764
2.30809e-08,-0.6168
2.31041e-08,-0.6391
2.31274e-08,-0.6448
2.31507e-08,-0.6527
2.31739e-08,-0.6704
2.31972e-08,-0.6869
2.32205e-08,-0.6937
2.32437e-08,-0.6851
2.32670e-08,-0.6353
2.32903e-08,-0.4952
2.33135e-08,-0.2631
2.33368e-08,-0.0491
2.33601e-08,0.1050
2.33833e-08,0.2434
2.34066e-08,0.3730
2.34299e-08,0.4762
2.34531e-08,0.5377
2.34764e-08,0.5774
2.34997e-08,0.6171
2.35229e-08,0.6404
2.35462e-08,0.6446
2.35695e-08,0.6498
2.35927e-08,0.6679
2.36160e-08,0.6872
2.36393e-08,0.6952
2.36625e-08,0.6819
2.36858e-08,0.6239
2.37091e-08,0.4753
2.37323e-08,0.2436
2.37556e-08,0.0342
2.37789e-08,-0.1200
2.38021e-08,-0.2565
2.38254e-08,-0.3787
2.38487e-08,-0.4765
2.38719e-08,-0.5401
