.HEADER
..NAMES
Time,V U2.R3
.DATA
1.56122e-08,1.1746
1.56354e-08,1.1804
1.56587e-08,1.1903
1.56820e-08,1.2037
1.57052e-08,1.2197
1.57285e-08,1.2368
1.57518e-08,1.2509
1.57750e-08,1.2587
1.57983e-08,1.2593
1.58216e-08,1.2537
1.58448e-08,1.2447
1.58681e-08,1.2356
1.58914e-08,1.2272
1.59146e-08,1.2180
1.59379e-08,1.2065
1.59612e-08,1.1952
1.59844e-08,1.1888
1.60077e-08,1.1894
1.60310e-08,1.1948
1.60542e-08,1.2008
1.60775e-08,1.2046
1.61008e-08,1.2054
1.61240e-08,1.2038
1.61473e-08,1.2006
1.61706e-08,1.1958
1.61938e-08,1.1799
1.62171e-08,1.1375
1.62404e-08,1.0450
1.62636e-08,0.9094
1.62869e-08,0.7784
1.63102e-08,0.6559
1.63334e-08,0.5164
1.63567e-08,0.3683
1.63800e-08,0.2366
1.64032e-08,0.1227
1.64265e-08,0.0278
1.64498e-08,-0.0393
1.64730e-08,-0.0812
1.64963e-08,-0.1042
1.65196e-08,-0.1176
1.65428e-08,-0.1300
1.65661e-08,-0.1453
1.65894e-08,-0.1668
1.66126e-08,-0.1883
1.66359e-08,-0.1990
1.66592e-08,-0.1987
1.66824e-08,-0.1961
1.67057e-08,-0.1970
1.67290e-08,-0.1982
1.67522e-08,-0.1857
1.67755e-08,-0.1511
1.67988e-08,-0.1037
1.68220e-08,-0.0554
1.68453e-08,-0.0070
1.68686e-08,0.0393
1.68918e-08,0.0755
1.69151e-08,0.1007
1.69384e-08,0.1173
1.69616e-08,0.1251
1.69849e-08,0.1245
1.70082e-08,0.1160
1.70314e-08,0.1002
1.70547e-08,0.0799
1.70780e-08,0.0608
1.71012e-08,0.0509
1.71245e-08,0.0529
1.71478e-08,0.0600
1.71710e-08,0.0636
1.71943e-08,0.0613
1.72176e-08,0.0560
1.72408e-08,0.0511
1.72641e-08,0.0463
1.72874e-08,0.0379
1.73106e-08,0.0247
1.73339e-08,0.0082
1.73572e-08,-0.0111
