.HEADER
..NAMES
Time,V U2.P7
.DATA
2.24527e-08,1.3131
2.24759e-08,1.3233
2.24992e-08,1.3272
2.25225e-08,1.3318
2.25457e-08,1.3435
2.25690e-08,1.3572
2.25923e-08,1.3569
2.26155e-08,1.3330
2.26388e-08,1.2941
2.26621e-08,1.2538
2.26853e-08,1.2160
2.27086e-08,1.1800
2.27319e-08,1.1461
2.27551e-08,1.1122
2.27784e-08,1.0814
2.28017e-08,1.0644
2.28249e-08,1.0657
2.28482e-08,1.0722
2.28715e-08,1.0616
2.28947e-08,1.0124
2.29180e-08,0.9115
2.29413e-08,0.7985
2.29645e-08,0.6948
2.29878e-08,0.5742
2.30111e-08,0.4263
2.30343e-08,0.2811
2.30576e-08,0.1479
2.30809e-08,0.0286
2.31041e-08,-0.0585
2.31274e-08,-0.1085
2.31507e-08,-0.1312
2.31739e-08,-0.1375
2.31972e-08,-0.1314
2.32205e-08,-0.1220
2.32437e-08,-0.1195
2.32670e-08,-0.1239
2.32903e-08,-0.1274
2.33135e-08,-0.1279
2.33368e-08,-0.1359
2.33601e-08,-0.1573
2.33833e-08,-0.1852
2.34066e-08,-0.2018
2.34299e-08,-0.1933
2.34531e-08,-0.1622
2.34764e-08,-0.1222
2.34997e-08,-0.0789
2.35229e-08,-0.0318
2.35462e-08,0.0152
2.35695e-08,0.0605
2.35927e-08,0.1024
2.36160e-08,0.1318
2.36393e-08,0.1420
2.36625e-08,0.1357
2.36858e-08,0.1180
2.37091e-08,0.0911
2.37323e-08,0.0608
2.37556e-08,0.0374
2.37789e-08,0.0263
2.38021e-08,0.0239
2.38254e-08,0.0239
2.38487e-08,0.0252
2.38719e-08,0.0312
2.38952e-08,0.0442
2.39185e-08,0.0607
2.39417e-08,0.0725
2.39650e-08,0.0717
2.39883e-08,0.0575
2.40115e-08,0.0348
2.40348e-08,0.0096
2.40581e-08,-0.0137
2.40813e-08,-0.0343
2.41046e-08,-0.0524
2.41279e-08,-0.0655
2.41511e-08,-0.0704
2.41744e-08,-0.0668
2.41977e-08,-0.0561
2.42209e-08,-0.0389
2.42442e-08,-0.0174
2.42675e-08,0.0033
2.42907e-08,0.0171
2.43140e-08,0.0217
2.43373e-08,0.0192
2.43605e-08,0.0132
2.43838e-08,0.0065
2.44071e-08,-0.0010
2.44303e-08,-0.0105
