.HEADER
..NAMES
Time,V U2.A3
.DATA
2.15452e-08,1.1957
2.15685e-08,1.1937
2.15918e-08,1.1930
2.16150e-08,1.1939
2.16383e-08,1.1957
2.16616e-08,1.1975
2.16848e-08,1.1988
2.17081e-08,1.2001
2.17314e-08,1.2015
2.17546e-08,1.2030
2.17779e-08,1.2042
2.18012e-08,1.2046
2.18244e-08,1.2043
2.18477e-08,1.2033
2.18710e-08,1.2020
2.18942e-08,1.2003
2.19175e-08,1.1987
2.19408e-08,1.1974
2.19640e-08,1.1967
2.19873e-08,1.1966
2.20106e-08,1.1972
2.20338e-08,1.1984
2.20571e-08,1.2002
2.20804e-08,1.2021
2.21037e-08,1.2035
2.21269e-08,1.2041
2.21502e-08,1.2039
2.21735e-08,1.2035
2.21967e-08,1.2029
2.22200e-08,1.2022
2.22433e-08,1.2012
2.22665e-08,1.2000
2.22898e-08,1.1989
2.23131e-08,1.1983
2.23363e-08,1.1979
2.23596e-08,1.1978
2.23829e-08,1.1979
2.24061e-08,1.1983
2.24294e-08,1.1991
2.24527e-08,1.2003
2.24759e-08,1.2015
2.24992e-08,1.2025
2.25225e-08,1.2030
2.25457e-08,1.2030
2.25690e-08,1.2025
2.25923e-08,1.2016
2.26155e-08,1.1997
2.26388e-08,1.1883
2.26621e-08,1.1536
2.26853e-08,1.0789
2.27086e-08,0.9712
2.27319e-08,0.8723
2.27551e-08,0.7947
2.27784e-08,0.6931
2.28017e-08,0.5554
2.28249e-08,0.4118
2.28482e-08,0.2848
2.28715e-08,0.1796
2.28947e-08,0.0940
2.29180e-08,0.0163
2.29413e-08,-0.0547
2.29645e-08,-0.1082
2.29878e-08,-0.1348
2.30111e-08,-0.1380
2.30343e-08,-0.1328
2.30576e-08,-0.1312
2.30809e-08,-0.1170
2.31041e-08,-0.0452
2.31274e-08,0.0783
2.31507e-08,0.1768
2.31739e-08,0.2405
2.31972e-08,0.3451
2.32205e-08,0.5050
2.32437e-08,0.6712
2.32670e-08,0.8199
2.32903e-08,0.9491
2.33135e-08,1.0645
2.33368e-08,1.1763
2.33601e-08,1.2806
2.33833e-08,1.3597
2.34066e-08,1.4021
2.34299e-08,1.4145
2.34531e-08,1.4176
2.34764e-08,1.4234
