.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.28201e-08,0.6952
1.28434e-08,0.6783
1.28667e-08,0.6348
1.28899e-08,0.5353
1.29132e-08,0.3709
1.29365e-08,0.1714
1.29597e-08,-0.0139
1.29830e-08,-0.1558
1.30063e-08,-0.2677
1.30295e-08,-0.3767
1.30528e-08,-0.4918
1.30761e-08,-0.5907
1.30993e-08,-0.6528
1.31226e-08,-0.6746
1.31459e-08,-0.6743
1.31691e-08,-0.6746
1.31924e-08,-0.6842
1.32157e-08,-0.6943
1.32389e-08,-0.6932
1.32622e-08,-0.6748
1.32855e-08,-0.6271
1.33087e-08,-0.5207
1.33320e-08,-0.3511
1.33553e-08,-0.1507
1.33785e-08,0.0310
1.34018e-08,0.1696
1.34251e-08,0.2808
1.34483e-08,0.3912
1.34716e-08,0.5057
1.34949e-08,0.6002
1.35181e-08,0.6565
1.35414e-08,0.6746
1.35647e-08,0.6745
1.35879e-08,0.6771
1.36112e-08,0.6877
1.36345e-08,0.6966
1.36577e-08,0.6932
1.36810e-08,0.6725
1.37043e-08,0.6205
1.37275e-08,0.5073
1.37508e-08,0.3328
1.37741e-08,0.1321
1.37973e-08,-0.0451
1.38206e-08,-0.1792
1.38439e-08,-0.2885
1.38671e-08,-0.3993
1.38904e-08,-0.5134
1.39137e-08,-0.6062
1.39369e-08,-0.6599
1.39602e-08,-0.6754
1.39835e-08,-0.6738
1.40067e-08,-0.6759
1.40300e-08,-0.6867
1.40533e-08,-0.6952
1.40765e-08,-0.6911
1.40998e-08,-0.6685
1.41231e-08,-0.6115
1.41463e-08,-0.4915
1.41696e-08,-0.3124
1.41929e-08,-0.1118
1.42161e-08,0.0617
1.42394e-08,0.1928
1.42627e-08,0.3019
1.42859e-08,0.4141
1.43092e-08,0.5268
1.43325e-08,0.6146
1.43557e-08,0.6627
1.43790e-08,0.6753
1.44023e-08,0.6744
1.44255e-08,0.6788
1.44488e-08,0.6901
1.44721e-08,0.6971
1.44953e-08,0.6906
1.45186e-08,0.6655
1.45419e-08,0.6036
1.45651e-08,0.4769
1.45884e-08,0.2936
1.46117e-08,0.0938
1.46349e-08,-0.0748
1.46582e-08,-0.2019
1.46815e-08,-0.3098
1.47047e-08,-0.4224
1.47280e-08,-0.5343
1.47513e-08,-0.6202
1.47745e-08,-0.6655
1.47978e-08,-0.6757
1.48211e-08,-0.6735
1.48443e-08,-0.6776
1.48676e-08,-0.6890
1.48909e-08,-0.6957
1.49141e-08,-0.6882
1.49374e-08,-0.6609
1.49607e-08,-0.5932
1.49839e-08,-0.4599
1.50072e-08,-0.2728
1.50305e-08,-0.0741
1.50537e-08,0.0905
1.50770e-08,0.2152
1.51003e-08,0.3234
1.51236e-08,0.4371
1.51468e-08,0.5468
1.51701e-08,0.6274
1.51934e-08,0.6675
1.52166e-08,0.6754
1.52399e-08,0.6746
