.HEADER
..NAMES
Time,V U2.C8
.DATA
1.82646e-08,0.8141
1.82879e-08,0.7059
1.83111e-08,0.5857
1.83344e-08,0.4617
1.83577e-08,0.3306
1.83809e-08,0.2053
1.84042e-08,0.0991
1.84275e-08,0.0174
1.84507e-08,-0.0365
1.84740e-08,-0.0684
1.84973e-08,-0.0903
1.85205e-08,-0.1158
1.85438e-08,-0.1461
1.85671e-08,-0.1692
1.85903e-08,-0.1789
1.86136e-08,-0.1850
1.86369e-08,-0.1990
1.86601e-08,-0.2136
1.86834e-08,-0.2113
1.87067e-08,-0.1892
1.87299e-08,-0.1539
1.87532e-08,-0.1105
1.87765e-08,-0.0675
1.87997e-08,-0.0219
1.88230e-08,0.0516
1.88463e-08,0.1766
1.88695e-08,0.3183
1.88928e-08,0.4437
1.89161e-08,0.5624
1.89393e-08,0.6803
1.89626e-08,0.7870
1.89859e-08,0.8907
1.90091e-08,0.9961
1.90324e-08,1.0938
1.90557e-08,1.1731
1.90789e-08,1.2255
1.91022e-08,1.2560
1.91255e-08,1.2741
1.91487e-08,1.2913
1.91720e-08,1.3111
1.91953e-08,1.3223
1.92185e-08,1.3157
1.92418e-08,1.3002
1.92651e-08,1.2918
1.92883e-08,1.2903
1.93116e-08,1.2827
1.93349e-08,1.2646
1.93581e-08,1.2377
1.93814e-08,1.2004
1.94047e-08,1.1513
1.94279e-08,1.0892
1.94512e-08,0.9949
1.94745e-08,0.8687
1.94977e-08,0.7522
1.95210e-08,0.6489
1.95443e-08,0.5338
1.95675e-08,0.4126
1.95908e-08,0.2980
1.96141e-08,0.1872
1.96373e-08,0.0857
1.96606e-08,-0.0022
1.96839e-08,-0.0677
1.97071e-08,-0.1071
1.97304e-08,-0.1268
1.97537e-08,-0.1374
1.97769e-08,-0.1490
1.98002e-08,-0.1621
1.98235e-08,-0.1696
1.98468e-08,-0.1691
1.98700e-08,-0.1693
1.98933e-08,-0.1742
1.99166e-08,-0.1713
1.99398e-08,-0.1508
1.99631e-08,-0.1213
1.99864e-08,-0.0888
2.00096e-08,-0.0532
2.00329e-08,-0.0171
2.00562e-08,0.0279
2.00794e-08,0.1067
2.01027e-08,0.2297
2.01260e-08,0.3587
2.01492e-08,0.4704
2.01725e-08,0.5805
2.01958e-08,0.6913
2.02190e-08,0.7946
2.02423e-08,0.8986
2.02656e-08,1.0013
2.02888e-08,1.0907
2.03121e-08,1.1587
2.03354e-08,1.2042
2.03586e-08,1.2340
2.03819e-08,1.2549
2.04052e-08,1.2735
2.04284e-08,1.2906
2.04517e-08,1.2968
2.04750e-08,1.2889
2.04982e-08,1.2794
2.05215e-08,1.2802
2.05448e-08,1.2851
2.05680e-08,1.2805
2.05913e-08,1.2637
2.06146e-08,1.2367
2.06378e-08,1.2010
2.06611e-08,1.1657
2.06844e-08,1.1400
2.07076e-08,1.1240
2.07309e-08,1.1138
2.07542e-08,1.1046
2.07774e-08,1.0932
2.08007e-08,1.0823
2.08240e-08,1.0792
2.08472e-08,1.0881
2.08705e-08,1.1038
2.08938e-08,1.1170
2.09170e-08,1.1260
2.09403e-08,1.1354
2.09636e-08,1.1473
2.09868e-08,1.1596
2.10101e-08,1.1700
2.10334e-08,1.1771
2.10566e-08,1.1796
2.10799e-08,1.1799
2.11032e-08,1.1831
2.11264e-08,1.1926
2.11497e-08,1.2080
2.11730e-08,1.2253
2.11962e-08,1.2378
2.12195e-08,1.2413
2.12428e-08,1.2386
2.12660e-08,1.2360
2.12893e-08,1.2362
2.13126e-08,1.2366
2.13358e-08,1.2340
2.13591e-08,1.2282
2.13824e-08,1.2205
2.14056e-08,1.2129
2.14289e-08,1.2071
2.14522e-08,1.2034
2.14754e-08,1.2008
2.14987e-08,1.1979
2.15220e-08,1.1946
2.15452e-08,1.1925
2.15685e-08,1.1931
2.15918e-08,1.1967
2.16150e-08,1.2004
2.16383e-08,1.2002
2.16616e-08,1.1946
2.16848e-08,1.1870
2.17081e-08,1.1818
2.17314e-08,1.1808
2.17546e-08,1.1834
2.17779e-08,1.1874
2.18012e-08,1.1909
2.18244e-08,1.1930
2.18477e-08,1.1945
2.18710e-08,1.1965
2.18942e-08,1.1961
2.19175e-08,1.1786
2.19408e-08,1.1282
2.19640e-08,1.0247
2.19873e-08,0.9080
2.20106e-08,0.8125
2.20338e-08,0.7168
2.20571e-08,0.6058
2.20804e-08,0.4876
2.21037e-08,0.3589
2.21269e-08,0.2318
2.21502e-08,0.1239
2.21735e-08,0.0391
2.21967e-08,-0.0187
2.22200e-08,-0.0555
2.22433e-08,-0.0810
2.22665e-08,-0.1055
2.22898e-08,-0.1316
2.23131e-08,-0.1502
2.23363e-08,-0.1570
2.23596e-08,-0.1620
2.23829e-08,-0.1777
2.24061e-08,-0.1977
2.24294e-08,-0.2017
2.24527e-08,-0.1840
2.24759e-08,-0.1523
2.24992e-08,-0.1122
2.25225e-08,-0.0733
2.25457e-08,-0.0424
2.25690e-08,-0.0160
2.25923e-08,0.0094
2.26155e-08,0.0365
2.26388e-08,0.0674
2.26621e-08,0.0965
2.26853e-08,0.1139
2.27086e-08,0.1136
2.27319e-08,0.1014
2.27551e-08,0.0897
2.27784e-08,0.0829
2.28017e-08,0.0768
2.28249e-08,0.0682
2.28482e-08,0.0600
2.28715e-08,0.0565
2.28947e-08,0.0579
2.29180e-08,0.0620
2.29413e-08,0.0644
2.29645e-08,0.0596
2.29878e-08,0.0461
2.30111e-08,0.0262
2.30343e-08,0.0045
2.30576e-08,-0.0120
2.30809e-08,-0.0194
2.31041e-08,-0.0215
2.31274e-08,-0.0255
2.31507e-08,-0.0336
2.31739e-08,-0.0348
2.31972e-08,-0.0049
2.32205e-08,0.0800
2.32437e-08,0.1995
2.32670e-08,0.3072
2.32903e-08,0.4067
2.33135e-08,0.5158
2.33368e-08,0.6303
2.33601e-08,0.7503
