.HEADER
..NAMES
Time,V U2.K3
.DATA
2.34299e-08,-0.0174
2.34531e-08,-0.0160
2.34764e-08,-0.0118
2.34997e-08,-0.0043
2.35229e-08,0.0060
2.35462e-08,0.0176
2.35695e-08,0.0281
2.35927e-08,0.0348
2.36160e-08,0.0357
2.36393e-08,0.0310
2.36625e-08,0.0223
2.36858e-08,0.0123
2.37091e-08,0.0032
2.37323e-08,-0.0039
2.37556e-08,-0.0086
2.37789e-08,-0.0111
2.38021e-08,-0.0113
2.38254e-08,-0.0099
2.38487e-08,-0.0080
2.38719e-08,-0.0062
2.38952e-08,-0.0041
2.39185e-08,-0.0005
2.39417e-08,0.0047
2.39650e-08,0.0104
2.39883e-08,0.0147
2.40115e-08,0.0160
2.40348e-08,0.0139
2.40581e-08,0.0091
2.40813e-08,0.0024
2.41046e-08,-0.0050
2.41279e-08,-0.0115
2.41511e-08,-0.0152
2.41744e-08,-0.0153
2.41977e-08,-0.0126
2.42209e-08,-0.0087
2.42442e-08,-0.0047
2.42675e-08,-0.0012
2.42907e-08,0.0018
2.43140e-08,0.0043
2.43373e-08,0.0063
2.43605e-08,0.0079
