.HEADER
..NAMES
Time,V U2.K2
.DATA
2.32437e-08,0.0665
2.32670e-08,0.0087
2.32903e-08,-0.0416
2.33135e-08,-0.0806
2.33368e-08,-0.1092
2.33601e-08,-0.1301
2.33833e-08,-0.1420
2.34066e-08,-0.1418
2.34299e-08,-0.1320
2.34531e-08,-0.1183
2.34764e-08,-0.1050
2.34997e-08,-0.0944
2.35229e-08,-0.0890
2.35462e-08,-0.0902
2.35695e-08,-0.0956
2.35927e-08,-0.1009
2.36160e-08,-0.1017
2.36393e-08,-0.0953
2.36625e-08,-0.0809
2.36858e-08,-0.0598
2.37091e-08,-0.0345
2.37323e-08,-0.0081
2.37556e-08,0.0158
2.37789e-08,0.0334
2.38021e-08,0.0433
2.38254e-08,0.0471
2.38487e-08,0.0469
2.38719e-08,0.0440
2.38952e-08,0.0399
2.39185e-08,0.0365
2.39417e-08,0.0349
2.39650e-08,0.0346
2.39883e-08,0.0358
2.40115e-08,0.0396
2.40348e-08,0.0455
2.40581e-08,0.0512
2.40813e-08,0.0540
2.41046e-08,0.0526
2.41279e-08,0.0468
2.41511e-08,0.0364
2.41744e-08,0.0233
2.41977e-08,0.0110
2.42209e-08,0.0025
2.42442e-08,-0.0012
2.42675e-08,-0.0008
2.42907e-08,0.0026
2.43140e-08,0.0073
2.43373e-08,0.0110
2.43605e-08,0.0118
2.43838e-08,0.0090
2.44071e-08,0.0033
2.44303e-08,-0.0043
2.44536e-08,-0.0122
2.44769e-08,-0.0188
