.HEADER
..NAMES
Time,V U2.D3
.DATA
1.64730e-08,0.0044
1.64963e-08,0.0003
1.65196e-08,-0.0032
1.65428e-08,-0.0057
1.65661e-08,-0.0070
1.65894e-08,-0.0071
1.66126e-08,-0.0060
1.66359e-08,-0.0039
1.66592e-08,-0.0010
1.66824e-08,0.0022
1.67057e-08,0.0051
1.67290e-08,0.0074
1.67522e-08,0.0089
1.67755e-08,0.0097
1.67988e-08,0.0096
1.68220e-08,0.0084
1.68453e-08,0.0058
1.68686e-08,0.0020
1.68918e-08,-0.0020
1.69151e-08,-0.0052
1.69384e-08,-0.0069
1.69616e-08,-0.0067
1.69849e-08,-0.0050
1.70082e-08,-0.0022
1.70314e-08,0.0009
1.70547e-08,0.0036
1.70780e-08,0.0056
1.71012e-08,0.0069
1.71245e-08,0.0073
1.71478e-08,0.0067
1.71710e-08,0.0053
1.71943e-08,0.0034
1.72176e-08,0.0014
1.72408e-08,-0.0004
1.72641e-08,-0.0019
1.72874e-08,-0.0030
1.73106e-08,-0.0036
1.73339e-08,-0.0038
1.73572e-08,-0.0032
1.73804e-08,-0.0017
1.74037e-08,0.0005
1.74270e-08,0.0030
1.74502e-08,0.0053
1.74735e-08,0.0067
1.74968e-08,0.0070
1.75201e-08,0.0061
1.75433e-08,0.0045
1.75666e-08,0.0025
1.75899e-08,0.0006
1.76131e-08,-0.0011
1.76364e-08,-0.0022
1.76597e-08,-0.0027
1.76829e-08,-0.0024
1.77062e-08,-0.0014
1.77295e-08,-0.0002
1.77527e-08,0.0012
1.77760e-08,0.0024
1.77993e-08,0.0034
1.78225e-08,0.0041
1.78458e-08,0.0046
1.78691e-08,0.0048
1.78923e-08,0.0046
1.79156e-08,0.0038
1.79389e-08,0.0025
1.79621e-08,0.0009
1.79854e-08,-0.0006
1.80087e-08,-0.0017
1.80319e-08,-0.0021
1.80552e-08,-0.0018
1.80785e-08,-0.0009
1.81017e-08,0.0003
1.81250e-08,0.0017
1.81483e-08,0.0030
1.81715e-08,0.0057
1.81948e-08,0.0191
1.82181e-08,0.0625
1.82413e-08,0.1500
1.82646e-08,0.2495
1.82879e-08,0.3285
1.83111e-08,0.4167
1.83344e-08,0.5378
1.83577e-08,0.6610
1.83809e-08,0.7721
1.84042e-08,0.8839
1.84275e-08,0.9950
1.84507e-08,1.0855
1.84740e-08,1.1463
1.84973e-08,1.1865
1.85205e-08,1.2205
1.85438e-08,1.2507
1.85671e-08,1.2703
1.85903e-08,1.2774
1.86136e-08,1.2810
1.86369e-08,1.2901
1.86601e-08,1.3060
1.86834e-08,1.3267
1.87067e-08,1.3472
1.87299e-08,1.3566
1.87532e-08,1.3507
