.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
2.07774e-08,1.2047
2.08007e-08,1.2105
2.08240e-08,1.2189
2.08472e-08,1.2249
2.08705e-08,1.2253
2.08938e-08,1.2209
2.09170e-08,1.2145
2.09403e-08,1.2069
2.09636e-08,1.1953
2.09868e-08,1.1721
2.10101e-08,1.1226
2.10334e-08,1.0408
2.10566e-08,0.9425
2.10799e-08,0.8528
2.11032e-08,0.7872
2.11264e-08,0.7398
2.11497e-08,0.6971
2.11730e-08,0.6516
2.11962e-08,0.6101
2.12195e-08,0.5805
2.12428e-08,0.5648
2.12660e-08,0.5590
2.12893e-08,0.5548
2.13126e-08,0.5476
2.13358e-08,0.5385
2.13591e-08,0.5316
2.13824e-08,0.5274
2.14056e-08,0.5236
2.14289e-08,0.5174
2.14522e-08,0.5098
2.14754e-08,0.5037
2.14987e-08,0.4997
2.15220e-08,0.4968
2.15452e-08,0.4951
2.15685e-08,0.4972
2.15918e-08,0.5064
2.16150e-08,0.5278
2.16383e-08,0.5772
2.16616e-08,0.6644
2.16848e-08,0.7758
2.17081e-08,0.8839
2.17314e-08,0.9679
2.17546e-08,1.0300
2.17779e-08,1.0818
2.18012e-08,1.1304
2.18244e-08,1.1715
2.18477e-08,1.1975
2.18710e-08,1.2059
2.18942e-08,1.2010
2.19175e-08,1.1933
2.19408e-08,1.1907
2.19640e-08,1.1941
2.19873e-08,1.1989
2.20106e-08,1.2022
2.20338e-08,1.2059
2.20571e-08,1.2127
2.20804e-08,1.2210
2.21037e-08,1.2256
2.21269e-08,1.2243
2.21502e-08,1.2191
2.21735e-08,1.2124
2.21967e-08,1.2044
2.22200e-08,1.1908
2.22433e-08,1.1626
2.22665e-08,1.1045
2.22898e-08,1.0166
2.23131e-08,0.9177
2.23363e-08,0.8325
2.23596e-08,0.7721
2.23829e-08,0.7271
2.24061e-08,0.6842
2.24294e-08,0.6392
2.24527e-08,0.6002
2.24759e-08,0.5739
2.24992e-08,0.5613
2.25225e-08,0.5567
2.25457e-08,0.5524
2.25690e-08,0.5448
2.25923e-08,0.5361
2.26155e-08,0.5299
2.26388e-08,0.5261
2.26621e-08,0.5220
2.26853e-08,0.5154
2.27086e-08,0.5080
2.27319e-08,0.5025
2.27551e-08,0.4989
2.27784e-08,0.4961
2.28017e-08,0.4951
2.28249e-08,0.4989
2.28482e-08,0.5106
2.28715e-08,0.5380
2.28947e-08,0.5980
2.29180e-08,0.6936
2.29413e-08,0.8058
2.29645e-08,0.9077
2.29878e-08,0.9850
2.30111e-08,1.0437
2.30343e-08,1.0948
2.30576e-08,1.1422
2.30809e-08,1.1793
2.31041e-08,1.2004
2.31274e-08,1.2047
2.31507e-08,1.1985
2.31739e-08,1.1922
2.31972e-08,1.1916
2.32205e-08,1.1956
2.32437e-08,1.1999
2.32670e-08,1.2031
2.32903e-08,1.2076
2.33135e-08,1.2152
2.33368e-08,1.2228
2.33601e-08,1.2255
2.33833e-08,1.2229
2.34066e-08,1.2172
2.34299e-08,1.2102
2.34531e-08,1.2013
2.34764e-08,1.1849
2.34997e-08,1.1501
2.35229e-08,1.0832
2.35462e-08,0.9898
2.35695e-08,0.8920
2.35927e-08,0.8132
2.36160e-08,0.7584
2.36393e-08,0.7157
2.36625e-08,0.6724
2.36858e-08,0.6280
2.37091e-08,0.5917
2.37323e-08,0.5691
