.HEADER
..NAMES
Time,V U2.J7
.DATA
1.91953e-08,0.0031
1.92185e-08,0.0029
1.92418e-08,0.0025
1.92651e-08,0.0021
1.92883e-08,0.0018
1.93116e-08,0.0017
1.93349e-08,0.0018
1.93581e-08,0.0020
1.93814e-08,0.0021
1.94047e-08,0.0022
1.94279e-08,0.0058
1.94512e-08,0.0194
1.94745e-08,0.0603
1.94977e-08,0.1244
1.95210e-08,0.2056
1.95443e-08,0.3024
1.95675e-08,0.4039
1.95908e-08,0.5146
1.96141e-08,0.6318
1.96373e-08,0.7470
1.96606e-08,0.8611
1.96839e-08,0.9623
1.97071e-08,1.0456
1.97304e-08,1.1111
1.97537e-08,1.1592
1.97769e-08,1.1914
1.98002e-08,1.2138
1.98235e-08,1.2312
1.98468e-08,1.2478
1.98700e-08,1.2625
1.98933e-08,1.2724
1.99166e-08,1.2785
1.99398e-08,1.2842
1.99631e-08,1.2918
1.99864e-08,1.2986
2.00096e-08,1.3019
2.00329e-08,1.2933
2.00562e-08,1.2673
2.00794e-08,1.2070
2.01027e-08,1.1144
2.01260e-08,1.0014
2.01492e-08,0.8704
2.01725e-08,0.7348
2.01958e-08,0.5955
2.02190e-08,0.4518
2.02423e-08,0.3138
2.02656e-08,0.1840
2.02888e-08,0.0726
2.03121e-08,-0.0108
2.03354e-08,-0.0674
2.03586e-08,-0.1029
2.03819e-08,-0.1227
2.04052e-08,-0.1346
2.04284e-08,-0.1438
2.04517e-08,-0.1536
2.04750e-08,-0.1632
2.04982e-08,-0.1698
2.05215e-08,-0.1738
2.05448e-08,-0.1779
2.05680e-08,-0.1839
2.05913e-08,-0.1882
2.06146e-08,-0.1872
2.06378e-08,-0.1760
2.06611e-08,-0.1518
2.06844e-08,-0.1168
2.07076e-08,-0.0760
2.07309e-08,-0.0355
2.07542e-08,0.0026
2.07774e-08,0.0380
2.08007e-08,0.0696
2.08240e-08,0.0961
2.08472e-08,0.1157
2.08705e-08,0.1266
2.08938e-08,0.1270
2.09170e-08,0.1171
2.09403e-08,0.1003
2.09636e-08,0.0824
2.09868e-08,0.0680
2.10101e-08,0.0587
2.10334e-08,0.0538
2.10566e-08,0.0512
2.10799e-08,0.0488
2.11032e-08,0.0463
2.11264e-08,0.0452
2.11497e-08,0.0457
2.11730e-08,0.0463
2.11962e-08,0.0441
2.12195e-08,0.0373
2.12428e-08,0.0260
2.12660e-08,0.0113
2.12893e-08,-0.0045
2.13126e-08,-0.0189
2.13358e-08,-0.0300
2.13591e-08,-0.0377
2.13824e-08,-0.0428
2.14056e-08,-0.0457
2.14289e-08,-0.0460
2.14522e-08,-0.0427
2.14754e-08,-0.0355
