.HEADER
..NAMES
Time,V U2.B8
.DATA
6.7997e-09,0.3554
6.8094e-09,0.3391
6.8190e-09,0.3387
6.8287e-09,0.3595
6.8383e-09,0.4018
6.8480e-09,0.4604
6.8576e-09,0.5251
6.8672e-09,0.5833
6.8769e-09,0.6255
6.8865e-09,0.6476
6.8962e-09,0.6491
6.9058e-09,0.6334
6.9155e-09,0.6064
6.9251e-09,0.5731
6.9348e-09,0.5353
6.9444e-09,0.4933
6.9540e-09,0.4458
6.9637e-09,0.3921
6.9733e-09,0.3338
6.9830e-09,0.2740
6.9926e-09,0.2148
7.0023e-09,0.1576
7.0119e-09,0.1044
7.0216e-09,0.0578
7.0312e-09,0.0204
7.0409e-09,-0.0071
7.0505e-09,-0.0260
7.0601e-09,-0.0386
7.0698e-09,-0.0474
7.0794e-09,-0.0543
7.0891e-09,-0.0609
7.0987e-09,-0.0677
7.1084e-09,-0.0749
7.1180e-09,-0.0814
7.1277e-09,-0.0855
7.1373e-09,-0.0858
7.1469e-09,-0.0817
7.1566e-09,-0.0730
7.1662e-09,-0.0598
7.1759e-09,-0.0440
7.1855e-09,-0.0290
7.1952e-09,-0.0187
7.2048e-09,-0.0166
7.2145e-09,-0.0241
7.2241e-09,-0.0402
7.2338e-09,-0.0612
7.2434e-09,-0.0825
7.2530e-09,-0.0996
7.2627e-09,-0.1088
7.2723e-09,-0.1087
7.2820e-09,-0.1000
7.2916e-09,-0.0859
7.3013e-09,-0.0704
7.3109e-09,-0.0573
7.3206e-09,-0.0487
7.3302e-09,-0.0449
7.3398e-09,-0.0443
7.3495e-09,-0.0446
7.3591e-09,-0.0447
7.3688e-09,-0.0446
7.3784e-09,-0.0453
7.3881e-09,-0.0485
7.3977e-09,-0.0550
7.4074e-09,-0.0650
7.4170e-09,-0.0774
7.4266e-09,-0.0909
7.4363e-09,-0.1038
7.4459e-09,-0.1150
7.4556e-09,-0.1234
7.4652e-09,-0.1284
7.4749e-09,-0.1294
7.4845e-09,-0.1259
7.4942e-09,-0.1183
7.5038e-09,-0.1079
7.5135e-09,-0.0968
7.5231e-09,-0.0869
7.5327e-09,-0.0795
7.5424e-09,-0.0747
7.5520e-09,-0.0718
7.5617e-09,-0.0696
7.5713e-09,-0.0664
7.5810e-09,-0.0606
7.5906e-09,-0.0511
7.6003e-09,-0.0379
7.6099e-09,-0.0220
7.6196e-09,-0.0052
7.6292e-09,0.0099
7.6388e-09,0.0211
7.6485e-09,0.0269
7.6581e-09,0.0270
7.6678e-09,0.0227
7.6774e-09,0.0161
7.6871e-09,0.0096
7.6967e-09,0.0049
7.7064e-09,0.0030
7.7160e-09,0.0034
7.7256e-09,0.0051
7.7353e-09,0.0071
7.7449e-09,0.0086
7.7546e-09,0.0092
7.7642e-09,0.0093
7.7739e-09,0.0097
7.7835e-09,0.0113
7.7932e-09,0.0146
7.8028e-09,0.0194
7.8125e-09,0.0248
7.8221e-09,0.0296
7.8317e-09,0.0326
7.8414e-09,0.0332
7.8510e-09,0.0313
7.8607e-09,0.0276
7.8703e-09,0.0226
7.8800e-09,0.0172
7.8896e-09,0.0122
7.8993e-09,0.0082
7.9089e-09,0.0060
7.9185e-09,0.0062
7.9282e-09,0.0090
7.9378e-09,0.0138
7.9475e-09,0.0198
7.9571e-09,0.0254
7.9668e-09,0.0293
