.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
1.32157e-08,-0.5263
1.32389e-08,-0.5173
1.32622e-08,-0.5215
1.32855e-08,-0.5111
1.33087e-08,-0.4546
1.33320e-08,-0.1955
1.33553e-08,0.0966
1.33785e-08,0.2955
1.34018e-08,0.4222
1.34251e-08,0.5031
1.34483e-08,0.5513
1.34716e-08,0.5671
1.34949e-08,0.5522
1.35181e-08,0.5422
1.35414e-08,0.5556
1.35647e-08,0.5835
1.35879e-08,0.6138
1.36112e-08,0.6358
1.36345e-08,0.6476
1.36577e-08,0.6600
1.36810e-08,0.6737
1.37043e-08,0.6712
1.37275e-08,0.6482
1.37508e-08,0.6125
1.37741e-08,0.5766
1.37973e-08,0.5525
1.38206e-08,0.5389
1.38439e-08,0.5258
1.38671e-08,0.5165
1.38904e-08,0.5199
1.39137e-08,0.5050
1.39369e-08,0.4416
1.39602e-08,0.1502
1.39835e-08,-0.1251
1.40067e-08,-0.3116
1.40300e-08,-0.4378
1.40533e-08,-0.5082
1.40765e-08,-0.5510
1.40998e-08,-0.5635
1.41231e-08,-0.5505
1.41463e-08,-0.5456
1.41696e-08,-0.5599
1.41929e-08,-0.5859
1.42161e-08,-0.6147
1.42394e-08,-0.6369
1.42627e-08,-0.6500
1.42859e-08,-0.6631
1.43092e-08,-0.6732
1.43325e-08,-0.6665
1.43557e-08,-0.6426
1.43790e-08,-0.6086
1.44023e-08,-0.5744
1.44255e-08,-0.5510
1.44488e-08,-0.5360
1.44721e-08,-0.5230
1.44953e-08,-0.5170
1.45186e-08,-0.5219
1.45419e-08,-0.5017
1.45651e-08,-0.4026
1.45884e-08,-0.1009
1.46117e-08,0.1640
1.46349e-08,0.3342
1.46582e-08,0.4437
1.46815e-08,0.5158
1.47047e-08,0.5573
1.47280e-08,0.5628
1.47513e-08,0.5451
1.47745e-08,0.5437
1.47978e-08,0.5634
1.48211e-08,0.5928
1.48443e-08,0.6212
1.48676e-08,0.6395
1.48909e-08,0.6500
1.49141e-08,0.6647
1.49374e-08,0.6755
1.49607e-08,0.6660
1.49839e-08,0.6381
1.50072e-08,0.6013
1.50305e-08,0.5683
1.50537e-08,0.5486
1.50770e-08,0.5356
1.51003e-08,0.5222
1.51236e-08,0.5160
1.51468e-08,0.5217
1.51701e-08,0.4988
1.51934e-08,0.3804
1.52166e-08,0.0716
1.52399e-08,-0.1992
1.52632e-08,-0.3528
1.52864e-08,-0.4599
1.53097e-08,-0.5236
1.53330e-08,-0.5602
1.53562e-08,-0.5632
1.53795e-08,-0.5484
1.54028e-08,-0.5471
1.54260e-08,-0.5656
1.54493e-08,-0.5941
1.54726e-08,-0.6222
1.54958e-08,-0.6416
1.55191e-08,-0.6534
1.55424e-08,-0.6664
1.55656e-08,-0.6733
1.55889e-08,-0.6621
1.56122e-08,-0.6345
1.56354e-08,-0.5987
1.56587e-08,-0.5664
1.56820e-08,-0.5460
1.57052e-08,-0.5322
1.57285e-08,-0.5206
1.57518e-08,-0.5175
1.57750e-08,-0.5196
1.57983e-08,-0.4890
1.58216e-08,-0.3391
1.58448e-08,-0.0225
1.58681e-08,0.2108
1.58914e-08,0.3629
1.59146e-08,0.4702
1.59379e-08,0.5291
1.59612e-08,0.5611
1.59844e-08,0.5578
1.60077e-08,0.5426
1.60310e-08,0.5479
1.60542e-08,0.5706
1.60775e-08,0.6005
1.61008e-08,0.6268
1.61240e-08,0.6424
1.61473e-08,0.6535
1.61706e-08,0.6688
1.61938e-08,0.6745
1.62171e-08,0.6596
1.62404e-08,0.6288
1.62636e-08,0.5920
1.62869e-08,0.5621
1.63102e-08,0.5451
1.63334e-08,0.5318
1.63567e-08,0.5195
1.63800e-08,0.5173
1.64032e-08,0.5168
1.64265e-08,0.4805
1.64498e-08,0.2953
1.64730e-08,-0.0300
1.64963e-08,-0.2468
1.65196e-08,-0.3919
1.65428e-08,-0.4803
1.65661e-08,-0.5373
1.65894e-08,-0.5640
1.66126e-08,-0.5580
1.66359e-08,-0.5439
1.66592e-08,-0.5504
1.66824e-08,-0.5739
1.67057e-08,-0.6036
1.67290e-08,-0.6293
1.67522e-08,-0.6451
1.67755e-08,-0.6568
1.67988e-08,-0.6704
1.68220e-08,-0.6726
1.68453e-08,-0.6553
1.68686e-08,-0.6237
1.68918e-08,-0.5876
1.69151e-08,-0.5589
1.69384e-08,-0.5420
1.69616e-08,-0.5285
1.69849e-08,-0.5180
1.70082e-08,-0.5190
1.70314e-08,-0.5159
1.70547e-08,-0.4739
1.70780e-08,-0.2544
1.71012e-08,0.0485
1.71245e-08,0.2709
1.71478e-08,0.4022
1.71710e-08,0.4897
1.71943e-08,0.5440
1.72176e-08,0.5659
1.72408e-08,0.5549
1.72641e-08,0.5424
1.72874e-08,0.5523
1.73106e-08,0.5780
1.73339e-08,0.6085
1.73572e-08,0.6325
1.73804e-08,0.6457
1.74037e-08,0.6575
1.74270e-08,0.6720
1.74502e-08,0.6727
1.74735e-08,0.6529
1.74968e-08,0.6191
1.75201e-08,0.5825
1.75433e-08,0.5559
1.75666e-08,0.5411
1.75899e-08,0.5280
1.76131e-08,0.5174
1.76364e-08,0.5191
1.76597e-08,0.5095
1.76829e-08,0.4496
1.77062e-08,0.2016
1.77295e-08,-0.0934
1.77527e-08,-0.2845
1.77760e-08,-0.4149
1.77993e-08,-0.4980
1.78225e-08,-0.5455
1.78458e-08,-0.5632
1.78691e-08,-0.5516
1.78923e-08,-0.5438
1.79156e-08,-0.5568
1.79389e-08,-0.5820
1.79621e-08,-0.6109
1.79854e-08,-0.6340
1.80087e-08,-0.6479
1.80319e-08,-0.6608
1.80552e-08,-0.6729
1.80785e-08,-0.6690
1.81017e-08,-0.6470
1.81250e-08,-0.6138
1.81483e-08,-0.5791
1.81715e-08,-0.5541
1.81948e-08,-0.5387
1.82181e-08,-0.5250
1.82413e-08,-0.5171
1.82646e-08,-0.5228
1.82879e-08,-0.5087
1.83111e-08,-0.4435
1.83344e-08,-0.1625
1.83577e-08,0.1244
1.83809e-08,0.3094
1.84042e-08,0.4334
1.84275e-08,0.5086
1.84507e-08,0.5540
1.84740e-08,0.5664
1.84973e-08,0.5504
1.85205e-08,0.5428
1.85438e-08,0.5579
1.85671e-08,0.5864
1.85903e-08,0.6163
1.86136e-08,0.6372
1.86369e-08,0.6485
1.86601e-08,0.6615
1.86834e-08,0.6742
1.87067e-08,0.6695
1.87299e-08,0.6449
1.87532e-08,0.6087
1.87765e-08,0.5735
1.87997e-08,0.5508
1.88230e-08,0.5375
1.88463e-08,0.5245
1.88695e-08,0.5162
1.88928e-08,0.5195
1.89161e-08,0.5019
1.89393e-08,0.4173
1.89626e-08,0.1176
1.89859e-08,-0.1442
1.90091e-08,-0.3266
1.90324e-08,-0.4447
1.90557e-08,-0.5127
1.90789e-08,-0.5537
1.91022e-08,-0.5626
1.91255e-08,-0.5491
1.91487e-08,-0.5463
1.91720e-08,-0.5624
1.91953e-08,-0.5890
1.92185e-08,-0.6175
1.92418e-08,-0.6386
1.92651e-08,-0.6512
1.92883e-08,-0.6646
1.93116e-08,-0.6735
1.93349e-08,-0.6647
1.93581e-08,-0.6395
1.93814e-08,-0.6049
1.94047e-08,-0.5716
1.94279e-08,-0.5495
1.94512e-08,-0.5348
1.94745e-08,-0.5221
1.94977e-08,-0.5173
1.95210e-08,-0.5215
1.95443e-08,-0.4983
1.95675e-08,-0.3813
1.95908e-08,-0.0673
1.96141e-08,0.1870
1.96373e-08,0.3480
1.96606e-08,0.4525
1.96839e-08,0.5217
1.97071e-08,0.5601
1.97304e-08,0.5615
1.97537e-08,0.5437
1.97769e-08,0.5446
1.98002e-08,0.5659
1.98235e-08,0.5959
1.98468e-08,0.6237
1.98700e-08,0.6409
1.98933e-08,0.6512
1.99166e-08,0.6663
1.99398e-08,0.6756
1.99631e-08,0.6639
1.99864e-08,0.6345
2.00096e-08,0.5973
2.00329e-08,0.5653
2.00562e-08,0.5469
2.00794e-08,0.5340
2.01027e-08,0.5209
2.01260e-08,0.5160
2.01492e-08,0.5201
2.01725e-08,0.4930
2.01958e-08,0.3502
2.02190e-08,0.0367
2.02423e-08,-0.2203
2.02656e-08,-0.3672
2.02888e-08,-0.4721
2.03121e-08,-0.5299
2.03354e-08,-0.5624
2.03586e-08,-0.5619
2.03819e-08,-0.5468
2.04052e-08,-0.5481
2.04284e-08,-0.5685
2.04517e-08,-0.5977
2.04750e-08,-0.6253
2.04982e-08,-0.6432
2.05215e-08,-0.6549
2.05448e-08,-0.6681
2.05680e-08,-0.6734
2.05913e-08,-0.6600
2.06146e-08,-0.6307
2.06378e-08,-0.5945
2.06611e-08,-0.5633
2.06844e-08,-0.5443
2.07076e-08,-0.5307
2.07309e-08,-0.5196
2.07542e-08,-0.5179
2.07774e-08,-0.5181
2.08007e-08,-0.4830
2.08240e-08,-0.3074
2.08472e-08,0.0100
2.08705e-08,0.2281
2.08938e-08,0.3765
2.09170e-08,0.4764
2.09403e-08,0.5332
2.09636e-08,0.5621
2.09868e-08,0.5557
2.10101e-08,0.5418
2.10334e-08,0.5496
2.10566e-08,0.5736
2.10799e-08,0.6037
2.11032e-08,0.6290
2.11264e-08,0.6435
2.11497e-08,0.6549
2.11730e-08,0.6701
2.11962e-08,0.6738
2.12195e-08,0.6567
2.12428e-08,0.6247
2.12660e-08,0.5882
2.12893e-08,0.5597
2.13126e-08,0.5437
2.13358e-08,0.5304
2.13591e-08,0.5186
2.13824e-08,0.5180
2.14056e-08,0.5145
2.14289e-08,0.4784
2.14522e-08,0.2626
2.14754e-08,-0.0533
2.14987e-08,-0.2666
2.15220e-08,-0.4040
2.15452e-08,-0.4862
2.15685e-08,-0.5424
2.15918e-08,-0.5650
2.16150e-08,-0.5566
2.16383e-08,-0.5440
2.16616e-08,-0.5523
2.16848e-08,-0.5767
2.17081e-08,-0.6064
2.17314e-08,-0.6313
2.17546e-08,-0.6463
2.17779e-08,-0.6582
