.HEADER
..NAMES
Time,V U1.T4
.DATA
1.90324e-08,0.0021
1.90557e-08,0.0022
1.90789e-08,0.0023
1.91022e-08,0.0025
1.91255e-08,0.0027
1.91487e-08,0.0028
1.91720e-08,0.0028
1.91953e-08,0.0027
1.92185e-08,0.0026
1.92418e-08,0.0026
1.92651e-08,0.0026
1.92883e-08,0.0026
1.93116e-08,0.0025
1.93349e-08,0.0025
1.93581e-08,0.0024
1.93814e-08,0.0023
1.94047e-08,0.0023
1.94279e-08,0.0024
1.94512e-08,0.0025
1.94745e-08,0.0026
1.94977e-08,0.0027
1.95210e-08,0.0028
1.95443e-08,0.0028
1.95675e-08,0.0027
1.95908e-08,0.0025
1.96141e-08,0.0024
1.96373e-08,0.0023
1.96606e-08,0.0023
1.96839e-08,0.0024
1.97071e-08,0.0025
1.97304e-08,0.0025
1.97537e-08,0.0026
1.97769e-08,0.0026
1.98002e-08,0.0026
1.98235e-08,0.0026
1.98468e-08,0.0026
1.98700e-08,0.0026
1.98933e-08,0.0026
1.99166e-08,0.0026
1.99398e-08,0.0025
1.99631e-08,0.0025
1.99864e-08,0.0024
2.00096e-08,0.0024
2.00329e-08,0.0024
2.00562e-08,0.0024
2.00794e-08,0.0025
2.01027e-08,0.0026
2.01260e-08,0.0026
2.01492e-08,0.0027
2.01725e-08,0.0127
2.01958e-08,0.0548
2.02190e-08,0.1769
2.02423e-08,0.3320
2.02656e-08,0.4445
2.02888e-08,0.5287
2.03121e-08,0.5857
2.03354e-08,0.6200
2.03586e-08,0.6357
2.03819e-08,0.6449
2.04052e-08,0.6507
2.04284e-08,0.6552
2.04517e-08,0.6596
2.04750e-08,0.6631
2.04982e-08,0.6657
2.05215e-08,0.6670
2.05448e-08,0.6660
2.05680e-08,0.6635
2.05913e-08,0.6615
2.06146e-08,0.6616
2.06378e-08,0.6654
2.06611e-08,0.6738
2.06844e-08,0.6911
2.07076e-08,0.7226
2.07309e-08,0.7707
2.07542e-08,0.8335
2.07774e-08,0.9064
2.08007e-08,0.9811
2.08240e-08,1.0500
2.08472e-08,1.1071
2.08705e-08,1.1501
2.08938e-08,1.1804
2.09170e-08,1.2007
2.09403e-08,1.2142
2.09636e-08,1.2234
2.09868e-08,1.2296
2.10101e-08,1.2350
2.10334e-08,1.2405
2.10566e-08,1.2463
2.10799e-08,1.2512
2.11032e-08,1.2537
2.11264e-08,1.2538
2.11497e-08,1.2518
2.11730e-08,1.2469
2.11962e-08,1.2380
2.12195e-08,1.2241
2.12428e-08,1.2052
2.12660e-08,1.1828
2.12893e-08,1.1602
2.13126e-08,1.1416
2.13358e-08,1.1305
2.13591e-08,1.1282
2.13824e-08,1.1336
2.14056e-08,1.1436
2.14289e-08,1.1550
2.14522e-08,1.1655
2.14754e-08,1.1739
2.14987e-08,1.1794
2.15220e-08,1.1822
2.15452e-08,1.1828
2.15685e-08,1.1827
2.15918e-08,1.1830
2.16150e-08,1.1845
2.16383e-08,1.1871
2.16616e-08,1.1910
2.16848e-08,1.1958
2.17081e-08,1.2017
2.17314e-08,1.2086
2.17546e-08,1.2165
2.17779e-08,1.2245
2.18012e-08,1.2307
2.18244e-08,1.2333
2.18477e-08,1.2311
2.18710e-08,1.2245
2.18942e-08,1.2154
2.19175e-08,1.2062
2.19408e-08,1.1988
2.19640e-08,1.1944
2.19873e-08,1.1930
2.20106e-08,1.1942
2.20338e-08,1.1968
2.20571e-08,1.1996
2.20804e-08,1.2018
2.21037e-08,1.2028
2.21269e-08,1.2023
2.21502e-08,1.2006
2.21735e-08,1.1984
2.21967e-08,1.1961
2.22200e-08,1.1939
2.22433e-08,1.1918
2.22665e-08,1.1898
2.22898e-08,1.1882
2.23131e-08,1.1880
2.23363e-08,1.1898
2.23596e-08,1.1938
2.23829e-08,1.1991
2.24061e-08,1.2045
2.24294e-08,1.2086
2.24527e-08,1.2104
2.24759e-08,1.2099
2.24992e-08,1.2076
2.25225e-08,1.2043
2.25457e-08,1.2012
2.25690e-08,1.1990
2.25923e-08,1.1980
2.26155e-08,1.1983
2.26388e-08,1.1997
2.26621e-08,1.1708
2.26853e-08,1.1139
2.27086e-08,0.9550
2.27319e-08,0.8004
2.27551e-08,0.6950
2.27784e-08,0.6234
2.28017e-08,0.5789
2.28249e-08,0.5514
2.28482e-08,0.5352
2.28715e-08,0.5234
2.28947e-08,0.5147
2.29180e-08,0.5074
2.29413e-08,0.5020
2.29645e-08,0.4992
2.29878e-08,0.4990
2.30111e-08,0.5009
2.30343e-08,0.5050
2.30576e-08,0.5089
2.30809e-08,0.5108
2.31041e-08,0.5087
2.31274e-08,0.5010
2.31507e-08,0.4877
2.31739e-08,0.4649
2.31972e-08,0.4266
2.32205e-08,0.3721
2.32437e-08,0.3049
2.32670e-08,0.2313
2.32903e-08,0.1597
2.33135e-08,0.0973
2.33368e-08,0.0482
2.33601e-08,0.0132
2.33833e-08,-0.0104
2.34066e-08,-0.0259
2.34299e-08,-0.0368
2.34531e-08,-0.0451
2.34764e-08,-0.0521
2.34997e-08,-0.0591
2.35229e-08,-0.0664
2.35462e-08,-0.0731
2.35695e-08,-0.0775
2.35927e-08,-0.0785
2.36160e-08,-0.0764
2.36393e-08,-0.0717
2.36625e-08,-0.0637
2.36858e-08,-0.0513
2.37091e-08,-0.0338
2.37323e-08,-0.0116
2.37556e-08,0.0130
2.37789e-08,0.0364
2.38021e-08,0.0543
2.38254e-08,0.0639
2.38487e-08,0.0648
2.38719e-08,0.0590
2.38952e-08,0.0500
2.39185e-08,0.0409
2.39417e-08,0.0333
2.39650e-08,0.0284
2.39883e-08,0.0261
2.40115e-08,0.0262
2.40348e-08,0.0275
2.40581e-08,0.0282
2.40813e-08,0.0275
2.41046e-08,0.0251
2.41279e-08,0.0211
2.41511e-08,0.0160
2.41744e-08,0.0101
2.41977e-08,0.0032
2.42209e-08,-0.0047
2.42442e-08,-0.0134
2.42675e-08,-0.0217
2.42907e-08,-0.0277
2.43140e-08,-0.0295
2.43373e-08,-0.0265
2.43605e-08,-0.0195
2.43838e-08,-0.0109
2.44071e-08,-0.0029
2.44303e-08,0.0029
2.44536e-08,0.0057
2.44769e-08,0.0057
2.45002e-08,0.0037
2.45234e-08,0.0008
2.45467e-08,-0.0016
2.45700e-08,-0.0028
2.45932e-08,-0.0024
