.HEADER
..NAMES
Time,V U2.J7
.DATA
8.0054e-09,0.0021
8.0150e-09,0.0021
8.0246e-09,0.0022
8.0343e-09,0.0022
8.0439e-09,0.0023
8.0536e-09,0.0024
8.0632e-09,0.0024
8.0729e-09,0.0025
8.0825e-09,0.0024
8.0922e-09,0.0024
8.1018e-09,0.0023
8.1114e-09,0.0022
8.1211e-09,0.0021
8.1307e-09,0.0021
8.1404e-09,0.0021
8.1500e-09,0.0021
8.1597e-09,0.0021
8.1693e-09,0.0022
8.1790e-09,0.0023
8.1886e-09,0.0023
8.1983e-09,0.0024
8.2079e-09,0.0023
8.2175e-09,0.0023
8.2272e-09,0.0022
8.2368e-09,0.0021
8.2465e-09,0.0021
8.2561e-09,0.0020
8.2658e-09,0.0020
8.2754e-09,0.0021
8.2851e-09,0.0021
8.2947e-09,0.0022
8.3043e-09,0.0022
8.3140e-09,0.0023
8.3236e-09,0.0023
8.3333e-09,0.0022
8.3429e-09,0.0022
8.3526e-09,0.0021
8.3622e-09,0.0021
8.3719e-09,0.0020
8.3815e-09,0.0020
8.3911e-09,0.0020
8.4008e-09,0.0021
8.4104e-09,0.0021
8.4201e-09,0.0022
8.4297e-09,0.0022
8.4394e-09,0.0022
8.4490e-09,0.0022
8.4587e-09,0.0022
8.4683e-09,0.0021
8.4780e-09,0.0021
8.4876e-09,0.0020
8.4972e-09,0.0020
8.5069e-09,0.0020
8.5165e-09,0.0020
8.5262e-09,0.0021
8.5358e-09,0.0021
8.5455e-09,0.0021
8.5551e-09,0.0022
8.5648e-09,0.0022
8.5744e-09,0.0022
8.5840e-09,0.0021
8.5937e-09,0.0021
8.6033e-09,0.0020
8.6130e-09,0.0020
8.6226e-09,0.0020
8.6323e-09,0.0020
8.6419e-09,0.0020
8.6516e-09,0.0020
8.6612e-09,0.0021
8.6709e-09,0.0021
8.6805e-09,0.0022
8.6901e-09,0.0021
8.6998e-09,0.0021
8.7094e-09,0.0021
8.7191e-09,0.0020
8.7287e-09,0.0020
8.7384e-09,0.0020
8.7480e-09,0.0020
8.7577e-09,0.0020
8.7673e-09,0.0020
8.7769e-09,0.0021
8.7866e-09,0.0021
8.7962e-09,0.0022
8.8059e-09,0.0022
8.8155e-09,0.0021
8.8252e-09,0.0021
8.8348e-09,0.0021
8.8445e-09,0.0020
8.8541e-09,0.0020
8.8638e-09,0.0020
8.8734e-09,0.0020
8.8830e-09,0.0020
