.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
2.22200e-08,0.6081
2.22433e-08,0.5980
2.22665e-08,0.5827
2.22898e-08,0.5663
2.23131e-08,0.5523
2.23363e-08,0.5383
2.23596e-08,0.5235
2.23829e-08,0.5122
2.24061e-08,0.5103
2.24294e-08,0.5171
2.24527e-08,0.5267
2.24759e-08,0.5344
2.24992e-08,0.5427
2.25225e-08,0.5561
2.25457e-08,0.5717
2.25690e-08,0.5823
2.25923e-08,0.5853
2.26155e-08,0.5834
2.26388e-08,0.5783
2.26621e-08,0.5728
2.26853e-08,0.6036
2.27086e-08,0.7468
2.27319e-08,0.9149
2.27551e-08,1.0206
2.27784e-08,1.0980
2.28017e-08,1.1430
2.28249e-08,1.1583
2.28482e-08,1.1567
2.28715e-08,1.1554
2.28947e-08,1.1599
2.29180e-08,1.1659
2.29413e-08,1.1713
2.29645e-08,1.1783
2.29878e-08,1.1877
2.30111e-08,1.1957
2.30343e-08,1.1964
2.30576e-08,1.1885
2.30809e-08,1.1783
2.31041e-08,1.1704
2.31274e-08,1.1630
2.31507e-08,1.1522
2.31739e-08,1.1404
2.31972e-08,1.1347
2.32205e-08,1.1370
2.32437e-08,1.1442
2.32670e-08,1.1520
2.32903e-08,1.1285
2.33135e-08,1.0773
2.33368e-08,0.9354
2.33601e-08,0.8068
2.33833e-08,0.7187
2.34066e-08,0.6643
2.34299e-08,0.6287
2.34531e-08,0.6130
2.34764e-08,0.6061
2.34997e-08,0.5945
2.35229e-08,0.5780
2.35462e-08,0.5621
2.35695e-08,0.5483
2.35927e-08,0.5342
2.36160e-08,0.5199
2.36393e-08,0.5106
2.36625e-08,0.5114
2.36858e-08,0.5196
2.37091e-08,0.5291
2.37323e-08,0.5366
2.37556e-08,0.5459
2.37789e-08,0.5604
2.38021e-08,0.5753
2.38254e-08,0.5839
2.38487e-08,0.5852
2.38719e-08,0.5823
2.38952e-08,0.5760
2.39185e-08,0.5748
2.39417e-08,0.6246
2.39650e-08,0.7960
2.39883e-08,0.9391
2.40115e-08,1.0441
2.40348e-08,1.1129
2.40581e-08,1.1464
2.40813e-08,1.1582
2.41046e-08,1.1554
2.41279e-08,1.1558
2.41511e-08,1.1611
2.41744e-08,1.1672
2.41977e-08,1.1731
2.42209e-08,1.1807
2.42442e-08,1.1902
2.42675e-08,1.1967
2.42907e-08,1.1950
2.43140e-08,1.1860
2.43373e-08,1.1761
2.43605e-08,1.1685
2.43838e-08,1.1605
2.44071e-08,1.1491
2.44303e-08,1.1386
2.44536e-08,1.1348
2.44769e-08,1.1386
2.45002e-08,1.1464
2.45234e-08,1.1482
2.45467e-08,1.1186
2.45700e-08,1.0405
2.45932e-08,0.8912
2.46165e-08,0.7771
2.46398e-08,0.7052
2.46630e-08,0.6547
2.46863e-08,0.6251
2.47096e-08,0.6134
2.47328e-08,0.6051
2.47561e-08,0.5907
2.47794e-08,0.5732
2.48026e-08,0.5577
2.48259e-08,0.5442
