.HEADER
..NAMES
Time,V U2.A3
.DATA
6.5297e-09,-0.0056
6.5393e-09,-0.0040
6.5490e-09,-0.0025
6.5586e-09,-0.0012
6.5682e-09,-0.0001
6.5779e-09,0.0007
6.5875e-09,0.0015
6.5972e-09,0.0021
6.6068e-09,0.0028
6.6165e-09,0.0035
6.6261e-09,0.0042
6.6358e-09,0.0048
6.6454e-09,0.0052
6.6550e-09,0.0053
6.6647e-09,0.0053
6.6743e-09,0.0051
6.6840e-09,0.0047
6.6936e-09,0.0043
6.7033e-09,0.0039
6.7129e-09,0.0036
6.7226e-09,0.0034
6.7322e-09,0.0032
6.7419e-09,0.0031
6.7515e-09,0.0031
6.7611e-09,0.0032
6.7708e-09,0.0033
6.7804e-09,0.0035
6.7901e-09,0.0037
6.7997e-09,0.0037
6.8094e-09,0.0037
6.8190e-09,0.0035
6.8287e-09,0.0033
6.8383e-09,0.0031
6.8480e-09,0.0031
6.8576e-09,0.0031
6.8672e-09,0.0033
6.8769e-09,0.0035
6.8865e-09,0.0037
6.8962e-09,0.0037
6.9058e-09,0.0035
6.9155e-09,0.0030
6.9251e-09,0.0022
6.9348e-09,0.0014
6.9444e-09,0.0005
6.9540e-09,-0.0001
6.9637e-09,-0.0005
6.9733e-09,-0.0006
6.9830e-09,-0.0003
6.9926e-09,0.0002
7.0023e-09,0.0007
7.0119e-09,0.0013
7.0216e-09,0.0018
7.0312e-09,0.0004
7.0409e-09,-0.0022
7.0505e-09,0.0047
7.0601e-09,0.0264
7.0698e-09,0.0546
7.0794e-09,0.0861
7.0891e-09,0.1272
7.0987e-09,0.1781
7.1084e-09,0.2384
7.1180e-09,0.3074
7.1277e-09,0.3772
7.1373e-09,0.4395
7.1469e-09,0.4889
7.1566e-09,0.5262
7.1662e-09,0.5538
7.1759e-09,0.5712
7.1855e-09,0.5794
7.1952e-09,0.5834
7.2048e-09,0.5862
7.2145e-09,0.5872
7.2241e-09,0.5871
7.2338e-09,0.5892
7.2434e-09,0.5943
7.2530e-09,0.6009
7.2627e-09,0.6077
7.2723e-09,0.6131
7.2820e-09,0.6152
7.2916e-09,0.6138
7.3013e-09,0.6102
7.3109e-09,0.6043
7.3206e-09,0.5960
7.3302e-09,0.5868
7.3398e-09,0.5794
7.3495e-09,0.5751
7.3591e-09,0.5732
7.3688e-09,0.5742
7.3784e-09,0.5796
7.3881e-09,0.5894
7.3977e-09,0.6021
7.4074e-09,0.6162
7.4170e-09,0.6309
7.4266e-09,0.6453
7.4363e-09,0.6588
7.4459e-09,0.6710
7.4556e-09,0.6805
7.4652e-09,0.6849
7.4749e-09,0.6828
7.4845e-09,0.6747
7.4942e-09,0.6613
7.5038e-09,0.6432
7.5135e-09,0.6220
7.5231e-09,0.6003
7.5327e-09,0.5805
7.5424e-09,0.5640
7.5520e-09,0.5522
7.5617e-09,0.5471
7.5713e-09,0.5501
7.5810e-09,0.5606
7.5906e-09,0.5762
7.6003e-09,0.5937
7.6099e-09,0.6099
7.6196e-09,0.6235
7.6292e-09,0.6353
7.6388e-09,0.6472
7.6485e-09,0.6614
7.6581e-09,0.6801
7.6678e-09,0.7045
7.6774e-09,0.7345
7.6871e-09,0.7687
7.6967e-09,0.8059
7.7064e-09,0.8452
7.7160e-09,0.8851
7.7256e-09,0.9237
7.7353e-09,0.9589
7.7449e-09,0.9889
7.7546e-09,1.0128
7.7642e-09,1.0311
7.7739e-09,1.0450
7.7835e-09,1.0562
7.7932e-09,1.0665
7.8028e-09,1.0779
7.8125e-09,1.0916
7.8221e-09,1.1080
7.8317e-09,1.1266
7.8414e-09,1.1465
7.8510e-09,1.1670
7.8607e-09,1.1866
7.8703e-09,1.2038
7.8800e-09,1.2176
7.8896e-09,1.2274
7.8993e-09,1.2333
7.9089e-09,1.2358
7.9185e-09,1.2358
7.9282e-09,1.2341
7.9378e-09,1.2314
7.9475e-09,1.2280
7.9571e-09,1.2240
7.9668e-09,1.2195
7.9764e-09,1.2146
7.9861e-09,1.2095
7.9957e-09,1.2044
8.0054e-09,1.1997
8.0150e-09,1.1955
8.0246e-09,1.1922
8.0343e-09,1.1900
8.0439e-09,1.1892
8.0536e-09,1.1896
8.0632e-09,1.1907
8.0729e-09,1.1917
8.0825e-09,1.1924
