.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.45884e-08,0.5976
1.46117e-08,0.4715
1.46349e-08,0.4002
1.46582e-08,0.3551
1.46815e-08,0.3400
1.47047e-08,0.3386
1.47280e-08,0.3329
1.47513e-08,0.3127
1.47745e-08,0.2826
1.47978e-08,0.2550
1.48211e-08,0.2427
1.48443e-08,0.2510
1.48676e-08,0.2795
1.48909e-08,0.3222
1.49141e-08,0.3689
1.49374e-08,0.4054
1.49607e-08,0.4196
1.49839e-08,0.4078
1.50072e-08,0.3765
1.50305e-08,0.3356
1.50537e-08,0.2940
1.50770e-08,0.2616
1.51003e-08,0.2481
1.51236e-08,0.2547
1.51468e-08,0.2737
1.51701e-08,0.3038
1.51934e-08,0.3756
1.52166e-08,0.5379
1.52399e-08,0.6933
1.52632e-08,0.7702
1.52864e-08,0.8195
1.53097e-08,0.8388
1.53330e-08,0.8407
1.53562e-08,0.8455
1.53795e-08,0.8657
1.54028e-08,0.8976
1.54260e-08,0.9258
1.54493e-08,0.9375
1.54726e-08,0.9276
1.54958e-08,0.8972
1.55191e-08,0.8524
1.55424e-08,0.8034
1.55656e-08,0.7640
1.55889e-08,0.7477
1.56122e-08,0.7582
1.56354e-08,0.7893
1.56587e-08,0.8308
1.56820e-08,0.8739
1.57052e-08,0.9079
1.57285e-08,0.9230
1.57518e-08,0.9179
1.57750e-08,0.8894
1.57983e-08,0.8322
1.58216e-08,0.7141
1.58448e-08,0.5591
1.58681e-08,0.4444
1.58914e-08,0.3813
1.59146e-08,0.3474
1.59379e-08,0.3351
1.59612e-08,0.3369
1.59844e-08,0.3287
1.60077e-08,0.3049
1.60310e-08,0.2744
1.60542e-08,0.2499
1.60775e-08,0.2429
1.61008e-08,0.2570
1.61240e-08,0.2903
1.61473e-08,0.3355
1.61706e-08,0.3809
1.61938e-08,0.4123
1.62171e-08,0.4193
1.62404e-08,0.4011
1.62636e-08,0.3661
1.62869e-08,0.3239
1.63102e-08,0.2836
1.63334e-08,0.2556
1.63567e-08,0.2478
1.63800e-08,0.2589
1.64032e-08,0.2791
1.64265e-08,0.3168
1.64498e-08,0.4114
1.64730e-08,0.5952
1.64963e-08,0.7203
1.65196e-08,0.7943
1.65428e-08,0.8282
1.65661e-08,0.8428
1.65894e-08,0.8426
1.66126e-08,0.8500
1.66359e-08,0.8743
1.66592e-08,0.9065
1.66824e-08,0.9307
1.67057e-08,0.9366
1.67290e-08,0.9206
1.67522e-08,0.8853
1.67755e-08,0.8381
1.67988e-08,0.7902
1.68220e-08,0.7563
1.68453e-08,0.7477
1.68686e-08,0.7650
1.68918e-08,0.8001
1.69151e-08,0.8428
1.69384e-08,0.8848
1.69616e-08,0.9144
1.69849e-08,0.9236
1.70082e-08,0.9138
1.70314e-08,0.8753
1.70547e-08,0.8126
1.70780e-08,0.6731
1.71012e-08,0.5221
1.71245e-08,0.4260
1.71478e-08,0.3686
1.71710e-08,0.3408
1.71943e-08,0.3358
1.72176e-08,0.3350
1.72408e-08,0.3230
1.72641e-08,0.2965
1.72874e-08,0.2662
1.73106e-08,0.2457
1.73339e-08,0.2445
1.73572e-08,0.2644
1.73804e-08,0.3018
1.74037e-08,0.3484
1.74270e-08,0.3914
1.74502e-08,0.4169
1.74735e-08,0.4166
1.74968e-08,0.3929
1.75201e-08,0.3551
1.75433e-08,0.3125
1.75666e-08,0.2745
1.75899e-08,0.2515
1.76131e-08,0.2494
1.76364e-08,0.2641
1.76597e-08,0.2875
1.76829e-08,0.3358
1.77062e-08,0.4605
1.77295e-08,0.6307
1.77527e-08,0.7394
1.77760e-08,0.8034
1.77993e-08,0.8357
1.78225e-08,0.8416
1.78458e-08,0.8424
1.78691e-08,0.8550
1.78923e-08,0.8829
1.79156e-08,0.9146
1.79389e-08,0.9346
1.79621e-08,0.9344
1.79854e-08,0.9126
1.80087e-08,0.8731
1.80319e-08,0.8244
1.80552e-08,0.7790
1.80785e-08,0.7516
1.81017e-08,0.7507
1.81250e-08,0.7738
1.81483e-08,0.8119
1.81715e-08,0.8554
1.81948e-08,0.8949
1.82181e-08,0.9190
1.82413e-08,0.9222
1.82646e-08,0.9086
1.82879e-08,0.8590
1.83111e-08,0.7888
1.83344e-08,0.6268
1.83577e-08,0.4895
1.83809e-08,0.4096
1.84042e-08,0.3642
1.84275e-08,0.3393
1.84507e-08,0.3369
1.84740e-08,0.3348
1.84973e-08,0.3169
1.85205e-08,0.2876
1.85438e-08,0.2587
1.85671e-08,0.2429
1.85903e-08,0.2477
1.86136e-08,0.2731
1.86369e-08,0.3140
1.86601e-08,0.3610
1.86834e-08,0.4005
1.87067e-08,0.4194
1.87299e-08,0.4118
1.87532e-08,0.3831
1.87765e-08,0.3432
1.87997e-08,0.3010
1.88230e-08,0.2662
1.88463e-08,0.2488
1.88695e-08,0.2523
1.88928e-08,0.2699
1.89161e-08,0.2969
1.89393e-08,0.3555
1.89626e-08,0.5067
1.89859e-08,0.6644
1.90091e-08,0.7607
1.90324e-08,0.8124
1.90557e-08,0.8358
1.90789e-08,0.8404
1.91022e-08,0.8433
1.91255e-08,0.8609
1.91487e-08,0.8916
1.91720e-08,0.9217
1.91953e-08,0.9370
1.92185e-08,0.9311
1.92418e-08,0.9040
1.92651e-08,0.8611
1.92883e-08,0.8119
1.93116e-08,0.7699
1.93349e-08,0.7491
1.93581e-08,0.7549
1.93814e-08,0.7830
