.HEADER
..NAMES
Time,V U1.J1
.DATA
1.76364e-08,1.2021
1.76597e-08,1.2018
1.76829e-08,1.2016
1.77062e-08,1.2013
1.77295e-08,1.2011
1.77527e-08,1.2010
1.77760e-08,1.2008
1.77993e-08,1.2008
1.78225e-08,1.2008
1.78458e-08,1.2008
1.78691e-08,1.2011
1.78923e-08,1.2014
1.79156e-08,1.2017
1.79389e-08,1.2020
1.79621e-08,1.2022
1.79854e-08,1.2022
1.80087e-08,1.2020
1.80319e-08,1.2016
1.80552e-08,1.2012
1.80785e-08,1.2009
1.81017e-08,1.2007
1.81250e-08,1.2007
1.81483e-08,1.2008
1.81715e-08,1.2010
1.81948e-08,1.2012
1.82181e-08,1.2013
1.82413e-08,1.2015
1.82646e-08,1.2016
1.82879e-08,1.2017
1.83111e-08,1.2017
1.83344e-08,1.2017
1.83577e-08,1.2017
1.83809e-08,1.2016
1.84042e-08,1.2014
1.84275e-08,1.2012
1.84507e-08,1.2010
1.84740e-08,1.2008
1.84973e-08,1.2008
1.85205e-08,1.2008
1.85438e-08,1.2010
1.85671e-08,1.2012
1.85903e-08,1.2015
1.86136e-08,1.2016
1.86369e-08,1.2017
1.86601e-08,1.2017
1.86834e-08,1.2016
1.87067e-08,1.2014
1.87299e-08,1.2013
1.87532e-08,1.2012
1.87765e-08,1.2012
1.87997e-08,1.2011
1.88230e-08,1.2011
1.88463e-08,1.2010
1.88695e-08,1.2010
1.88928e-08,1.2010
1.89161e-08,1.2011
1.89393e-08,1.2012
1.89626e-08,1.2014
1.89859e-08,1.2015
1.90091e-08,1.2016
1.90324e-08,1.2016
1.90557e-08,1.2015
1.90789e-08,1.2014
1.91022e-08,1.2012
1.91255e-08,1.2011
1.91487e-08,1.2010
1.91720e-08,1.2010
1.91953e-08,1.2010
1.92185e-08,1.2011
1.92418e-08,1.2012
1.92651e-08,1.2012
1.92883e-08,1.2013
1.93116e-08,1.2013
1.93349e-08,1.2013
1.93581e-08,1.2014
1.93814e-08,1.2014
1.94047e-08,1.2014
1.94279e-08,1.2013
1.94512e-08,1.2013
1.94745e-08,1.2012
1.94977e-08,1.2011
1.95210e-08,1.2010
1.95443e-08,1.2010
1.95675e-08,1.2010
1.95908e-08,1.2011
1.96141e-08,1.2012
1.96373e-08,1.2013
1.96606e-08,1.2013
1.96839e-08,1.2014
1.97071e-08,1.2013
1.97304e-08,1.2013
1.97537e-08,1.2012
1.97769e-08,1.2012
1.98002e-08,1.2011
1.98235e-08,1.2011
1.98468e-08,1.2011
1.98700e-08,1.2011
1.98933e-08,1.2011
1.99166e-08,1.2011
1.99398e-08,1.2011
1.99631e-08,1.2011
1.99864e-08,1.2011
2.00096e-08,1.2012
2.00329e-08,1.2013
2.00562e-08,1.2013
2.00794e-08,1.2013
2.01027e-08,1.2013
2.01260e-08,1.2012
2.01492e-08,1.2011
2.01725e-08,1.2011
2.01958e-08,1.2010
2.02190e-08,1.2010
2.02423e-08,1.2010
2.02656e-08,1.2011
2.02888e-08,1.2011
2.03121e-08,1.2011
2.03354e-08,1.2012
2.03586e-08,1.2012
2.03819e-08,1.2012
2.04052e-08,1.2012
2.04284e-08,1.2012
2.04517e-08,1.2012
2.04750e-08,1.2012
2.04982e-08,1.2011
2.05215e-08,1.2011
2.05448e-08,1.2011
2.05680e-08,1.2010
2.05913e-08,1.2010
2.06146e-08,1.2010
2.06378e-08,1.2010
2.06611e-08,1.2011
2.06844e-08,1.2011
2.07076e-08,1.2012
2.07309e-08,1.2012
2.07542e-08,1.2012
2.07774e-08,1.2011
2.08007e-08,1.2011
2.08240e-08,1.2011
2.08472e-08,1.2011
2.08705e-08,1.2011
2.08938e-08,1.2011
2.09170e-08,1.2011
2.09403e-08,1.2010
2.09636e-08,1.2010
2.09868e-08,1.2010
2.10101e-08,1.2011
2.10334e-08,1.2011
2.10566e-08,1.2011
2.10799e-08,1.2011
2.11032e-08,1.2011
2.11264e-08,1.2011
2.11497e-08,1.2011
2.11730e-08,1.2011
2.11962e-08,1.2011
2.12195e-08,1.2010
2.12428e-08,1.2010
2.12660e-08,1.2010
2.12893e-08,1.2010
2.13126e-08,1.2010
2.13358e-08,1.2010
2.13591e-08,1.2011
2.13824e-08,1.2011
2.14056e-08,1.1821
2.14289e-08,1.1335
2.14522e-08,1.0068
2.14754e-08,0.8385
2.14987e-08,0.7101
2.15220e-08,0.6246
2.15452e-08,0.5672
2.15685e-08,0.5340
2.15918e-08,0.5187
2.16150e-08,0.5119
2.16383e-08,0.5109
2.16616e-08,0.5131
2.16848e-08,0.5177
2.17081e-08,0.5218
2.17314e-08,0.5247
2.17546e-08,0.5261
2.17779e-08,0.5255
2.18012e-08,0.5226
2.18244e-08,0.5179
2.18477e-08,0.5120
2.18710e-08,0.5045
2.18942e-08,0.4955
2.19175e-08,0.4840
2.19408e-08,0.4672
2.19640e-08,0.4391
2.19873e-08,0.3953
2.20106e-08,0.3385
2.20338e-08,0.2737
2.20571e-08,0.2050
2.20804e-08,0.1385
2.21037e-08,0.0798
2.21269e-08,0.0322
2.21502e-08,-0.0047
2.21735e-08,-0.0326
2.21967e-08,-0.0524
2.22200e-08,-0.0645
2.22433e-08,-0.0701
2.22665e-08,-0.0713
2.22898e-08,-0.0696
2.23131e-08,-0.0660
2.23363e-08,-0.0616
2.23596e-08,-0.0574
2.23829e-08,-0.0548
2.24061e-08,-0.0544
2.24294e-08,-0.0560
2.24527e-08,-0.0580
2.24759e-08,-0.0572
2.24992e-08,-0.0510
2.25225e-08,-0.0385
2.25457e-08,-0.0205
2.25690e-08,0.0011
2.25923e-08,0.0228
2.26155e-08,0.0408
2.26388e-08,0.0531
2.26621e-08,0.0630
