.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
1.45419e-08,0.5359
1.45651e-08,0.5496
1.45884e-08,0.5516
1.46117e-08,0.5440
1.46349e-08,0.5354
1.46582e-08,0.5335
1.46815e-08,0.5342
1.47047e-08,0.5275
1.47280e-08,0.5185
1.47513e-08,0.5328
1.47745e-08,0.6294
1.47978e-08,0.8370
1.48211e-08,0.9952
1.48443e-08,1.1031
1.48676e-08,1.1797
1.48909e-08,1.2274
1.49141e-08,1.2537
1.49374e-08,1.2472
1.49607e-08,1.2205
1.49839e-08,1.2000
1.50072e-08,1.1922
1.50305e-08,1.1938
1.50537e-08,1.1951
1.50770e-08,1.1899
1.51003e-08,1.1843
1.51236e-08,1.1882
1.51468e-08,1.1808
1.51701e-08,1.1347
1.51934e-08,1.0136
1.52166e-08,0.8387
1.52399e-08,0.7143
1.52632e-08,0.6352
1.52864e-08,0.5799
1.53097e-08,0.5376
1.53330e-08,0.5152
1.53562e-08,0.5204
1.53795e-08,0.5396
1.54028e-08,0.5511
1.54260e-08,0.5508
1.54493e-08,0.5421
1.54726e-08,0.5344
1.54958e-08,0.5338
1.55191e-08,0.5335
1.55424e-08,0.5255
1.55656e-08,0.5181
1.55889e-08,0.5412
1.56122e-08,0.6677
1.56354e-08,0.8796
1.56587e-08,1.0180
1.56820e-08,1.1228
1.57052e-08,1.1892
1.57285e-08,1.2346
1.57518e-08,1.2552
1.57750e-08,1.2426
1.57983e-08,1.2155
1.58216e-08,1.1975
1.58448e-08,1.1921
1.58681e-08,1.1944
1.58914e-08,1.1946
1.59146e-08,1.1884
1.59379e-08,1.1843
1.59612e-08,1.1897
1.59844e-08,1.1737
1.60077e-08,1.1196
1.60310e-08,0.9719
1.60542e-08,0.8061
1.60775e-08,0.6961
1.61008e-08,0.6232
1.61240e-08,0.5708
1.61473e-08,0.5312
1.61706e-08,0.5137
1.61938e-08,0.5240
1.62171e-08,0.5427
1.62404e-08,0.5519
1.62636e-08,0.5495
1.62869e-08,0.5403
1.63102e-08,0.5338
1.63334e-08,0.5340
1.63567e-08,0.5325
1.63800e-08,0.5235
1.64032e-08,0.5195
1.64265e-08,0.5578
1.64498e-08,0.7110
1.64730e-08,0.9101
1.64963e-08,1.0424
1.65196e-08,1.1360
1.65428e-08,1.2007
1.65661e-08,1.2414
1.65894e-08,1.2552
1.66126e-08,1.2372
1.66359e-08,1.2110
1.66592e-08,1.1955
1.66824e-08,1.1922
1.67057e-08,1.1949
1.67290e-08,1.1938
1.67522e-08,1.1869
1.67755e-08,1.1847
1.67988e-08,1.1912
1.68220e-08,1.1657
1.68453e-08,1.1039
1.68686e-08,0.9372
1.68918e-08,0.7805
1.69151e-08,0.6801
1.69384e-08,0.6114
1.69616e-08,0.5615
1.69849e-08,0.5260
1.70082e-08,0.5140
1.70314e-08,0.5280
1.70547e-08,0.5453
1.70780e-08,0.5522
1.71012e-08,0.5479
1.71245e-08,0.5386
1.71478e-08,0.5335
1.71710e-08,0.5343
1.71943e-08,0.5311
1.72176e-08,0.5216
1.72408e-08,0.5221
1.72641e-08,0.5714
1.72874e-08,0.7545
1.73106e-08,0.9417
1.73339e-08,1.0610
1.73572e-08,1.1507
1.73804e-08,1.2092
1.74037e-08,1.2462
1.74270e-08,1.2537
1.74502e-08,1.2317
1.74735e-08,1.2070
1.74968e-08,1.1940
1.75201e-08,1.1926
1.75433e-08,1.1952
1.75666e-08,1.1927
1.75899e-08,1.1857
1.76131e-08,1.1855
1.76364e-08,1.1895
1.76597e-08,1.1568
1.76829e-08,1.0769
1.77062e-08,0.9036
1.77295e-08,0.7582
1.77527e-08,0.6649
1.77760e-08,0.6000
1.77993e-08,0.5531
1.78225e-08,0.5215
1.78458e-08,0.5151
1.78691e-08,0.5318
1.78923e-08,0.5475
1.79156e-08,0.5520
1.79389e-08,0.5461
1.79621e-08,0.5370
1.79854e-08,0.5335
1.80087e-08,0.5344
1.80319e-08,0.5294
1.80552e-08,0.5199
1.80785e-08,0.5265
1.81017e-08,0.5991
1.81250e-08,0.7972
1.81483e-08,0.9678
1.81715e-08,1.0841
1.81948e-08,1.1617
1.82181e-08,1.2173
1.82413e-08,1.2507
1.82646e-08,1.2508
1.82879e-08,1.2262
1.83111e-08,1.2034
1.83344e-08,1.1930
1.83577e-08,1.1931
1.83809e-08,1.1953
1.84042e-08,1.1914
1.84275e-08,1.1848
1.84507e-08,1.1867
1.84740e-08,1.1870
1.84973e-08,1.1480
1.85205e-08,1.0484
1.85438e-08,0.8701
1.85671e-08,0.7339
1.85903e-08,0.6506
1.86136e-08,0.5898
1.86369e-08,0.5449
1.86601e-08,0.5176
1.86834e-08,0.5174
1.87067e-08,0.5357
1.87299e-08,0.5494
1.87532e-08,0.5516
1.87765e-08,0.5442
1.87997e-08,0.5357
1.88230e-08,0.5336
1.88463e-08,0.5342
1.88695e-08,0.5275
1.88928e-08,0.5186
1.89161e-08,0.5327
1.89393e-08,0.6269
1.89626e-08,0.8342
1.89859e-08,0.9910
1.90091e-08,1.1000
1.90324e-08,1.1785
1.90557e-08,1.2258
1.90789e-08,1.2529
1.91022e-08,1.2470
1.91255e-08,1.2209
1.91487e-08,1.2004
1.91720e-08,1.1925
1.91953e-08,1.1938
1.92185e-08,1.1951
1.92418e-08,1.1900
1.92651e-08,1.1843
1.92883e-08,1.1881
1.93116e-08,1.1810
1.93349e-08,1.1353
1.93581e-08,1.0139
1.93814e-08,0.8402
1.94047e-08,0.7152
1.94279e-08,0.6361
1.94512e-08,0.5800
1.94745e-08,0.5378
1.94977e-08,0.5153
1.95210e-08,0.5204
1.95443e-08,0.5393
1.95675e-08,0.5508
1.95908e-08,0.5508
1.96141e-08,0.5423
1.96373e-08,0.5346
1.96606e-08,0.5339
1.96839e-08,0.5335
1.97071e-08,0.5255
1.97304e-08,0.5182
1.97537e-08,0.5418
1.97769e-08,0.6651
1.98002e-08,0.8741
1.98235e-08,1.0141
1.98468e-08,1.1198
1.98700e-08,1.1880
1.98933e-08,1.2329
1.99166e-08,1.2544
1.99398e-08,1.2424
1.99631e-08,1.2159
1.99864e-08,1.1978
2.00096e-08,1.1922
2.00329e-08,1.1944
2.00562e-08,1.1946
2.00794e-08,1.1884
2.01027e-08,1.1843
2.01260e-08,1.1896
2.01492e-08,1.1739
2.01725e-08,1.1208
2.01958e-08,0.9736
2.02190e-08,0.8086
2.02423e-08,0.6979
2.02656e-08,0.6239
2.02888e-08,0.5709
2.03121e-08,0.5314
2.03354e-08,0.5138
2.03586e-08,0.5238
2.03819e-08,0.5423
2.04052e-08,0.5517
2.04284e-08,0.5495
2.04517e-08,0.5405
2.04750e-08,0.5340
2.04982e-08,0.5341
2.05215e-08,0.5325
2.05448e-08,0.5236
2.05680e-08,0.5196
2.05913e-08,0.5576
2.06146e-08,0.7083
2.06378e-08,0.9050
2.06611e-08,1.0409
2.06844e-08,1.1337
2.07076e-08,1.1986
2.07309e-08,1.2399
2.07542e-08,1.2544
2.07774e-08,1.2372
2.08007e-08,1.2114
2.08240e-08,1.1957
2.08472e-08,1.1922
2.08705e-08,1.1949
2.08938e-08,1.1939
2.09170e-08,1.1870
2.09403e-08,1.1847
2.09636e-08,1.1910
2.09868e-08,1.1660
2.10101e-08,1.1058
2.10334e-08,0.9390
2.10566e-08,0.7829
2.10799e-08,0.6814
2.11032e-08,0.6120
2.11264e-08,0.5613
2.11497e-08,0.5261
2.11730e-08,0.5139
2.11962e-08,0.5276
2.12195e-08,0.5449
2.12428e-08,0.5521
2.12660e-08,0.5480
2.12893e-08,0.5388
2.13126e-08,0.5337
2.13358e-08,0.5343
2.13591e-08,0.5311
2.13824e-08,0.5217
2.14056e-08,0.5223
2.14289e-08,0.5698
2.14522e-08,0.7522
2.14754e-08,0.9372
2.14987e-08,1.0600
2.15220e-08,1.1504
2.15452e-08,1.2073
2.15685e-08,1.2449
2.15918e-08,1.2531
2.16150e-08,1.2319
2.16383e-08,1.2073
2.16616e-08,1.1941
2.16848e-08,1.1925
2.17081e-08,1.1952
2.17314e-08,1.1928
2.17546e-08,1.1858
2.17779e-08,1.1855
2.18012e-08,1.1894
2.18244e-08,1.1571
2.18477e-08,1.0793
2.18710e-08,0.9056
2.18942e-08,0.7597
2.19175e-08,0.6654
2.19408e-08,0.6002
2.19640e-08,0.5528
2.19873e-08,0.5215
2.20106e-08,0.5148
2.20338e-08,0.5313
2.20571e-08,0.5471
2.20804e-08,0.5521
2.21037e-08,0.5463
2.21269e-08,0.5373
2.21502e-08,0.5336
2.21735e-08,0.5344
2.21967e-08,0.5294
2.22200e-08,0.5201
2.22433e-08,0.5263
2.22665e-08,0.5974
2.22898e-08,0.7945
2.23131e-08,0.9634
2.23363e-08,1.0821
2.23596e-08,1.1618
2.23829e-08,1.2157
2.24061e-08,1.2497
2.24294e-08,1.2505
2.24527e-08,1.2265
2.24759e-08,1.2037
2.24992e-08,1.1930
2.25225e-08,1.1930
2.25457e-08,1.1953
2.25690e-08,1.1916
2.25923e-08,1.1849
2.26155e-08,1.1866
2.26388e-08,1.1871
2.26621e-08,1.1488
2.26853e-08,1.0493
2.27086e-08,0.8721
2.27319e-08,0.7342
2.27551e-08,0.6507
2.27784e-08,0.5899
2.28017e-08,0.5447
2.28249e-08,0.5174
2.28482e-08,0.5170
2.28715e-08,0.5351
2.28947e-08,0.5492
2.29180e-08,0.5517
2.29413e-08,0.5445
2.29645e-08,0.5359
2.29878e-08,0.5337
