.HEADER
..NAMES
Time,V U1.G5
.DATA
2.19175e-08,0.0113
2.19408e-08,-0.0232
2.19640e-08,-0.0416
2.19873e-08,-0.0506
2.20106e-08,-0.0567
2.20338e-08,-0.0639
2.20571e-08,-0.0731
2.20804e-08,-0.0832
2.21037e-08,-0.0923
2.21269e-08,-0.0993
2.21502e-08,-0.1034
2.21735e-08,-0.1041
2.21967e-08,-0.1009
2.22200e-08,-0.0927
2.22433e-08,-0.0788
2.22665e-08,-0.0596
2.22898e-08,-0.0361
2.23131e-08,-0.0103
2.23363e-08,0.0159
2.23596e-08,0.0403
2.23829e-08,0.0608
2.24061e-08,0.0756
2.24294e-08,0.0830
2.24527e-08,0.0822
2.24759e-08,0.0737
2.24992e-08,0.0601
2.25225e-08,0.0452
2.25457e-08,0.0334
2.25690e-08,0.0274
2.25923e-08,0.0277
2.26155e-08,0.0324
2.26388e-08,0.0379
2.26621e-08,0.0409
2.26853e-08,0.0392
2.27086e-08,0.0325
2.27319e-08,0.0220
2.27551e-08,0.0098
2.27784e-08,-0.0021
2.28017e-08,-0.0124
2.28249e-08,-0.0204
2.28482e-08,-0.0256
2.28715e-08,-0.0185
2.28947e-08,0.0187
2.29180e-08,0.1351
2.29413e-08,0.2880
2.29645e-08,0.4019
2.29878e-08,0.4793
2.30111e-08,0.5294
2.30343e-08,0.5591
2.30576e-08,0.5740
2.30809e-08,0.5861
2.31041e-08,0.6005
2.31274e-08,0.6152
2.31507e-08,0.6289
2.31739e-08,0.6406
2.31972e-08,0.6486
2.32205e-08,0.6534
2.32437e-08,0.6546
2.32670e-08,0.6414
2.32903e-08,0.6067
2.33135e-08,0.4945
2.33368e-08,0.3388
2.33601e-08,0.2036
2.33833e-08,0.1147
2.34066e-08,0.0699
2.34299e-08,0.0703
2.34531e-08,0.1005
2.34764e-08,0.1506
2.34997e-08,0.2089
2.35229e-08,0.2695
2.35462e-08,0.3266
2.35695e-08,0.3743
2.35927e-08,0.4104
2.36160e-08,0.4356
2.36393e-08,0.4535
2.36625e-08,0.4690
2.36858e-08,0.4868
2.37091e-08,0.5302
2.37323e-08,0.6684
2.37556e-08,0.9003
2.37789e-08,1.0661
2.38021e-08,1.1611
2.38254e-08,1.1813
2.38487e-08,1.1555
2.38719e-08,1.0954
2.38952e-08,1.0149
2.39185e-08,0.9285
2.39417e-08,0.8457
2.39650e-08,0.7732
2.39883e-08,0.7168
2.40115e-08,0.6765
2.40348e-08,0.6475
2.40581e-08,0.6239
2.40813e-08,0.5995
2.41046e-08,0.5555
2.41279e-08,0.4945
2.41511e-08,0.3486
2.41744e-08,0.1807
2.41977e-08,0.0621
2.42209e-08,-0.0154
2.42442e-08,-0.0382
2.42675e-08,-0.0066
2.42907e-08,0.0560
2.43140e-08,0.1435
2.43373e-08,0.2393
2.43605e-08,0.3338
2.43838e-08,0.4173
2.44071e-08,0.4828
2.44303e-08,0.5293
2.44536e-08,0.5595
2.44769e-08,0.5798
2.45002e-08,0.5956
2.45234e-08,0.6118
2.45467e-08,0.6277
2.45700e-08,0.6402
2.45932e-08,0.6472
2.46165e-08,0.6446
2.46398e-08,0.6293
2.46630e-08,0.5986
2.46863e-08,0.5485
