.HEADER
..NAMES
Time,V U1.F1
.DATA
1.79389e-08,0.7868
1.79621e-08,0.6752
1.79854e-08,0.5971
1.80087e-08,0.5469
1.80319e-08,0.5295
1.80552e-08,0.5308
1.80785e-08,0.5361
1.81017e-08,0.5443
1.81250e-08,0.5579
1.81483e-08,0.5703
1.81715e-08,0.5724
1.81948e-08,0.5647
1.82181e-08,0.5543
1.82413e-08,0.5421
1.82646e-08,0.5250
1.82879e-08,0.5066
1.83111e-08,0.4937
1.83344e-08,0.4879
1.83577e-08,0.4841
1.83809e-08,0.4791
1.84042e-08,0.4745
1.84275e-08,0.4670
1.84507e-08,0.4488
1.84740e-08,0.4156
1.84973e-08,0.3713
1.85205e-08,0.3207
1.85438e-08,0.2638
1.85671e-08,0.2023
1.85903e-08,0.1435
1.86136e-08,0.0933
1.86369e-08,0.0511
1.86601e-08,0.0137
1.86834e-08,-0.0170
1.87067e-08,-0.0376
1.87299e-08,-0.0488
1.87532e-08,-0.0546
1.87765e-08,-0.0564
1.87997e-08,-0.0527
1.88230e-08,-0.0455
1.88463e-08,-0.0397
1.88695e-08,-0.0378
1.88928e-08,-0.0387
1.89161e-08,-0.0410
1.89393e-08,-0.0454
1.89626e-08,-0.0515
1.89859e-08,-0.0558
1.90091e-08,-0.0551
1.90324e-08,-0.0494
1.90557e-08,-0.0395
1.90789e-08,-0.0257
1.91022e-08,-0.0085
1.91255e-08,0.0088
1.91487e-08,0.0232
1.91720e-08,0.0341
1.91953e-08,0.0424
1.92185e-08,0.0477
1.92418e-08,0.0494
1.92651e-08,0.0482
1.92883e-08,0.0455
1.93116e-08,0.0414
1.93349e-08,0.0347
1.93581e-08,0.0260
1.93814e-08,0.0178
1.94047e-08,0.0116
1.94279e-08,0.0075
1.94512e-08,0.0053
1.94745e-08,0.0060
1.94977e-08,0.0093
1.95210e-08,0.0135
1.95443e-08,0.0319
1.95675e-08,0.0832
1.95908e-08,0.2255
1.96141e-08,0.3708
1.96373e-08,0.4741
1.96606e-08,0.5494
1.96839e-08,0.5997
1.97071e-08,0.6153
1.97304e-08,0.6142
1.97537e-08,0.6122
1.97769e-08,0.6121
1.98002e-08,0.6095
1.98235e-08,0.6090
1.98468e-08,0.6160
1.98700e-08,0.6284
1.98933e-08,0.6397
1.99166e-08,0.6480
1.99398e-08,0.6395
1.99631e-08,0.6101
1.99864e-08,0.4835
2.00096e-08,0.3145
2.00329e-08,0.1825
2.00562e-08,0.0721
2.00794e-08,-0.0021
2.01027e-08,-0.0249
2.01260e-08,-0.0139
2.01492e-08,0.0251
2.01725e-08,0.0787
2.01958e-08,0.1441
2.02190e-08,0.2161
2.02423e-08,0.2854
2.02656e-08,0.3443
2.02888e-08,0.3925
2.03121e-08,0.4330
2.03354e-08,0.4654
2.03586e-08,0.4921
2.03819e-08,0.5419
2.04052e-08,0.6980
2.04284e-08,0.9150
2.04517e-08,1.0726
2.04750e-08,1.1783
2.04982e-08,1.2297
2.05215e-08,1.2376
