.HEADER
..NAMES
Time,V U1.K1
.DATA
1.95675e-08,0.5401
1.95908e-08,0.5360
1.96141e-08,0.5299
1.96373e-08,0.5222
1.96606e-08,0.5141
1.96839e-08,0.5063
1.97071e-08,0.4990
1.97304e-08,0.4929
1.97537e-08,0.4900
1.97769e-08,0.4901
1.98002e-08,0.4913
1.98235e-08,0.4916
1.98468e-08,0.4903
1.98700e-08,0.4869
1.98933e-08,0.4773
1.99166e-08,0.4539
1.99398e-08,0.4112
1.99631e-08,0.3527
1.99864e-08,0.2854
2.00096e-08,0.2137
2.00329e-08,0.1428
2.00562e-08,0.0797
2.00794e-08,0.0292
2.01027e-08,-0.0076
2.01260e-08,-0.0324
2.01492e-08,-0.0464
2.01725e-08,-0.0380
2.01958e-08,0.0134
2.02190e-08,0.1444
2.02423e-08,0.2755
2.02656e-08,0.3858
2.02888e-08,0.4699
2.03121e-08,0.5216
2.03354e-08,0.5502
2.03586e-08,0.5620
2.03819e-08,0.5658
2.04052e-08,0.5656
2.04284e-08,0.5624
2.04517e-08,0.5608
2.04750e-08,0.5655
2.04982e-08,0.5794
2.05215e-08,0.6020
2.05448e-08,0.6306
2.05680e-08,0.6625
2.05913e-08,0.6927
2.06146e-08,0.7153
2.06378e-08,0.7284
2.06611e-08,0.7340
2.06844e-08,0.7360
2.07076e-08,0.7354
2.07309e-08,0.7354
2.07542e-08,0.7424
2.07774e-08,0.7640
2.08007e-08,0.8020
2.08240e-08,0.8527
2.08472e-08,0.9118
2.08705e-08,0.9758
2.08938e-08,1.0386
2.09170e-08,1.0939
2.09403e-08,1.1393
2.09636e-08,1.1752
2.09868e-08,1.1728
2.10101e-08,1.1363
2.10334e-08,0.9899
2.10566e-08,0.8419
2.10799e-08,0.7326
2.11032e-08,0.6460
2.11264e-08,0.5839
2.11497e-08,0.5469
2.11730e-08,0.5282
2.11962e-08,0.5228
2.12195e-08,0.5249
2.12428e-08,0.5323
2.12660e-08,0.5418
2.12893e-08,0.5511
2.13126e-08,0.5554
2.13358e-08,0.5522
2.13591e-08,0.5415
2.13824e-08,0.5247
2.14056e-08,0.5048
2.14289e-08,0.4853
2.14522e-08,0.4681
2.14754e-08,0.4546
2.14987e-08,0.4438
2.15220e-08,0.4353
2.15452e-08,0.4267
2.15685e-08,0.4125
2.15918e-08,0.3849
2.16150e-08,0.3423
2.16383e-08,0.2907
2.16616e-08,0.2354
2.16848e-08,0.1789
2.17081e-08,0.1246
2.17314e-08,0.0762
2.17546e-08,0.0354
2.17779e-08,0.0018
2.18012e-08,-0.0259
2.18244e-08,-0.0485
2.18477e-08,-0.0654
2.18710e-08,-0.0758
2.18942e-08,-0.0793
2.19175e-08,-0.0770
2.19408e-08,-0.0707
2.19640e-08,-0.0629
2.19873e-08,-0.0555
2.20106e-08,-0.0500
2.20338e-08,-0.0469
2.20571e-08,-0.0469
2.20804e-08,-0.0502
2.21037e-08,-0.0551
2.21269e-08,-0.0577
2.21502e-08,-0.0542
2.21735e-08,-0.0439
2.21967e-08,-0.0287
2.22200e-08,-0.0107
2.22433e-08,0.0080
2.22665e-08,0.0248
2.22898e-08,0.0373
2.23131e-08,0.0447
2.23363e-08,0.0480
2.23596e-08,0.0491
2.23829e-08,0.0489
2.24061e-08,0.0476
2.24294e-08,0.0447
2.24527e-08,0.0398
2.24759e-08,0.0330
2.24992e-08,0.0252
2.25225e-08,0.0176
2.25457e-08,0.0111
2.25690e-08,0.0064
2.25923e-08,0.0039
2.26155e-08,0.0042
2.26388e-08,0.0072
2.26621e-08,0.0118
2.26853e-08,0.0155
2.27086e-08,0.0165
2.27319e-08,0.0141
2.27551e-08,0.0086
2.27784e-08,0.0008
2.28017e-08,-0.0079
2.28249e-08,-0.0155
2.28482e-08,-0.0201
2.28715e-08,-0.0214
2.28947e-08,-0.0200
2.29180e-08,-0.0174
2.29413e-08,-0.0146
2.29645e-08,-0.0121
2.29878e-08,-0.0098
2.30111e-08,-0.0071
2.30343e-08,-0.0040
2.30576e-08,-0.0005
2.30809e-08,0.0029
2.31041e-08,0.0058
2.31274e-08,0.0078
2.31507e-08,0.0084
2.31739e-08,0.0072
2.31972e-08,0.0043
2.32205e-08,0.0006
2.32437e-08,-0.0027
2.32670e-08,-0.0047
2.32903e-08,-0.0048
2.33135e-08,-0.0029
2.33368e-08,0.0009
2.33601e-08,0.0055
2.33833e-08,0.0097
2.34066e-08,0.0121
2.34299e-08,0.0124
2.34531e-08,0.0108
2.34764e-08,0.0083
2.34997e-08,0.0193
2.35229e-08,0.0670
2.35462e-08,0.2023
2.35695e-08,0.3464
2.35927e-08,0.4597
2.36160e-08,0.5429
2.36393e-08,0.6012
2.36625e-08,0.6297
2.36858e-08,0.6425
2.37091e-08,0.6480
2.37323e-08,0.6510
2.37556e-08,0.6536
2.37789e-08,0.6568
2.38021e-08,0.6605
2.38254e-08,0.6643
2.38487e-08,0.6676
2.38719e-08,0.6695
