.HEADER
..NAMES
Time,V U1.T1
.DATA
1.65661e-08,0.3984
1.65894e-08,0.3542
1.66126e-08,0.3010
1.66359e-08,0.2420
1.66592e-08,0.1812
1.66824e-08,0.1233
1.67057e-08,0.0715
1.67290e-08,0.0267
1.67522e-08,-0.0102
1.67755e-08,-0.0378
1.67988e-08,-0.0550
1.68220e-08,-0.0623
1.68453e-08,-0.0623
1.68686e-08,-0.0583
1.68918e-08,-0.0546
1.69151e-08,-0.0536
1.69384e-08,-0.0556
1.69616e-08,-0.0600
1.69849e-08,-0.0663
1.70082e-08,-0.0743
1.70314e-08,-0.0821
1.70547e-08,-0.0868
1.70780e-08,-0.0858
1.71012e-08,-0.0781
1.71245e-08,-0.0642
1.71478e-08,-0.0454
1.71710e-08,-0.0239
1.71943e-08,-0.0027
1.72176e-08,0.0162
1.72408e-08,0.0319
1.72641e-08,0.0441
1.72874e-08,0.0520
1.73106e-08,0.0544
1.73339e-08,0.0512
1.73572e-08,0.0431
1.73804e-08,0.0325
1.74037e-08,0.0223
1.74270e-08,0.0148
1.74502e-08,0.0110
1.74735e-08,0.0109
1.74968e-08,0.0139
1.75201e-08,0.0191
1.75433e-08,0.0254
1.75666e-08,0.0309
1.75899e-08,0.0344
1.76131e-08,0.0348
1.76364e-08,0.0315
1.76597e-08,0.0245
1.76829e-08,0.0149
1.77062e-08,0.0043
1.77295e-08,-0.0057
1.77527e-08,-0.0144
1.77760e-08,-0.0211
1.77993e-08,-0.0254
1.78225e-08,-0.0265
1.78458e-08,-0.0240
1.78691e-08,-0.0182
1.78923e-08,-0.0102
1.79156e-08,-0.0019
1.79389e-08,0.0049
1.79621e-08,0.0091
1.79854e-08,0.0102
1.80087e-08,0.0085
1.80319e-08,0.0047
1.80552e-08,-0.0000
1.80785e-08,-0.0049
1.81017e-08,-0.0091
1.81250e-08,-0.0118
1.81483e-08,-0.0125
1.81715e-08,-0.0108
1.81948e-08,-0.0069
1.82181e-08,-0.0015
1.82413e-08,0.0044
1.82646e-08,0.0100
1.82879e-08,0.0147
1.83111e-08,0.0179
1.83344e-08,0.0191
1.83577e-08,0.0180
1.83809e-08,0.0147
1.84042e-08,0.0096
1.84275e-08,0.0038
1.84507e-08,-0.0014
1.84740e-08,-0.0052
1.84973e-08,0.0024
1.85205e-08,0.0414
1.85438e-08,0.1642
1.85671e-08,0.3225
1.85903e-08,0.4571
1.86136e-08,0.5536
1.86369e-08,0.6264
1.86601e-08,0.6725
1.86834e-08,0.6959
1.87067e-08,0.7050
1.87299e-08,0.7042
1.87532e-08,0.6954
1.87765e-08,0.6833
1.87997e-08,0.6710
1.88230e-08,0.6602
1.88463e-08,0.6526
1.88695e-08,0.6480
1.88928e-08,0.6460
1.89161e-08,0.6459
1.89393e-08,0.6473
1.89626e-08,0.6506
1.89859e-08,0.6562
1.90091e-08,0.6646
1.90324e-08,0.6769
1.90557e-08,0.6987
1.90789e-08,0.7346
1.91022e-08,0.7833
1.91255e-08,0.8400
1.91487e-08,0.9007
1.91720e-08,0.9618
1.91953e-08,1.0190
1.92185e-08,1.0702
1.92418e-08,1.1157
1.92651e-08,1.1561
1.92883e-08,1.1903
1.93116e-08,1.2030
1.93349e-08,1.1747
