.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.58448e-08,0.6743
1.58681e-08,0.6326
1.58914e-08,0.5694
1.59146e-08,0.4971
1.59379e-08,0.4294
1.59612e-08,0.3810
1.59844e-08,0.3447
1.60077e-08,0.2954
1.60310e-08,0.1031
1.60542e-08,-0.1706
1.60775e-08,-0.3452
1.61008e-08,-0.4713
1.61240e-08,-0.5566
1.61473e-08,-0.6040
1.61706e-08,-0.6282
1.61938e-08,-0.6515
1.62171e-08,-0.6759
1.62404e-08,-0.6875
1.62636e-08,-0.6717
1.62869e-08,-0.6271
1.63102e-08,-0.5620
1.63334e-08,-0.4893
1.63567e-08,-0.4222
1.63800e-08,-0.3754
1.64032e-08,-0.3380
1.64265e-08,-0.2801
1.64498e-08,-0.0753
1.64730e-08,0.1900
1.64963e-08,0.3598
1.65196e-08,0.4791
1.65428e-08,0.5622
1.65661e-08,0.6069
1.65894e-08,0.6307
1.66126e-08,0.6546
1.66359e-08,0.6779
1.66592e-08,0.6869
1.66824e-08,0.6682
1.67057e-08,0.6215
1.67290e-08,0.5553
1.67522e-08,0.4829
1.67755e-08,0.4179
1.67988e-08,0.3751
1.68220e-08,0.3376
1.68453e-08,0.2732
1.68686e-08,0.0454
1.68918e-08,-0.2108
1.69151e-08,-0.3761
1.69384e-08,-0.4874
1.69616e-08,-0.5697
1.69849e-08,-0.6103
1.70082e-08,-0.6317
1.70314e-08,-0.6566
1.70547e-08,-0.6798
1.70780e-08,-0.6868
1.71012e-08,-0.6650
1.71245e-08,-0.6155
1.71478e-08,-0.5477
1.71710e-08,-0.4752
1.71943e-08,-0.4109
1.72176e-08,-0.3687
1.72408e-08,-0.3313
1.72641e-08,-0.2609
1.72874e-08,-0.0117
1.73106e-08,0.2317
1.73339e-08,0.3877
1.73572e-08,0.4987
1.73804e-08,0.5735
1.74037e-08,0.6123
1.74270e-08,0.6351
1.74502e-08,0.6599
1.74735e-08,0.6814
1.74968e-08,0.6856
1.75201e-08,0.6609
1.75433e-08,0.6096
1.75666e-08,0.5411
1.75899e-08,0.4690
1.76131e-08,0.4072
1.76364e-08,0.3680
1.76597e-08,0.3311
1.76829e-08,0.2422
1.77062e-08,-0.0137
1.77295e-08,-0.2517
1.77527e-08,-0.4024
1.77760e-08,-0.5084
1.77993e-08,-0.5789
1.78225e-08,-0.6142
1.78458e-08,-0.6368
1.78691e-08,-0.6617
1.78923e-08,-0.6830
1.79156e-08,-0.6849
1.79389e-08,-0.6572
1.79621e-08,-0.6032
1.79854e-08,-0.5334
1.80087e-08,-0.4614
1.80319e-08,-0.4005
1.80552e-08,-0.3611
1.80785e-08,-0.3254
1.81017e-08,-0.2217
1.81250e-08,0.0398
1.81483e-08,0.2674
1.81715e-08,0.4163
1.81948e-08,0.5175
1.82181e-08,0.5823
1.82413e-08,0.6175
1.82646e-08,0.6398
1.82879e-08,0.6645
1.83111e-08,0.6840
1.83344e-08,0.6831
1.83577e-08,0.6527
1.83809e-08,0.5971
