.HEADER
..NAMES
Time,V U1.N3
.DATA
1.58914e-08,-0.0061
1.59146e-08,-0.0242
1.59379e-08,-0.0327
1.59612e-08,-0.0365
1.59844e-08,-0.0392
1.60077e-08,-0.0279
1.60310e-08,0.0177
1.60542e-08,0.1438
1.60775e-08,0.2642
1.61008e-08,0.3662
1.61240e-08,0.4431
1.61473e-08,0.4956
1.61706e-08,0.5357
1.61938e-08,0.5628
1.62171e-08,0.5844
1.62404e-08,0.6054
1.62636e-08,0.6270
1.62869e-08,0.6502
1.63102e-08,0.6725
1.63334e-08,0.6914
1.63567e-08,0.7060
1.63800e-08,0.7154
1.64032e-08,0.7190
1.64265e-08,0.7168
1.64498e-08,0.7107
1.64730e-08,0.7041
1.64963e-08,0.7007
1.65196e-08,0.7048
1.65428e-08,0.7204
1.65661e-08,0.7533
1.65894e-08,0.8037
1.66126e-08,0.8671
1.66359e-08,0.9364
1.66592e-08,1.0042
1.66824e-08,1.0642
1.67057e-08,1.1130
1.67290e-08,1.1494
1.67522e-08,1.1733
1.67755e-08,1.1864
1.67988e-08,1.1920
1.68220e-08,1.1641
1.68453e-08,1.1085
1.68686e-08,0.9531
1.68918e-08,0.8052
1.69151e-08,0.7091
1.69384e-08,0.6482
1.69616e-08,0.6151
1.69849e-08,0.5976
1.70082e-08,0.5882
1.70314e-08,0.5805
1.70547e-08,0.5709
1.70780e-08,0.5557
1.71012e-08,0.5357
1.71245e-08,0.5129
1.71478e-08,0.4919
1.71710e-08,0.4743
1.71943e-08,0.4620
1.72176e-08,0.4552
1.72408e-08,0.4530
1.72641e-08,0.4547
1.72874e-08,0.4579
1.73106e-08,0.4607
1.73339e-08,0.4591
1.73572e-08,0.4471
1.73804e-08,0.4172
1.74037e-08,0.3670
1.74270e-08,0.3007
1.74502e-08,0.2251
1.74735e-08,0.1496
1.74968e-08,0.0823
1.75201e-08,0.0285
1.75433e-08,-0.0097
1.75666e-08,-0.0321
1.75899e-08,-0.0404
1.76131e-08,-0.0388
1.76364e-08,-0.0329
1.76597e-08,-0.0221
1.76829e-08,0.0084
1.77062e-08,0.0989
1.77295e-08,0.2456
1.77527e-08,0.3600
1.77760e-08,0.4336
1.77993e-08,0.4920
1.78225e-08,0.5240
1.78458e-08,0.5414
1.78691e-08,0.5543
1.78923e-08,0.5698
1.79156e-08,0.5925
1.79389e-08,0.6220
1.79621e-08,0.6549
1.79854e-08,0.6849
1.80087e-08,0.7085
1.80319e-08,0.7233
1.80552e-08,0.7289
1.80785e-08,0.7262
1.81017e-08,0.7169
1.81250e-08,0.7048
1.81483e-08,0.6943
1.81715e-08,0.6901
1.81948e-08,0.6965
1.82181e-08,0.7193
1.82413e-08,0.7622
1.82646e-08,0.8229
1.82879e-08,0.8949
1.83111e-08,0.9704
1.83344e-08,1.0415
1.83577e-08,1.1021
1.83809e-08,1.1487
1.84042e-08,1.1797
1.84275e-08,1.1954
1.84507e-08,1.1986
1.84740e-08,1.1880
1.84973e-08,1.1425
1.85205e-08,1.0472
1.85438e-08,0.8778
1.85671e-08,0.7494
1.85903e-08,0.6745
1.86136e-08,0.6302
1.86369e-08,0.6090
1.86601e-08,0.6003
1.86834e-08,0.5941
1.87067e-08,0.5860
1.87299e-08,0.5722
