.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
1.63334e-08,-0.6901
1.63567e-08,-0.6976
1.63800e-08,-0.6927
1.64032e-08,-0.6517
1.64265e-08,-0.5455
1.64498e-08,-0.2453
1.64730e-08,0.1090
1.64963e-08,0.3549
1.65196e-08,0.5288
1.65428e-08,0.6300
1.65661e-08,0.6626
1.65894e-08,0.6544
1.66126e-08,0.6435
1.66359e-08,0.6386
1.66592e-08,0.6382
1.66824e-08,0.6422
1.67057e-08,0.6550
1.67290e-08,0.6750
1.67522e-08,0.6926
1.67755e-08,0.6985
1.67988e-08,0.6913
1.68220e-08,0.6451
1.68453e-08,0.5329
1.68686e-08,0.2084
1.68918e-08,-0.1389
1.69151e-08,-0.3728
1.69384e-08,-0.5395
1.69616e-08,-0.6325
1.69849e-08,-0.6612
1.70082e-08,-0.6554
1.70314e-08,-0.6449
1.70547e-08,-0.6390
1.70780e-08,-0.6393
1.71012e-08,-0.6460
1.71245e-08,-0.6599
1.71478e-08,-0.6775
1.71710e-08,-0.6924
1.71943e-08,-0.6976
1.72176e-08,-0.6896
1.72408e-08,-0.6374
1.72641e-08,-0.5152
1.72874e-08,-0.1696
1.73106e-08,0.1653
1.73339e-08,0.3918
1.73572e-08,0.5551
1.73804e-08,0.6408
1.74037e-08,0.6621
1.74270e-08,0.6518
1.74502e-08,0.6421
1.74735e-08,0.6384
1.74968e-08,0.6386
1.75201e-08,0.6439
1.75433e-08,0.6586
1.75666e-08,0.6790
1.75899e-08,0.6948
1.76131e-08,0.6979
1.76364e-08,0.6859
1.76597e-08,0.6307
1.76829e-08,0.4896
1.77062e-08,0.1347
1.77295e-08,-0.1893
1.77527e-08,-0.4154
1.77760e-08,-0.5633
1.77993e-08,-0.6416
1.78225e-08,-0.6620
1.78458e-08,-0.6533
1.78691e-08,-0.6435
1.78923e-08,-0.6386
1.79156e-08,-0.6402
1.79389e-08,-0.6482
1.79621e-08,-0.6633
1.79854e-08,-0.6809
1.80087e-08,-0.6943
1.80319e-08,-0.6970
1.80552e-08,-0.6830
1.80785e-08,-0.6224
1.81017e-08,-0.4613
1.81250e-08,-0.0955
1.81483e-08,0.2142
1.81715e-08,0.4321
1.81948e-08,0.5752
1.82181e-08,0.6485
