.HEADER
..NAMES
Time,V U1.P4
.DATA
1.54260e-08,0.6511
1.54493e-08,0.6568
1.54726e-08,0.6616
1.54958e-08,0.6654
1.55191e-08,0.6682
1.55424e-08,0.6683
1.55656e-08,0.6653
1.55889e-08,0.6609
1.56122e-08,0.6574
1.56354e-08,0.6578
1.56587e-08,0.6636
1.56820e-08,0.6757
1.57052e-08,0.6955
1.57285e-08,0.7291
1.57518e-08,0.7800
1.57750e-08,0.8460
1.57983e-08,0.9206
1.58216e-08,0.9954
1.58448e-08,1.0619
1.58681e-08,1.1143
1.58914e-08,1.1513
1.59146e-08,1.1752
1.59379e-08,1.1907
1.59612e-08,1.2021
1.59844e-08,1.2120
1.60077e-08,1.2210
1.60310e-08,1.2290
1.60542e-08,1.2366
1.60775e-08,1.2442
1.61008e-08,1.2515
1.61240e-08,1.2566
1.61473e-08,1.2576
1.61706e-08,1.2540
1.61938e-08,1.2469
1.62171e-08,1.2372
1.62404e-08,1.2245
1.62636e-08,1.2084
1.62869e-08,1.1894
1.63102e-08,1.1688
1.63334e-08,1.1492
1.63567e-08,1.1342
1.63800e-08,1.1270
1.64032e-08,1.1289
1.64265e-08,1.1384
1.64498e-08,1.1518
1.64730e-08,1.1646
1.64963e-08,1.1737
1.65196e-08,1.1784
1.65428e-08,1.1798
1.65661e-08,1.1794
1.65894e-08,1.1785
1.66126e-08,1.1778
1.66359e-08,1.1784
1.66592e-08,1.1810
1.66824e-08,1.1858
1.67057e-08,1.1923
1.67290e-08,1.1997
1.67522e-08,1.2072
1.67755e-08,1.2139
1.67988e-08,1.2197
1.68220e-08,1.1938
1.68453e-08,1.1397
1.68686e-08,0.9843
1.68918e-08,0.8333
1.69151e-08,0.7287
1.69384e-08,0.6533
1.69616e-08,0.6004
1.69849e-08,0.5638
1.70082e-08,0.5393
1.70314e-08,0.5247
1.70547e-08,0.5167
1.70780e-08,0.5127
1.71012e-08,0.5103
1.71245e-08,0.5083
1.71478e-08,0.5061
1.71710e-08,0.5035
1.71943e-08,0.5024
1.72176e-08,0.5029
1.72408e-08,0.5039
1.72641e-08,0.5031
1.72874e-08,0.4984
1.73106e-08,0.4898
1.73339e-08,0.4767
1.73572e-08,0.4561
1.73804e-08,0.4210
1.74037e-08,0.3685
1.74270e-08,0.3029
1.74502e-08,0.2311
1.74735e-08,0.1624
1.74968e-08,0.1036
1.75201e-08,0.0586
1.75433e-08,0.0267
1.75666e-08,0.0045
1.75899e-08,-0.0122
